"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1519146857.814647,1519146857.814647,TCP,18.218.55.126,63435,172.31.69.25,80,,P,T1498.001,1,1
2,1519146857.814653,1519146857.814653,TCP,18.218.55.126,63471,172.31.69.25,80,,P,T1498.001,1,1
3,1519146857.814654,1519146857.814654,TCP,18.218.55.126,63464,172.31.69.25,80,,P,T1498.001,1,1
4,1519146857.814655,1519146857.814655,TCP,18.218.55.126,63456,172.31.69.25,80,,P,T1498.001,1,1
5,1519146857.814657,1519146857.814657,TCP,18.218.55.126,63417,172.31.69.25,80,,P,T1498.001,1,1
6,1519146857.814658,1519146857.814658,TCP,18.218.55.126,63385,172.31.69.25,80,,P,T1498.001,1,1
7,1519146857.814664,1519146857.814664,TCP,18.218.55.126,63398,172.31.69.25,80,,P,T1498.001,1,1
8,1519146857.814666,1519146857.814666,TCP,18.218.55.126,63495,172.31.69.25,80,,P,T1498.001,1,1
9,1519146857.814667,1519146857.814667,TCP,18.218.55.126,63431,172.31.69.25,80,,P,T1498.001,1,1
10,1519146857.814695,1519146857.814695,TCP,18.218.55.126,63397,172.31.69.25,80,,P,T1498.001,1,1
11,1519146857.814734,1519146857.814734,TCP,18.218.55.126,63501,172.31.69.25,80,,P,T1498.001,1,1
12,1519146857.814736,1519146857.814736,TCP,18.218.55.126,63470,172.31.69.25,80,,P,T1498.001,1,1
13,1519146857.814738,1519146857.814738,TCP,18.218.55.126,63387,172.31.69.25,80,,P,T1498.001,1,1
14,1519146857.814739,1519146857.814739,TCP,18.218.55.126,63395,172.31.69.25,80,,P,T1498.001,1,1
15,1519146857.814761,1519146857.814761,TCP,18.218.55.126,63393,172.31.69.25,80,,P,T1498.001,1,1
16,1519146857.814796,1519146857.814796,TCP,18.218.55.126,63482,172.31.69.25,80,,P,T1498.001,1,1
17,1519146857.81485,1519146857.81485,TCP,18.218.55.126,63420,172.31.69.25,80,,P,T1498.001,1,1
18,1519146857.814854,1519146857.814854,TCP,18.218.55.126,63389,172.31.69.25,80,,P,T1498.001,1,1
19,1519146857.814855,1519146857.814855,TCP,18.218.55.126,63497,172.31.69.25,80,,P,T1498.001,1,1
20,1519146857.81487,1519146857.81487,TCP,18.218.55.126,63476,172.31.69.25,80,,P,T1498.001,1,1
21,1519146857.81491,1519146857.81491,TCP,18.218.55.126,63494,172.31.69.25,80,,P,T1498.001,1,1
22,1519146857.814913,1519146857.814913,TCP,18.218.55.126,63481,172.31.69.25,80,,P,T1498.001,1,1
23,1519146857.814913,1519146857.814913,TCP,18.218.55.126,63408,172.31.69.25,80,,P,T1498.001,1,1
24,1519146857.814914,1519146857.814914,TCP,18.218.55.126,63475,172.31.69.25,80,,P,T1498.001,1,1
25,1519146857.814944,1519146857.814944,TCP,18.218.55.126,63491,172.31.69.25,80,,P,T1498.001,1,1
26,1519146857.814946,1519146857.814946,TCP,18.218.55.126,63407,172.31.69.25,80,,P,T1498.001,1,1
27,1519146857.815002,1519146857.815002,TCP,18.218.55.126,63503,172.31.69.25,80,,P,T1498.001,1,1
