"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1706620416.8168652,1706620421.8219104,UDP,10.10.1.9,41010.0,192.168.43.1,53.0,,P,T1498.002,1.0,1.0
2,1706620419.7195816,1706620424.7246249,UDP,10.10.1.9,55179.0,192.168.43.1,53.0,,P,T1498.002,1.0,1.0
3,1706620427.121869,1706620427.121869,UDP,8.8.4.4,53.0,10.10.1.9,18547.0,,P,T1498.002,1.0,1.0
4,1706620427.139474,1706620427.139474,UDP,8.8.4.4,53.0,10.10.1.9,58456.0,,P,T1498.002,1.0,1.0
5,1706620427.1569808,1706620427.1569808,UDP,9.9.9.9,53.0,10.10.1.9,34321.0,,P,T1498.002,1.0,1.0
6,1706620427.160602,1706620427.160602,UDP,8.8.8.8,53.0,10.10.1.9,63713.0,,P,T1498.002,1.0,1.0
7,1706620427.1642103,1706620427.1642103,UDP,9.9.9.10,53.0,10.10.1.9,7554.0,,P,T1498.002,1.0,1.0
8,1706620427.1752276,1706620427.1752276,UDP,9.9.9.10,53.0,10.10.1.9,36692.0,,P,T1498.002,1.0,1.0
9,1706620427.1784856,1706620427.1784856,UDP,9.9.9.9,53.0,10.10.1.9,52399.0,,P,T1498.002,1.0,1.0
10,1706620427.1956036,1706620427.1956036,UDP,9.9.9.9,53.0,10.10.1.9,16533.0,,P,T1498.002,1.0,1.0
11,1706620427.195614,1706620427.195614,UDP,9.9.9.10,53.0,10.10.1.9,13803.0,,P,T1498.002,1.0,1.0
12,1706620427.1994677,1706620427.1994677,UDP,8.8.4.4,53.0,10.10.1.9,32720.0,,P,T1498.002,1.0,1.0
13,1706620427.205858,1706620427.205858,UDP,8.8.4.4,53.0,10.10.1.9,8464.0,,P,T1498.002,1.0,1.0
14,1706620427.2095964,1706620427.2095964,UDP,208.67.222.222,53.0,10.10.1.9,29283.0,,P,T1498.002,1.0,1.0
15,1706620427.209838,1706620427.209838,UDP,208.67.220.222,53.0,10.10.1.9,23858.0,,P,T1498.002,1.0,1.0
