Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1649324132.841816,1649324132.841816,TCP,172.16.17.3,52492,172.16.17.2,80,,P,T1018,1.0,1.0
,2,1649324132.8418283,1649324132.8418283,TCP,172.16.17.2,80,172.16.17.3,52492,,,,,
2.0,3,1649324132.841816,1649324132.841816,TCP,172.16.17.3,55612,172.16.17.2,443,,P,T1019,1.0,1.0
,4,1649324132.8418376,1649324132.8418376,TCP,172.16.17.2,443,172.16.17.3,55612,,,,,
3.0,5,1649324145.8489122,1649324145.8489122,TCP,172.16.17.3,39386,172.16.17.2,5900,,P,T1020,1.0,1.0
,6,1649324145.8489528,1649324145.8489528,TCP,172.16.17.2,5900,172.16.17.3,39386,,,,,
4.0,7,1649324145.8489127,1649324145.8489127,TCP,172.16.17.3,59268,172.16.17.2,1025,,P,T1021,1.0,1.0
,8,1649324145.8489778,1649324145.8489778,TCP,172.16.17.2,1025,172.16.17.3,59268,,,,,
5.0,9,1649324145.8489127,1649324145.8489127,TCP,172.16.17.3,46400,172.16.17.2,143,,P,T1022,1.0,1.0
,10,1649324145.8489945,1649324145.8489945,TCP,172.16.17.2,143,172.16.17.3,46400,,,,,
6.0,11,1649324145.8489127,1649324145.8489127,TCP,172.16.17.3,55620,172.16.17.2,443,,P,T1023,1.0,1.0
,12,1649324145.8490157,1649324145.8490157,TCP,172.16.17.2,443,172.16.17.3,55620,,,,,
7.0,13,1649324145.8491478,1649324145.8491478,TCP,172.16.17.3,48586,172.16.17.2,993,,P,T1024,1.0,1.0
,14,1649324145.8491623,1649324145.8491623,TCP,172.16.17.2,993,172.16.17.3,48586,,,,,
8.0,15,1649324145.849148,1649324145.849148,TCP,172.16.17.3,60140,172.16.17.2,256,,P,T1025,1.0,1.0
,16,1649324145.8491807,1649324145.8491807,TCP,172.16.17.2,256,172.16.17.3,60140,,,,,
9.0,17,1649324145.849148,1649324145.849148,TCP,172.16.17.3,37568,172.16.17.2,25,,P,T1026,1.0,1.0
