Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1716902381.815418,1716902382.238443,TCP,192.168.10.1,53985.0,192.168.10.2,22.0,,P,T1020.001,1.0,1.0
2,1716902381.815862,1716902382.238248,TCP,192.168.10.2,22.0,192.168.10.1,53985.0,,,,,
3,1716902384.066925,1716902411.235379,TCP,192.168.10.1,53986.0,192.168.10.2,22.0,,,,,
4,1716902384.067776,1716902411.235353,TCP,192.168.10.2,22.0,192.168.10.1,53986.0,,,,,
5,1716902732.274662,1716902732.278062,UDP,10.0.2.15,65460.0,80.58.61.250,53.0,,,,,
6,1716902732.302903,1716902732.306563,UDP,80.58.61.250,53.0,10.0.2.15,65460.0,,,,,
7,1716902732.31325,1716902732.322384,UDP,80.58.61.250,53.0,10.0.2.15,50260.0,,,,,
8,1716902732.325838,1716902732.532616,UDP,10.0.2.15,60446.0,142.250.184.14,443.0,,,,,
9,1716902732.341854,1716902732.538821,UDP,142.250.184.14,443.0,10.0.2.15,60446.0,,,,,
10,1716902733.186187,1716902733.257434,UDP,10.0.2.15,53471.0,80.58.61.250,53.0,,,,,
11,1716902733.194901,1716902733.267225,UDP,80.58.61.250,53.0,10.0.2.15,53471.0,,,,,
12,1716902733.188854,1716902733.259676,UDP,10.0.2.15,53836.0,80.58.61.250,53.0,,,,,
13,1716902733.191624,1716902733.263184,UDP,80.58.61.250,53.0,10.0.2.15,53836.0,,,,,
14,1716902734.533957,1716902734.553894,UDP,10.0.2.15,53636.0,80.58.61.250,53.0,,,,,
15,1716902734.58578,1716902734.621728,UDP,80.58.61.250,53.0,10.0.2.15,53636.0,,,,,
16,1716902734.553712,1716902734.559723,UDP,10.0.2.15,52437.0,80.58.61.250,53.0,,,,,
17,1716902734.579348,1716902734.613291,UDP,80.58.61.250,53.0,10.0.2.15,52437.0,,,,,
18,1716902733.197311,1716902734.625004,UDP,10.0.2.15,53497.0,216.58.215.142,443.0,,,,,
19,1716902733.245396,1716902734.64887,UDP,216.58.215.142,443.0,10.0.2.15,53497.0,,,,,
20,1716902734.596184,1716902734.871845,UDP,10.0.2.15,64202.0,142.250.184.161,443.0,,,,,
21,1716902734.61616,1716902734.888603,UDP,142.250.184.161,443.0,10.0.2.15,64202.0,,,,,
22,1716902732.533764,1716902737.524956,UDP,10.0.2.15,58965.0,142.250.184.4,443.0,,,,,
23,1716902732.540003,1716902737.518248,UDP,142.250.184.4,443.0,10.0.2.15,58965.0,,,,,
24,1716902737.226009,1716902737.533819,UDP,10.0.2.15,57978.0,209.250.254.15,21116.0,,,,,
25,1716902737.236195,1716902737.595776,UDP,209.250.254.15,21116.0,10.0.2.15,57978.0,,,,,
26,1716902737.37842,1716902737.553789,UDP,10.0.2.15,59364.0,80.58.61.250,53.0,,,,,
27,1716902737.516947,1716902737.790857,UDP,80.58.61.250,53.0,10.0.2.15,59364.0,,,,,
28,1716902737.408357,1716902737.573168,UDP,10.0.2.15,57508.0,80.58.61.250,53.0,,,,,
29,1716902737.501739,1716902737.602931,UDP,80.58.61.250,53.0,10.0.2.15,57508.0,,,,,
30,1716902740.948285,1716902740.976472,UDP,10.0.2.15,59666.0,80.58.61.250,53.0,,,,,
31,1716902741.214063,1716902741.237786,UDP,80.58.61.250,53.0,10.0.2.15,59666.0,,,,,
32,1716902740.951379,1716902740.981778,UDP,10.0.2.15,61411.0,80.58.61.250,53.0,,,,,
33,1716902741.029969,1716902741.059604,UDP,80.58.61.250,53.0,10.0.2.15,61411.0,,,,,
34,1716902740.960515,1716902740.986626,UDP,10.0.2.15,54771.0,80.58.61.250,53.0,,,,,
35,1716902741.242583,1716902741.274985,UDP,80.58.61.250,53.0,10.0.2.15,54771.0,,,,,
36,1716902740.963279,1716902740.998973,UDP,10.0.2.15,52749.0,80.58.61.250,53.0,,,,,
37,1716902741.033903,1716902741.067925,UDP,80.58.61.250,53.0,10.0.2.15,52749.0,,,,,
38,1716902740.966116,1716902741.028547,UDP,10.0.2.15,65497.0,80.58.61.250,53.0,,,,,
39,1716902741.277402,1716902741.36247,UDP,80.58.61.250,53.0,10.0.2.15,65497.0,,,,,
40,1716902740.969366,1716902741.032249,UDP,10.0.2.15,58552.0,80.58.61.250,53.0,,,,,
41,1716902741.057953,1716902741.093784,UDP,80.58.61.250,53.0,10.0.2.15,58552.0,,,,,
42,1716902740.973331,1716902741.036314,UDP,10.0.2.15,61391.0,80.58.61.250,53.0,,,,,
43,1716902741.042711,1716902741.083931,UDP,80.58.61.250,53.0,10.0.2.15,61391.0,,,,,
44,1716902740.978101,1716902741.043536,UDP,10.0.2.15,59738.0,80.58.61.250,53.0,,,,,
45,1716902741.078294,1716902741.117979,UDP,80.58.61.250,53.0,10.0.2.15,59738.0,,,,,
46,1716902740.983634,1716902741.046886,UDP,10.0.2.15,60020.0,80.58.61.250,53.0,,,,,
47,1716902741.351287,1716902741.381389,UDP,80.58.61.250,53.0,10.0.2.15,60020.0,,,,,
48,1716902740.992624,1716902741.050167,UDP,10.0.2.15,63453.0,80.58.61.250,53.0,,,,,
49,1716902741.063758,1716902741.102363,UDP,80.58.61.250,53.0,10.0.2.15,63453.0,,,,,
50,1716902732.545101,1716902741.128637,ICMP,192.168.10.2,,80.58.61.250,,0x00000000_0x00000008_0x0008,,,,
