Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1718356669.248278,1718356669.613348,TCP,192.168.10.150,59419,192.168.10.140,22,,C,,1.0,1.0
,2,1718356669.248351,1718356669.613153,TCP,192.168.10.140,22,192.168.10.150,59419,,,,,
2.0,3,1718356524.108609,1718356527.199399,UDP,192.168.10.150,64576,239.255.255.250,1900,,L,,0.0,0.0
3.0,4,1718356537.125262,1718356540.151746,UDP,192.168.10.150,62062,239.255.255.250,1900,,L,,0.0,0.0
4.0,5,1718356614.007355,1718356617.04129,UDP,192.168.10.140,64956,239.255.255.250,1900,,L,,0.0,0.0
5.0,6,1718356644.127114,1718356647.181566,UDP,192.168.10.150,62361,239.255.255.250,1900,,L,,0.0,0.0
6.0,7,1718356659.858173,1718356659.858173,UDP,192.168.10.140,138,192.168.10.255,138,,L,,0.0,0.0
7.0,8,1718356657.141709,1718356660.17924,UDP,192.168.10.150,61132,239.255.255.250,1900,,L,,0.0,0.0
8.0,9,1718356666.155775,1718356666.155775,UDP,192.168.10.150,138,192.168.10.255,138,,L,,0.0,0.0
9.0,10,1718356519.145236,1718356681.057099,TCP,192.168.10.150,59414,192.168.10.140,80,,P,T1029,0.0,1.0
,11,1718356519.145309,1718356680.985689,TCP,192.168.10.140,80,192.168.10.150,59414,,,,,
