Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1718361949.4586952,1718361949.4586952,TCP,192.168.0.20,47224,192.168.0.30,1234,,C,,0.0,1.0
2,1718361949.4601903,1718361949.4601903,TCP,192.168.0.30,1234,192.168.0.20,47224,,,,,
3,1718361969.8865852,1718361972.9357035,TCP,192.168.0.20,60784,192.168.0.30,21,,P,T1030,1.0,1.0
4,1718361969.8866112,1718361972.9357293,TCP,192.168.0.30,21,192.168.0.20,60784,,,,,
5,1718361972.935704,1718361975.1619468,TCP,192.168.0.20,60788,192.168.0.30,21,,,,,
6,1718361972.936784,1718361975.1619723,TCP,192.168.0.30,21,192.168.0.20,60788,,,,,
7,1718361975.1619473,1718361979.0206895,TCP,192.168.0.20,60792,192.168.0.30,21,,,,,
8,1718361975.1658964,1718361979.0207047,TCP,192.168.0.30,21,192.168.0.20,60792,,,,,
9,1718361979.050444,1718361987.091686,TCP,192.168.0.20,51514,192.168.0.30,21,,,,,
10,1718361979.0504725,1718361987.0917077,TCP,192.168.0.30,21,192.168.0.20,51514,,,,,
11,1718361987.091686,1718361993.8094137,TCP,192.168.0.20,51522,192.168.0.30,21,,,,,
12,1718361987.092543,1718361993.8094308,TCP,192.168.0.30,21,192.168.0.20,51522,,,,,
13,1718361993.839354,1718362002.5721087,TCP,192.168.0.20,54472,192.168.0.30,21,,,,,
14,1718361993.83938,1718362002.5721333,TCP,192.168.0.30,21,192.168.0.20,54472,,,,,
15,1718362002.572109,1718362009.8148737,TCP,192.168.0.20,48746,192.168.0.30,21,,,,,
16,1718362002.572903,1718362009.8148885,TCP,192.168.0.30,21,192.168.0.20,48746,,,,,
17,1718362009.841656,1718362012.114873,TCP,192.168.0.20,55460,192.168.0.30,21,,,,,
18,1718362009.8416789,1718362012.11489,TCP,192.168.0.30,21,192.168.0.20,55460,,,,,
19,1718362012.141628,1718362017.5974307,TCP,192.168.0.20,55464,192.168.0.30,21,,,,,
20,1718362012.1416657,1718362017.5974488,TCP,192.168.0.30,21,192.168.0.20,55464,,,,,
