Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances,Unnamed: 14
1.0,1,1715758743.037246,1715758743.037246,UDP,fe80::2b14:3be:3d23:e37f,64326,ff02::1:3,5355,,L,,0.0,0.0,
2.0,2,1715758743.037404,1715758743.037404,UDP,192.168.10.1,64326,224.0.0.252,5355,,L,,0.0,0.0,
3.0,3,1715758743.037826,1715758743.037826,UDP,fe80::ca8c:e0e8:31e2:93e5,5355,fe80::2b14:3be:3d23:e37f,64326,,L,,0.0,0.0,
4.0,4,1715758743.037958,1715758743.037958,UDP,192.168.10.2,5355,192.168.10.1,64326,,L,,0.0,0.0,
5.0,5,1715758743.038398,1715758743.038398,UDP,fe80::2b14:3be:3d23:e37f,60428,ff02::1:3,5355,,L,,0.0,0.0,
6.0,6,1715758743.038511,1715758743.038511,UDP,192.168.10.1,60428,224.0.0.252,5355,,L,,0.0,0.0,
7.0,7,1715758743.038785,1715758743.038785,UDP,fe80::ca8c:e0e8:31e2:93e5,5355,fe80::2b14:3be:3d23:e37f,60428,,L,,0.0,0.0,
8.0,8,1715758743.038874,1715758743.038874,UDP,192.168.10.2,5355,192.168.10.1,60428,,L,,0.0,0.0,
9.0,9,1715758743.034683,1715758745.492143,UDP,192.168.10.1,5353,224.0.0.251,5353,,L,,0.0,0.0,
10.0,10,1715758743.035627,1715758745.492484,UDP,fe80::2b14:3be:3d23:e37f,5353,ff02::fb,5353,,L,,0.0,0.0,
11.0,11,1715758743.0354,1715758745.492527,UDP,192.168.10.2,5353,224.0.0.251,5353,,L,,0.0,0.0,
12.0,12,1715758743.036053,1715758745.492893,UDP,fe80::ca8c:e0e8:31e2:93e5,5353,ff02::fb,5353,,L,,0.0,0.0,
13.0,13,1715758743.149166,1715758745.640731,TCP,fe80::2b14:3be:3d23:e37f,50013,fe80::ca8c:e0e8:31e2:93e5,445,,P,T1033,1.0,1.0,"El host origen realiza varias llamadas RPC al servicio LSM_API_service sobre SMB (puerto 445) para enumerar las sesiones de usuario activas en la máquina remota. La regla de detección salta con la primera invocación, y a partir de ahí el resto del intercambio es indistinguible de tráfico SMB legítimo."
,14,1715758743.149344,1715758745.585614,TCP,fe80::ca8c:e0e8:31e2:93e5,445,fe80::2b14:3be:3d23:e37f,50013,,,,,,
