"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1649935044.6017935,1649935044.8906634,TCP,172.16.1.2,50862.0,172.16.2.2,80.0,,P,T1046,,
2,1649935044.6025329,1649935044.8911753,TCP,172.16.2.2,80.0,172.16.1.2,50862.0,,,,,
3,1649935044.8914251,1649935045.158088,TCP,172.16.1.2,50864.0,172.16.2.2,80.0,,P,T1046,,
4,1649935044.891998,1649935045.1585045,TCP,172.16.2.2,80.0,172.16.1.2,50864.0,,,,,
5,1649935045.1585205,1649935045.3062906,TCP,172.16.1.2,50866.0,172.16.2.2,80.0,,P,T1046,,
6,1649935045.1588328,1649935045.3067691,TCP,172.16.2.2,80.0,172.16.1.2,50866.0,,,,,
7,1649935045.307173,1649935045.3475952,TCP,172.16.1.2,50868.0,172.16.2.2,80.0,,P,T1046,,
8,1649935045.307639,1649935045.3480728,TCP,172.16.2.2,80.0,172.16.1.2,50868.0,,,,,
9,1649935045.3476038,1649935045.3669865,TCP,172.16.1.2,50870.0,172.16.2.2,80.0,,P,T1046,,
10,1649935045.348073,1649935045.3673344,TCP,172.16.2.2,80.0,172.16.1.2,50870.0,,,,,
11,1649935045.3675752,1649935045.3699183,TCP,172.16.1.2,50872.0,172.16.2.2,80.0,,P,T1046,,
12,1649935045.3681731,1649935045.3701403,TCP,172.16.2.2,80.0,172.16.1.2,50872.0,,,,,
13,1649935045.3701186,1649935045.3762257,TCP,172.16.1.2,50874.0,172.16.2.2,80.0,,P,T1046,,
14,1649935045.370218,1649935045.3764243,TCP,172.16.2.2,80.0,172.16.1.2,50874.0,,,,,
15,1649935045.3765252,1649935045.3779335,TCP,172.16.1.2,50876.0,172.16.2.2,80.0,,P,T1046,,
16,1649935045.3767335,1649935045.378153,TCP,172.16.2.2,80.0,172.16.1.2,50876.0,,,,,
17,1649935045.38335,1649935045.6353152,TCP,172.16.1.2,50878.0,172.16.2.2,80.0,,P,T1046,,
18,1649935045.3837044,1649935045.635814,TCP,172.16.2.2,80.0,172.16.1.2,50878.0,,,,,
19,1649935045.6358013,1649935045.682798,TCP,172.16.1.2,50880.0,172.16.2.2,80.0,,P,T1046,,
20,1649935045.636212,1649935045.6830444,TCP,172.16.2.2,80.0,172.16.1.2,50880.0,,,,,
21,1649935045.683597,1649935045.8024318,TCP,172.16.1.2,50882.0,172.16.2.2,80.0,,P,T1046,,
22,1649935045.6837957,1649935045.8024578,TCP,172.16.2.2,80.0,172.16.1.2,50882.0,,,,,
23,1649935045.802811,1649935046.0606976,TCP,172.16.1.2,50884.0,172.16.2.2,80.0,,P,T1046,,
24,1649935045.8030784,1649935046.0611885,TCP,172.16.2.2,80.0,172.16.1.2,50884.0,,,,,
25,1649935046.0634863,1649935046.0776772,TCP,172.16.1.2,50886.0,172.16.2.2,80.0,,P,T1046,,
26,1649935046.0640728,1649935046.077821,TCP,172.16.2.2,80.0,172.16.1.2,50886.0,,,,,
27,1649935046.078124,1649935046.0794475,TCP,172.16.1.2,50888.0,172.16.2.2,80.0,,P,T1046,,
28,1649935046.0784352,1649935046.0796657,TCP,172.16.2.2,80.0,172.16.1.2,50888.0,,,,,
29,1649935046.079788,1649935046.1111736,TCP,172.16.1.2,50890.0,172.16.2.2,80.0,,P,T1046,,
30,1649935046.0799751,1649935046.111303,TCP,172.16.2.2,80.0,172.16.1.2,50890.0,,,,,
31,1649935046.1115088,1649935046.2022803,TCP,172.16.1.2,50892.0,172.16.2.2,80.0,,P,T1046,,
32,1649935046.1115954,1649935046.202782,TCP,172.16.2.2,80.0,172.16.1.2,50892.0,,,,,
33,1649935046.2028854,1649935046.205291,TCP,172.16.1.2,50894.0,172.16.2.2,80.0,,P,T1046,,
34,1649935046.2033815,1649935046.205664,TCP,172.16.2.2,80.0,172.16.1.2,50894.0,,,,,
35,1649935046.205634,1649935046.2150147,TCP,172.16.1.2,50896.0,172.16.2.2,80.0,,P,T1046,,
36,1649935046.2061963,1649935046.215505,TCP,172.16.2.2,80.0,172.16.1.2,50896.0,,,,,
37,1649935046.215494,1649935046.228862,TCP,172.16.1.2,50898.0,172.16.2.2,80.0,,P,T1046,,
38,1649935046.2157347,1649935046.2289455,TCP,172.16.2.2,80.0,172.16.1.2,50898.0,,,,,
39,1649935046.2291453,1649935046.2765336,TCP,172.16.1.2,50900.0,172.16.2.2,80.0,,P,T1046,,
40,1649935046.2292275,1649935046.2769036,TCP,172.16.2.2,80.0,172.16.1.2,50900.0,,,,,
41,1649935046.277008,1649935046.2811253,TCP,172.16.1.2,50902.0,172.16.2.2,80.0,,P,T1046,,
42,1649935046.2772346,1649935046.2812023,TCP,172.16.2.2,80.0,172.16.1.2,50902.0,,,,,
43,1649935046.2813685,1649935046.2818863,TCP,172.16.1.2,50904.0,172.16.2.2,80.0,,P,T1046,,
44,1649935046.2814434,1649935046.2819495,TCP,172.16.2.2,80.0,172.16.1.2,50904.0,,,,,
45,1649935046.2821057,1649935046.2907846,TCP,172.16.1.2,50906.0,172.16.2.2,80.0,,P,T1046,,
46,1649935046.2821755,1649935046.2908523,TCP,172.16.2.2,80.0,172.16.1.2,50906.0,,,,,
47,1649935046.2910368,1649935046.2915456,TCP,172.16.1.2,50908.0,172.16.2.2,80.0,,P,T1046,,
48,1649935046.291123,1649935046.291613,TCP,172.16.2.2,80.0,172.16.1.2,50908.0,,,,,
49,1649935046.2917747,1649935046.393152,TCP,172.16.1.2,50910.0,172.16.2.2,80.0,,P,T1046,,
50,1649935046.2918413,1649935046.3931656,TCP,172.16.2.2,80.0,172.16.1.2,50910.0,,,,,
51,1649935046.393566,1649935046.5138807,TCP,172.16.1.2,50912.0,172.16.2.2,80.0,,P,T1046,,
52,1649935046.3937163,1649935046.514546,TCP,172.16.2.2,80.0,172.16.1.2,50912.0,,,,,
53,1649935046.5155723,1649935046.5267146,TCP,172.16.1.2,50914.0,172.16.2.2,80.0,,P,T1046,,
54,1649935046.515983,1649935046.5270798,TCP,172.16.2.2,80.0,172.16.1.2,50914.0,,,,,
55,1649935046.5271916,1649935046.5415397,TCP,172.16.1.2,50916.0,172.16.2.2,80.0,,P,T1046,,
56,1649935046.5272844,1649935046.5417557,TCP,172.16.2.2,80.0,172.16.1.2,50916.0,,,,,
57,1649935046.5419407,1649935046.5701566,TCP,172.16.1.2,50918.0,172.16.2.2,80.0,,P,T1046,,
58,1649935046.5421083,1649935046.5705132,TCP,172.16.2.2,80.0,172.16.1.2,50918.0,,,,,
59,1649935046.572585,1649935046.589806,TCP,172.16.1.2,50920.0,172.16.2.2,80.0,,P,T1046,,
60,1649935046.572964,1649935046.5899897,TCP,172.16.2.2,80.0,172.16.1.2,50920.0,,,,,
61,1649935046.590253,1649935046.597974,TCP,172.16.1.2,50922.0,172.16.2.2,80.0,,P,T1046,,
62,1649935046.5904057,1649935046.598158,TCP,172.16.2.2,80.0,172.16.1.2,50922.0,,,,,
63,1649935046.598538,1649935046.6874712,TCP,172.16.1.2,50924.0,172.16.2.2,80.0,,P,T1046,,
64,1649935046.5987437,1649935046.6878233,TCP,172.16.2.2,80.0,172.16.1.2,50924.0,,,,,
65,1649935046.688046,1649935046.9447968,TCP,172.16.1.2,50926.0,172.16.2.2,80.0,,P,T1046,,
66,1649935046.688417,1649935046.9451926,TCP,172.16.2.2,80.0,172.16.1.2,50926.0,,,,,
67,1649935046.9452083,1649935047.0489087,TCP,172.16.1.2,50928.0,172.16.2.2,80.0,,P,T1046,,
68,1649935046.9456103,1649935047.049432,TCP,172.16.2.2,80.0,172.16.1.2,50928.0,,,,,
69,1649935047.049837,1649935047.3081172,TCP,172.16.1.2,50930.0,172.16.2.2,80.0,,P,T1046,,
70,1649935047.0502443,1649935047.30868,TCP,172.16.2.2,80.0,172.16.1.2,50930.0,,,,,
71,1649935047.308696,1649935047.537115,TCP,172.16.1.2,50932.0,172.16.2.2,80.0,,P,T1046,,
72,1649935047.308994,1649935047.537514,TCP,172.16.2.2,80.0,172.16.1.2,50932.0,,,,,
73,1649935047.5376687,1649935047.673537,TCP,172.16.1.2,50934.0,172.16.2.2,80.0,,P,T1046,,
74,1649935047.5380993,1649935047.673874,TCP,172.16.2.2,80.0,172.16.1.2,50934.0,,,,,
75,1649935047.6740055,1649935047.6761656,TCP,172.16.1.2,50936.0,172.16.2.2,80.0,,P,T1046,,
76,1649935047.6744642,1649935047.6764617,TCP,172.16.2.2,80.0,172.16.1.2,50936.0,,,,,
77,1649935047.6766489,1649935047.69469,TCP,172.16.1.2,50938.0,172.16.2.2,80.0,,P,T1046,,
78,1649935047.6768565,1649935047.6951294,TCP,172.16.2.2,80.0,172.16.1.2,50938.0,,,,,
79,1649935047.695155,1649935047.710372,TCP,172.16.1.2,50940.0,172.16.2.2,80.0,,P,T1046,,
80,1649935047.695346,1649935047.710638,TCP,172.16.2.2,80.0,172.16.1.2,50940.0,,,,,
81,1649935047.7108996,1649935047.8435948,TCP,172.16.1.2,50942.0,172.16.2.2,80.0,,P,T1046,,
82,1649935047.711096,1649935047.8438573,TCP,172.16.2.2,80.0,172.16.1.2,50942.0,,,,,
83,1649935047.843923,1649935048.0408535,TCP,172.16.1.2,50944.0,172.16.2.2,80.0,,P,T1046,,
84,1649935047.8443663,1649935048.041014,TCP,172.16.2.2,80.0,172.16.1.2,50944.0,,,,,
85,1649935048.0414824,1649935048.244354,TCP,172.16.1.2,50946.0,172.16.2.2,80.0,,P,T1046,,
86,1649935048.0416985,1649935048.2449,TCP,172.16.2.2,80.0,172.16.1.2,50946.0,,,,,
87,1649935048.2451231,1649935048.390371,TCP,172.16.1.2,50948.0,172.16.2.2,80.0,,P,T1046,,
88,1649935048.2455962,1649935048.3906636,TCP,172.16.2.2,80.0,172.16.1.2,50948.0,,,,,
89,1649935048.390617,1649935048.5933886,TCP,172.16.1.2,50950.0,172.16.2.2,80.0,,P,T1046,,
90,1649935048.390948,1649935048.5935926,TCP,172.16.2.2,80.0,172.16.1.2,50950.0,,,,,
91,1649935048.593809,1649935048.8287,TCP,172.16.1.2,50952.0,172.16.2.2,80.0,,P,T1046,,
92,1649935048.5940113,1649935048.829358,TCP,172.16.2.2,80.0,172.16.1.2,50952.0,,,,,
93,1649935048.829342,1649935049.0401456,TCP,172.16.1.2,50954.0,172.16.2.2,80.0,,P,T1046,,
94,1649935048.8299997,1649935049.0401652,TCP,172.16.2.2,80.0,172.16.1.2,50954.0,,,,,
95,1649935049.040426,1649935049.0667388,TCP,172.16.1.2,50956.0,172.16.2.2,80.0,,P,T1046,,
96,1649935049.040573,1649935049.0669267,TCP,172.16.2.2,80.0,172.16.1.2,50956.0,,,,,
97,1649935049.0671194,1649935049.067917,TCP,172.16.1.2,50958.0,172.16.2.2,80.0,,P,T1046,,
98,1649935049.067295,1649935049.0681038,TCP,172.16.2.2,80.0,172.16.1.2,50958.0,,,,,
99,1649935049.0681891,1649935049.0688117,TCP,172.16.1.2,50960.0,172.16.2.2,80.0,,P,T1046,,
100,1649935049.0682724,1649935049.0689976,TCP,172.16.2.2,80.0,172.16.1.2,50960.0,,,,,
101,1649935049.0704732,1649935049.0713007,TCP,172.16.1.2,50962.0,172.16.2.2,80.0,,P,T1046,,
102,1649935049.0706513,1649935049.071417,TCP,172.16.2.2,80.0,172.16.1.2,50962.0,,,,,
103,1649935049.071616,1649935049.0723276,TCP,172.16.1.2,50964.0,172.16.2.2,80.0,,P,T1046,,
104,1649935049.071723,1649935049.0724113,TCP,172.16.2.2,80.0,172.16.1.2,50964.0,,,,,
105,1649935049.0727336,1649935049.0743067,TCP,172.16.1.2,50966.0,172.16.2.2,80.0,,P,T1046,,
106,1649935049.0728433,1649935049.0744913,TCP,172.16.2.2,80.0,172.16.1.2,50966.0,,,,,
107,1649935049.07459,1649935049.075951,TCP,172.16.1.2,50968.0,172.16.2.2,80.0,,P,T1046,,
108,1649935049.075055,1649935049.0759628,TCP,172.16.2.2,80.0,172.16.1.2,50968.0,,,,,
109,1649935049.0761616,1649935049.0779064,TCP,172.16.1.2,50970.0,172.16.2.2,80.0,,P,T1046,,
110,1649935049.0762322,1649935049.07797,TCP,172.16.2.2,80.0,172.16.1.2,50970.0,,,,,
111,1649935049.0782032,1649935049.078984,TCP,172.16.1.2,50972.0,172.16.2.2,80.0,,P,T1046,,
112,1649935049.078412,1649935049.0791569,TCP,172.16.2.2,80.0,172.16.1.2,50972.0,,,,,
113,1649935049.079363,1649935049.0802631,TCP,172.16.1.2,50974.0,172.16.2.2,80.0,,P,T1046,,
114,1649935049.0795822,1649935049.080428,TCP,172.16.2.2,80.0,172.16.1.2,50974.0,,,,,
115,1649935049.0806136,1649935049.0811305,TCP,172.16.1.2,50976.0,172.16.2.2,80.0,,P,T1046,,
116,1649935049.080694,1649935049.0812025,TCP,172.16.2.2,80.0,172.16.1.2,50976.0,,,,,
117,1649935049.081365,1649935049.170565,TCP,172.16.1.2,50978.0,172.16.2.2,80.0,,P,T1046,,
118,1649935049.081435,1649935049.171112,TCP,172.16.2.2,80.0,172.16.1.2,50978.0,,,,,
119,1649935049.1731024,1649935049.1754827,TCP,172.16.1.2,50980.0,172.16.2.2,80.0,,P,T1046,,
120,1649935049.17352,1649935049.175816,TCP,172.16.2.2,80.0,172.16.1.2,50980.0,,,,,
121,1649935049.1758869,1649935049.177334,TCP,172.16.1.2,50982.0,172.16.2.2,80.0,,P,T1046,,
122,1649935049.176302,1649935049.1775212,TCP,172.16.2.2,80.0,172.16.1.2,50982.0,,,,,
123,1649935049.1780732,1649935049.1795309,TCP,172.16.1.2,50984.0,172.16.2.2,80.0,,P,T1046,,
124,1649935049.1783664,1649935049.1798463,TCP,172.16.2.2,80.0,172.16.1.2,50984.0,,,,,
125,1649935049.180097,1649935049.181414,TCP,172.16.1.2,50986.0,172.16.2.2,80.0,,P,T1046,,
126,1649935049.180329,1649935049.1817658,TCP,172.16.2.2,80.0,172.16.1.2,50986.0,,,,,
127,1649935049.181795,1649935049.1829844,TCP,172.16.1.2,50988.0,172.16.2.2,80.0,,P,T1046,,
128,1649935049.18205,1649935049.1831732,TCP,172.16.2.2,80.0,172.16.1.2,50988.0,,,,,
129,1649935049.183328,1649935049.1841805,TCP,172.16.1.2,50990.0,172.16.2.2,80.0,,P,T1046,,
130,1649935049.1835215,1649935049.1842809,TCP,172.16.2.2,80.0,172.16.1.2,50990.0,,,,,
131,1649935049.1844687,1649935049.1850078,TCP,172.16.1.2,50992.0,172.16.2.2,80.0,,P,T1046,,
132,1649935049.184542,1649935049.185085,TCP,172.16.2.2,80.0,172.16.1.2,50992.0,,,,,
133,1649935049.1852355,1649935049.185744,TCP,172.16.1.2,50994.0,172.16.2.2,80.0,,P,T1046,,
134,1649935049.185316,1649935049.1858113,TCP,172.16.2.2,80.0,172.16.1.2,50994.0,,,,,
135,1649935049.18599,1649935049.1874993,TCP,172.16.1.2,50996.0,172.16.2.2,80.0,,P,T1046,,
136,1649935049.186057,1649935049.1875677,TCP,172.16.2.2,80.0,172.16.1.2,50996.0,,,,,
137,1649935049.1892507,1649935049.1899157,TCP,172.16.1.2,50998.0,172.16.2.2,80.0,,P,T1046,,
138,1649935049.1893425,1649935049.1899405,TCP,172.16.2.2,80.0,172.16.1.2,50998.0,,,,,
139,1649935049.19036,1649935049.1908944,TCP,172.16.1.2,51000.0,172.16.2.2,80.0,,P,T1046,,
140,1649935049.19044,1649935049.1909628,TCP,172.16.2.2,80.0,172.16.1.2,51000.0,,,,,
141,1649935049.1911569,1649935049.1917198,TCP,172.16.1.2,51002.0,172.16.2.2,80.0,,P,T1046,,
142,1649935049.1912289,1649935049.1917949,TCP,172.16.2.2,80.0,172.16.1.2,51002.0,,,,,
143,1649935049.1920118,1649935049.1925385,TCP,172.16.1.2,51004.0,172.16.2.2,80.0,,P,T1046,,
144,1649935049.1921055,1649935049.192604,TCP,172.16.2.2,80.0,172.16.1.2,51004.0,,,,,
145,1649935049.1928124,1649935049.193478,TCP,172.16.1.2,51006.0,172.16.2.2,80.0,,P,T1046,,
146,1649935049.1928835,1649935049.1935897,TCP,172.16.2.2,80.0,172.16.1.2,51006.0,,,,,
147,1649935049.193992,1649935049.194492,TCP,172.16.1.2,51008.0,172.16.2.2,80.0,,P,T1046,,
148,1649935049.194086,1649935049.1945572,TCP,172.16.2.2,80.0,172.16.1.2,51008.0,,,,,
149,1649935049.1947627,1649935049.195278,TCP,172.16.1.2,51010.0,172.16.2.2,80.0,,P,T1046,,
150,1649935049.194837,1649935049.1953568,TCP,172.16.2.2,80.0,172.16.1.2,51010.0,,,,,
151,1649935049.1955087,1649935049.1961017,TCP,172.16.1.2,51012.0,172.16.2.2,80.0,,P,T1046,,
152,1649935049.1955805,1649935049.1961837,TCP,172.16.2.2,80.0,172.16.1.2,51012.0,,,,,
153,1649935049.1964,1649935049.197009,TCP,172.16.1.2,51014.0,172.16.2.2,80.0,,P,T1046,,
154,1649935049.196506,1649935049.1971087,TCP,172.16.2.2,80.0,172.16.1.2,51014.0,,,,,
155,1649935049.1972697,1649935049.1978984,TCP,172.16.1.2,51016.0,172.16.2.2,80.0,,P,T1046,,
156,1649935049.1973574,1649935049.1979918,TCP,172.16.2.2,80.0,172.16.1.2,51016.0,,,,,
157,1649935049.2001784,1649935049.2021608,TCP,172.16.1.2,51018.0,172.16.2.2,80.0,,P,T1046,,
158,1649935049.200339,1649935049.2022347,TCP,172.16.2.2,80.0,172.16.1.2,51018.0,,,,,
159,1649935049.2024484,1649935049.2147183,TCP,172.16.1.2,51020.0,172.16.2.2,80.0,,P,T1046,,
160,1649935049.2025173,1649935049.21479,TCP,172.16.2.2,80.0,172.16.1.2,51020.0,,,,,
161,1649935049.2149577,1649935049.215479,TCP,172.16.1.2,51022.0,172.16.2.2,80.0,,P,T1046,,
162,1649935049.2150297,1649935049.2155497,TCP,172.16.2.2,80.0,172.16.1.2,51022.0,,,,,
163,1649935049.2156994,1649935049.216196,TCP,172.16.1.2,51024.0,172.16.2.2,80.0,,P,T1046,,
164,1649935049.2157652,1649935049.2162683,TCP,172.16.2.2,80.0,172.16.1.2,51024.0,,,,,
165,1649935049.2164426,1649935049.2169263,TCP,172.16.1.2,51026.0,172.16.2.2,80.0,,P,T1046,,
166,1649935049.2165215,1649935049.2169943,TCP,172.16.2.2,80.0,172.16.1.2,51026.0,,,,,
167,1649935049.217167,1649935049.217684,TCP,172.16.1.2,51028.0,172.16.2.2,80.0,,P,T1046,,
168,1649935049.217236,1649935049.217754,TCP,172.16.2.2,80.0,172.16.1.2,51028.0,,,,,
169,1649935049.217917,1649935049.2184453,TCP,172.16.1.2,51030.0,172.16.2.2,80.0,,P,T1046,,
170,1649935049.218,1649935049.2185233,TCP,172.16.2.2,80.0,172.16.1.2,51030.0,,,,,
171,1649935049.2186928,1649935049.219165,TCP,172.16.1.2,51032.0,172.16.2.2,80.0,,P,T1046,,
172,1649935049.2187588,1649935049.219253,TCP,172.16.2.2,80.0,172.16.1.2,51032.0,,,,,
173,1649935049.2194047,1649935049.2198813,TCP,172.16.1.2,51034.0,172.16.2.2,80.0,,P,T1046,,
174,1649935049.219477,1649935049.2199495,TCP,172.16.2.2,80.0,172.16.1.2,51034.0,,,,,
175,1649935049.221347,1649935049.2219667,TCP,172.16.1.2,51036.0,172.16.2.2,80.0,,P,T1046,,
176,1649935049.2214248,1649935049.2220335,TCP,172.16.2.2,80.0,172.16.1.2,51036.0,,,,,
177,1649935049.2222075,1649935049.2226746,TCP,172.16.1.2,51038.0,172.16.2.2,80.0,,P,T1046,,
178,1649935049.2222788,1649935049.2227418,TCP,172.16.2.2,80.0,172.16.1.2,51038.0,,,,,
179,1649935049.2228875,1649935049.22335,TCP,172.16.1.2,51040.0,172.16.2.2,80.0,,P,T1046,,
180,1649935049.222958,1649935049.2234175,TCP,172.16.2.2,80.0,172.16.1.2,51040.0,,,,,
181,1649935049.2235675,1649935049.3169053,TCP,172.16.1.2,51042.0,172.16.2.2,80.0,,P,T1046,,
182,1649935049.2236488,1649935049.3172233,TCP,172.16.2.2,80.0,172.16.1.2,51042.0,,,,,
183,1649935049.3186405,1649935049.3265584,TCP,172.16.1.2,51044.0,172.16.2.2,80.0,,P,T1046,,
184,1649935049.3190951,1649935049.3267524,TCP,172.16.2.2,80.0,172.16.1.2,51044.0,,,,,
185,1649935049.3269403,1649935049.3277535,TCP,172.16.1.2,51046.0,172.16.2.2,80.0,,P,T1046,,
186,1649935049.3270838,1649935049.3279464,TCP,172.16.2.2,80.0,172.16.1.2,51046.0,,,,,
187,1649935049.3280964,1649935049.3287532,TCP,172.16.1.2,51048.0,172.16.2.2,80.0,,P,T1046,,
188,1649935049.328169,1649935049.3289793,TCP,172.16.2.2,80.0,172.16.1.2,51048.0,,,,,
189,1649935049.3289928,1649935049.329624,TCP,172.16.1.2,51050.0,172.16.2.2,80.0,,P,T1046,,
190,1649935049.329141,1649935049.329715,TCP,172.16.2.2,80.0,172.16.1.2,51050.0,,,,,
191,1649935049.3311832,1649935049.3317428,TCP,172.16.1.2,51052.0,172.16.2.2,80.0,,P,T1046,,
192,1649935049.3312736,1649935049.331818,TCP,172.16.2.2,80.0,172.16.1.2,51052.0,,,,,
193,1649935049.3319497,1649935049.3324904,TCP,172.16.1.2,51054.0,172.16.2.2,80.0,,P,T1046,,
194,1649935049.3320467,1649935049.332564,TCP,172.16.2.2,80.0,172.16.1.2,51054.0,,,,,
195,1649935049.3327117,1649935049.3332293,TCP,172.16.1.2,51056.0,172.16.2.2,80.0,,P,T1046,,
196,1649935049.3328066,1649935049.333262,TCP,172.16.2.2,80.0,172.16.1.2,51056.0,,,,,
197,1649935049.3334572,1649935049.3339648,TCP,172.16.1.2,51058.0,172.16.2.2,80.0,,P,T1046,,
198,1649935049.3335292,1649935049.334038,TCP,172.16.2.2,80.0,172.16.1.2,51058.0,,,,,
199,1649935049.3341813,1649935049.3346767,TCP,172.16.1.2,51060.0,172.16.2.2,80.0,,P,T1046,,
200,1649935049.3342524,1649935049.3347473,TCP,172.16.2.2,80.0,172.16.1.2,51060.0,,,,,
201,1649935049.334937,1649935049.3354352,TCP,172.16.1.2,51062.0,172.16.2.2,80.0,,P,T1046,,
202,1649935049.3350146,1649935049.33551,TCP,172.16.2.2,80.0,172.16.1.2,51062.0,,,,,
203,1649935049.335658,1649935049.3361833,TCP,172.16.1.2,51064.0,172.16.2.2,80.0,,P,T1046,,
204,1649935049.3357313,1649935049.3362572,TCP,172.16.2.2,80.0,172.16.1.2,51064.0,,,,,
