Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654975067.7211227,1654975068.5921023,TCP,192.168.1.3,35861.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
2,1654975067.7215216,1654975068.5910146,TCP,192.168.2.2,5985.0,192.168.1.3,35861.0,,,,,
3,1654975065.7470365,1654975066.3979757,TCP,192.168.1.3,44287.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
4,1654975065.7473676,1654975066.3975582,TCP,192.168.2.2,5985.0,192.168.1.3,44287.0,,,,,
5,1654975067.099444,1654975067.207121,TCP,192.168.1.3,35863.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
6,1654975067.0998037,1654975067.2066505,TCP,192.168.2.2,5985.0,192.168.1.3,35863.0,,,,,
7,1654975067.2274203,1654975067.2362218,TCP,192.168.1.3,41171.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
8,1654975067.2276423,1654975067.235895,TCP,192.168.2.2,5985.0,192.168.1.3,41171.0,,,,,
9,1654975067.246156,1654975067.2513864,TCP,192.168.1.3,38263.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
10,1654975067.246528,1654975067.251104,TCP,192.168.2.2,5985.0,192.168.1.3,38263.0,,,,,
11,1654975067.2642329,1654975067.2693665,TCP,192.168.1.3,43715.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
12,1654975067.2645073,1654975067.269066,TCP,192.168.2.2,5985.0,192.168.1.3,43715.0,,,,,
13,1654975067.2747328,1654975067.2801409,TCP,192.168.1.3,38069.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
14,1654975067.2749822,1654975067.2797704,TCP,192.168.2.2,5985.0,192.168.1.3,38069.0,,,,,
15,1654975067.5421734,1654975067.5957446,TCP,192.168.1.3,37269.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
16,1654975067.5426335,1654975067.5951955,TCP,192.168.2.2,5985.0,192.168.1.3,37269.0,,,,,
17,1654975067.640303,1654975067.6682491,TCP,192.168.1.3,39765.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
18,1654975067.6408887,1654975067.6677012,TCP,192.168.2.2,5985.0,192.168.1.3,39765.0,,,,,
19,1654975067.69284,1654975067.7114964,TCP,192.168.1.3,37105.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
20,1654975067.693287,1654975067.7110324,TCP,192.168.2.2,5985.0,192.168.1.3,37105.0,,,,,
21,1654975067.7244911,1654975068.6055348,TCP,192.168.1.3,46639.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
22,1654975068.590848,1654975068.6045053,TCP,192.168.2.2,5985.0,192.168.1.3,46639.0,,,,,
23,1654975068.6259334,1654975068.6465576,TCP,192.168.1.3,42305.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
24,1654975068.6270444,1654975068.6452708,TCP,192.168.2.2,5985.0,192.168.1.3,42305.0,,,,,
25,1654975068.92025,1654975069.0360537,TCP,192.168.1.3,40011.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
26,1654975068.9213336,1654975069.0348456,TCP,192.168.2.2,5985.0,192.168.1.3,40011.0,,,,,
27,1654975069.0830536,1654975069.1003428,TCP,192.168.1.3,37703.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
28,1654975069.0835068,1654975069.0997076,TCP,192.168.2.2,5985.0,192.168.1.3,37703.0,,,,,
29,1654975069.122766,1654975069.131258,TCP,192.168.1.3,35289.0,192.168.2.2,5985.0,,P,T1047,1.0,1.0
