Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1662548723.645962,1662548723.6459987,TCP,172.16.2.2,44979.0,20.189.173.11,443.0,,L,,0.0,0.0
2.0,2,1662548724.326126,1662548724.326126,TCP,172.16.1.2,38302.0,54.189.35.180,443.0,,L,,0.0,0.0
3.0,3,1662548724.3261564,1662548724.3261564,TCP,172.16.1.2,38300.0,54.189.35.180,443.0,,L,,0.0,0.0
4.0,4,1662548736.6143618,1662548736.6143618,TCP,172.16.1.2,45328.0,34.120.208.123,443.0,,L,,0.0,0.0
5.0,5,1662548736.614416,1662548736.614416,TCP,172.16.1.2,45326.0,34.120.208.123,443.0,,L,,0.0,0.0
6.0,6,1662548723.6459868,1662548773.8223128,ICMP,172.16.2.1,,172.16.2.2,,0x00000000_0x00000020_0x0002,L,,0.0,0.0
7.0,7,1662548758.4991229,1662548773.8223398,TCP,172.16.2.2,46435.0,13.69.239.73,443.0,,L,,0.0,0.0
8.0,8,1662548777.8480976,1662548777.849127,TCP,172.16.2.2,41118.0,172.16.1.2,40576.0,,L,,0.0,0.0
,9,1662548777.848226,1662548777.849058,TCP,172.16.1.2,40576.0,172.16.2.2,41118.0,,,,,
9.0,10,1662548777.8373296,1662548777.8510563,TCP,172.16.2.2,52566.0,172.16.1.2,21.0,,P,T1048.003,1.0,1.0
,11,1662548777.8377962,1662548777.8511329,TCP,172.16.1.2,21.0,172.16.2.2,52566.0,,,,,
