"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1706871968.9728656,1706871968.9728813,UDP,10.10.1.9,38276.0,10.10.1.6,53.0,,,,,
2,1706871972.60558,1706871972.60558,UDP,10.10.1.9,41050.0,10.10.1.6,53.0,,,,,
3,1706871973.9779372,1706871973.9779508,UDP,10.10.1.9,51887.0,10.10.1.4,53.0,,,,1.0,1.0
4,1706871973.9783,1706871973.9785025,UDP,10.10.1.4,53.0,10.10.1.9,51887.0,,,,1.0,1.0
5,1706871977.6106424,1706871977.6106424,UDP,10.10.1.9,51503.0,10.10.1.4,53.0,,,,1.0,1.0
6,1706871977.6177697,1706871977.6177697,UDP,10.10.1.4,53.0,10.10.1.9,51503.0,,,,1.0,1.0
7,1706871977.6178806,1706871977.6178806,UDP,10.10.1.9,43096.0,10.10.1.6,53.0,,,,,
9,1706871967.6368306,1706871981.6551757,UDP,10.10.1.9,37589.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
10,1706871982.622934,1706871982.622934,UDP,10.10.1.9,47985.0,10.10.1.4,53.0,,,,1.0,1.0
11,1706871982.6266122,1706871982.6266122,UDP,10.10.1.4,53.0,10.10.1.9,47985.0,,,,1.0,1.0
12,1706871982.626689,1706871982.626689,UDP,10.10.1.9,48835.0,10.10.1.6,53.0,,,,,
13,1706871987.6317337,1706871987.6317337,UDP,10.10.1.9,41176.0,10.10.1.4,53.0,,,,1.0,1.0
14,1706871987.6382744,1706871987.6382744,UDP,10.10.1.4,53.0,10.10.1.9,41176.0,,,,1.0,1.0
15,1706871987.638343,1706871987.638343,UDP,10.10.1.9,41634.0,10.10.1.6,53.0,,,,,
16,1706871992.6425295,1706871992.6425295,UDP,10.10.1.9,45962.0,10.10.1.4,53.0,,,,1.0,1.0
17,1706871992.645336,1706871992.645336,UDP,10.10.1.4,53.0,10.10.1.9,45962.0,,,,1.0,1.0
18,1706871992.6455684,1706871992.6455684,UDP,10.10.1.9,46386.0,10.10.1.6,53.0,,,,,
19,1706871997.65062,1706871997.65062,UDP,10.10.1.9,57162.0,10.10.1.4,53.0,,,,1.0,1.0
20,1706871997.655089,1706871997.655089,UDP,10.10.1.4,53.0,10.10.1.9,57162.0,,,,1.0,1.0
21,1706871997.6551635,1706871997.6551635,UDP,10.10.1.9,39666.0,10.10.1.6,53.0,,,,,
22,1706872002.660217,1706872002.660217,UDP,10.10.1.9,41757.0,10.10.1.4,53.0,,,,1.0,1.0
23,1706872002.6656656,1706872002.6656656,UDP,10.10.1.4,53.0,10.10.1.9,41757.0,,,,1.0,1.0
24,1706872002.665742,1706872002.665742,UDP,10.10.1.9,50053.0,10.10.1.6,53.0,,,,,
25,1706872007.6700203,1706872007.6700203,UDP,10.10.1.9,53388.0,10.10.1.4,53.0,,,,1.0,1.0
26,1706872007.673314,1706872007.673314,UDP,10.10.1.4,53.0,10.10.1.9,53388.0,,,,1.0,1.0
27,1706872007.6733763,1706872007.6733763,UDP,10.10.1.9,48738.0,10.10.1.6,53.0,,,,,
28,1706872012.6784265,1706872012.6784265,UDP,10.10.1.9,60246.0,10.10.1.4,53.0,,,,1.0,1.0
29,1706872012.6848369,1706872012.6848369,UDP,10.10.1.4,53.0,10.10.1.9,60246.0,,,,1.0,1.0
30,1706872012.685025,1706872012.685025,UDP,10.10.1.9,43032.0,10.10.1.6,53.0,,,,,
31,1706872017.6900768,1706872017.6900768,UDP,10.10.1.9,51951.0,10.10.1.4,53.0,,,,1.0,1.0
32,1706872017.695338,1706872017.695338,UDP,10.10.1.4,53.0,10.10.1.9,51951.0,,,,1.0,1.0
33,1706872017.6954205,1706872017.6954205,UDP,10.10.1.9,59577.0,10.10.1.6,53.0,,,,,
34,1706872022.696417,1706872022.696417,UDP,10.10.1.9,49995.0,10.10.1.4,53.0,,,,1.0,1.0
35,1706872022.703257,1706872022.703257,UDP,10.10.1.4,53.0,10.10.1.9,49995.0,,,,1.0,1.0
36,1706872022.703336,1706872022.703336,UDP,10.10.1.9,57201.0,10.10.1.6,53.0,,,,,
37,1706872027.7083898,1706872027.7083898,UDP,10.10.1.9,49608.0,10.10.1.4,53.0,,,,1.0,1.0
38,1706872027.7120953,1706872027.7120953,UDP,10.10.1.4,53.0,10.10.1.9,49608.0,,,,1.0,1.0
39,1706872027.7121625,1706872027.7121625,UDP,10.10.1.9,59423.0,10.10.1.6,53.0,,,,,
40,1706872032.7172177,1706872032.7172177,UDP,10.10.1.9,46420.0,10.10.1.4,53.0,,,,1.0,1.0
41,1706872032.7210505,1706872032.7210505,UDP,10.10.1.4,53.0,10.10.1.9,46420.0,,,,1.0,1.0
42,1706872032.7213454,1706872032.7213454,UDP,10.10.1.9,52311.0,10.10.1.6,53.0,,,,,
43,1706872037.7263966,1706872037.7263966,UDP,10.10.1.9,37192.0,10.10.1.4,53.0,,,,1.0,1.0
44,1706872037.728917,1706872037.728917,UDP,10.10.1.4,53.0,10.10.1.9,37192.0,,,,1.0,1.0
45,1706872037.7290015,1706872037.7290015,UDP,10.10.1.9,51341.0,10.10.1.6,53.0,,,,,
46,1706872021.7452068,1706872041.7709153,UDP,10.10.1.9,52137.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
47,1706872042.734053,1706872042.734053,UDP,10.10.1.9,51638.0,10.10.1.4,53.0,,,,1.0,1.0
48,1706872042.7380216,1706872042.7380216,UDP,10.10.1.4,53.0,10.10.1.9,51638.0,,,,1.0,1.0
49,1706872042.7380967,1706872042.7380967,UDP,10.10.1.9,33708.0,10.10.1.6,53.0,,,,,
50,1706872047.743151,1706872047.743151,UDP,10.10.1.9,34101.0,10.10.1.4,53.0,,,,1.0,1.0
51,1706872047.745982,1706872047.745982,UDP,10.10.1.4,53.0,10.10.1.9,34101.0,,,,1.0,1.0
52,1706872047.7460485,1706872047.7460485,UDP,10.10.1.9,41306.0,10.10.1.6,53.0,,,,,
53,1706872052.7510104,1706872052.7510104,UDP,10.10.1.9,44694.0,10.10.1.4,53.0,,,,1.0,1.0
54,1706872052.7560568,1706872052.7560568,UDP,10.10.1.4,53.0,10.10.1.9,44694.0,,,,1.0,1.0
55,1706872052.7564435,1706872052.7564435,UDP,10.10.1.9,38273.0,10.10.1.6,53.0,,,,,
56,1706872057.7614949,1706872057.7614949,UDP,10.10.1.9,35023.0,10.10.1.4,53.0,,,,1.0,1.0
57,1706872057.7668283,1706872057.7668283,UDP,10.10.1.4,53.0,10.10.1.9,35023.0,,,,1.0,1.0
58,1706872057.7669094,1706872057.7669094,UDP,10.10.1.9,37148.0,10.10.1.6,53.0,,,,,
59,1706872062.7719693,1706872062.7719693,UDP,10.10.1.9,43276.0,10.10.1.4,53.0,,,,1.0,1.0
60,1706872062.77469,1706872062.77469,UDP,10.10.1.4,53.0,10.10.1.9,43276.0,,,,1.0,1.0
61,1706872062.774764,1706872062.774764,UDP,10.10.1.9,34212.0,10.10.1.6,53.0,,,,,
62,1706872067.77981,1706872067.77981,UDP,10.10.1.9,53843.0,10.10.1.4,53.0,,,,1.0,1.0
63,1706872067.7827516,1706872067.7827516,UDP,10.10.1.4,53.0,10.10.1.9,53843.0,,,,1.0,1.0
64,1706872067.7828145,1706872067.7828145,UDP,10.10.1.9,47761.0,10.10.1.6,53.0,,,,,
65,1706872072.7878602,1706872072.7878602,UDP,10.10.1.9,47149.0,10.10.1.4,53.0,,,,1.0,1.0
66,1706872072.7908227,1706872072.7908227,UDP,10.10.1.4,53.0,10.10.1.9,47149.0,,,,1.0,1.0
67,1706872072.7912133,1706872072.7912133,UDP,10.10.1.9,47790.0,10.10.1.6,53.0,,,,,
