Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1718291627.299656,1718291627.299656,TCP,192.168.0.20,36320,192.168.0.30,1234,,L,,0.0,0.0
,2,1718291627.2996788,1718291627.2996788,TCP,192.168.0.30,1234,192.168.0.20,36320,,,,,
2.0,3,1718291719.7884374,1718291719.79203,TCP,192.168.0.20,47818,192.168.0.30,37337,,L,,0.0,0.0
,4,1718291719.7884507,1718291719.7920911,TCP,192.168.0.30,37337,192.168.0.20,47818,,,,,
3.0,5,1718291738.2473276,1718291738.2521298,TCP,192.168.0.20,50408,192.168.0.30,44524,,L,,0.0,0.0
,6,1718291738.2473412,1718291738.2521455,TCP,192.168.0.30,44524,192.168.0.20,50408,,,,,
4.0,7,1718291752.2925868,1718291752.2980874,TCP,192.168.0.20,33264,192.168.0.30,64640,,L,,0.0,0.0
,8,1718291752.292601,1718291752.298169,TCP,192.168.0.30,64640,192.168.0.20,33264,,,,,
5.0,9,1718291760.4872217,1718291760.6348794,TCP,192.168.0.20,40270,192.168.0.30,57888,,L,,0.0,0.0
,10,1718291760.4872344,1718291760.634904,TCP,192.168.0.30,57888,192.168.0.20,40270,,,,,
6.0,13,1718291690.285239,1718291760.634879,TCP,192.168.0.20,49884,192.168.0.30,21,,P,T1105,1.0,1.0
,14,1718291690.2852628,1718291760.6125998,TCP,192.168.0.30,21,192.168.0.20,49884,,,,,
7.0,15,1718291632.3255107,1718291787.6055324,TCP,192.168.0.20,51962,192.168.0.30,1234,,L,,0.0,0.0
,16,1718291632.325601,1718291787.5934398,TCP,192.168.0.30,1234,192.168.0.20,51962,,,,,
