Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1717324907.208597,1717324907.208597,UDP,192.168.10.1,138.0,192.168.10.255,138.0,,L,,0.0,0.0
2.0,2,1717324907.302452,1717324907.302452,UDP,fe80::41ca:6bd7:a0c6:a9e9,55505.0,ff02::1:3,5355.0,,L,,0.0,0.0
3.0,3,1717324907.302631,1717324907.302631,UDP,192.168.10.1,55505.0,224.0.0.252,5355.0,,L,,0.0,0.0
4.0,4,1717324907.30315,1717324907.30315,UDP,fe80::a395:ac54:a15c:32aa,5355.0,fe80::41ca:6bd7:a0c6:a9e9,55505.0,,L,,0.0,0.0
5.0,5,1717324907.303253,1717324907.303253,UDP,192.168.10.2,5355.0,192.168.10.1,55505.0,,L,,0.0,0.0
6.0,6,1717324907.303966,1717324907.303966,UDP,fe80::41ca:6bd7:a0c6:a9e9,52766.0,ff02::1:3,5355.0,,L,,0.0,0.0
7.0,7,1717324907.304314,1717324907.304314,UDP,192.168.10.1,52766.0,224.0.0.252,5355.0,,L,,0.0,0.0
8.0,8,1717324907.304988,1717324907.304988,UDP,fe80::a395:ac54:a15c:32aa,5355.0,fe80::41ca:6bd7:a0c6:a9e9,52766.0,,L,,0.0,0.0
9.0,9,1717324907.305372,1717324907.305372,UDP,192.168.10.2,5355.0,192.168.10.1,52766.0,,L,,0.0,0.0
10.0,10,1717324907.305384,1717324907.305384,ICMP,192.168.10.1,,192.168.10.2,,0x00000000_0x00000008_0x0008,L,,0.0,0.0
11.0,11,1717324907.299846,1717324907.358851,UDP,192.168.10.1,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
12.0,12,1717324907.300738,1717324907.359165,UDP,fe80::41ca:6bd7:a0c6:a9e9,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
13.0,13,1717324907.300566,1717324907.359271,UDP,192.168.10.2,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
14.0,14,1717324907.301167,1717324907.359539,UDP,fe80::a395:ac54:a15c:32aa,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
15.0,15,1717324907.361354,1717324926.338338,TCP,fe80::41ca:6bd7:a0c6:a9e9,58439.0,fe80::a395:ac54:a15c:32aa,445.0,,P,T1112,1.0,1.0
,16,1717324907.361708,1717324926.280368,TCP,fe80::a395:ac54:a15c:32aa,445.0,fe80::41ca:6bd7:a0c6:a9e9,58439.0,,,,,
