Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716220921.637731,1716220921.645914,TCP,192.168.10.5,10032,192.168.10.10,389,,P,T1114,1.0,1.0
,2,1716220921.637989,1716220921.646187,TCP,192.168.10.10,389,192.168.10.5,10032,,,,,
2.0,3,1716220921.647425,1716220921.650522,TCP,192.168.10.5,10033,192.168.10.10,389,,P,T1114,1.0,1.0
,4,1716220921.647645,1716220921.650522,TCP,192.168.10.10,389,192.168.10.5,10033,,,,,
3.0,5,1716220921.652134,1716220934.717941,TCP,192.168.10.5,10034,192.168.10.10,389,,P,T1114,1.0,1.0
,6,1716220921.652346,1716220934.718365,TCP,192.168.10.10,389,192.168.10.5,10034,,,,,
4.0,7,1716220926.327816,1716220937.032099,TCP,192.168.10.5,10047,192.168.10.10,445,,L,,0.0,0.0
,8,1716220926.328027,1716220937.031878,TCP,192.168.10.10,445,192.168.10.5,10047,,,,,
5.0,9,1716220922.557884,1716220922.557884,UDP,192.168.10.6,50709,192.168.10.10,53,,L,,0.0,0.0
,10,1716220922.558251,1716220922.558251,UDP,192.168.10.10,53,192.168.10.6,50709,,,,,
6.0,11,1716220922.558586,1716220922.588694,TCP,192.168.10.6,62081,192.168.10.5,80,,L,,0.0,0.0
,12,1716220922.558783,1716220922.588655,TCP,192.168.10.5,80,192.168.10.6,62081,,,,,
7.0,13,1716220922.590779,1716220923.155214,TCP,192.168.10.6,62082,192.168.10.5,80,,L,,0.0,0.0
,14,1716220922.590969,1716220923.155411,TCP,192.168.10.5,80,192.168.10.6,62082,,,,,
8.0,15,1716220926.529146,1716220935.768556,TCP,192.168.10.6,62084,192.168.10.5,80,,L,,0.0,0.0
,16,1716220926.529397,1716220935.768515,TCP,192.168.10.5,80,192.168.10.6,62084,,,,,
9.0,17,1716220926.458583,1716220935.801349,TCP,192.168.10.6,62083,192.168.10.5,80,,L,,0.0,0.0
,18,1716220926.458948,1716220935.801316,TCP,192.168.10.5,80,192.168.10.6,62083,,,,,
10.0,19,1716220938.813057,1716220938.813057,UDP,192.168.10.10,138,192.168.10.255,138,,L,,0.0,0.0
