Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1718363095.7620516,1718363095.7745838,TCP,192.168.0.30,37914.0,192.168.0.20,80.0,,C,,0.0,0.0
,2,1718363095.7629032,1718363095.7753356,TCP,192.168.0.20,80.0,192.168.0.30,37914.0,,,,,
2.0,3,1718363057.0998795,1718363057.0998795,58,fe80::a00:27ff:fece:e7c7,,ff02::2,,,L,,0.0,0.0
3.0,4,1718363061.136812,1718363061.136812,UDP,fe80::a00:27ff:fe20:85b8,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
4.0,5,1718363061.1376565,1718363061.1562164,UDP,192.168.0.20,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
5.0,8,1718363103.2076683,1718363103.2128212,TCP,192.168.0.30,37930.0,192.168.0.20,80.0,,P,T1132.001,1.0,1.0
,9,1718363103.2090285,1718363103.2146008,TCP,192.168.0.20,80.0,192.168.0.30,37930.0,,,,,
6.0,10,1718363104.0724714,1718363104.108956,UDP,192.168.0.30,138.0,192.168.0.255,138.0,,L,,0.0,0.0
7.0,11,1718363117.679408,1718363117.6836123,TCP,192.168.0.30,41690.0,192.168.0.20,80.0,,P,T1132.001,1.0,1.0
,12,1718363117.6803875,1718363117.6845634,TCP,192.168.0.20,80.0,192.168.0.30,41690.0,,,,,
8.0,13,1718363123.8552835,1718363123.8610048,TCP,192.168.0.30,41698.0,192.168.0.20,80.0,,P,T1132.001,1.0,1.0
,14,1718363123.8561823,1718363123.8613915,TCP,192.168.0.20,80.0,192.168.0.30,41698.0,,,,,
9.0,15,1718363008.57419,1718363129.8375068,TCP,192.168.0.20,59950.0,192.168.0.30,1234.0,,P,T1132.001,1.0,1.0
,16,1718363008.5742188,1718363129.8375723,TCP,192.168.0.30,1234.0,192.168.0.20,59950.0,,,,,
10.0,17,1718363129.833748,1718363129.8389704,TCP,192.168.0.30,45234.0,192.168.0.20,80.0,,P,T1132.001,1.0,1.0
,18,1718363129.8344977,1718363129.8402116,TCP,192.168.0.20,80.0,192.168.0.30,45234.0,,,,,
