Flow Number,"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1712838139.883308,1712838139.883308,TCP,100.96.1.4,56724.0,2.20.71.88,80.0,,P,T1133,1.0,1.0
,2,1712838139.893955,1712838139.893955,TCP,2.20.71.88,80.0,100.96.1.4,56724.0,,,,,
2.0,3,1712838140.393229,1712838140.393229,TCP,100.96.1.4,56724.0,2.20.71.88,80.0,,L,,0.0,0.0
,4,1712838140.414305,1712838140.414305,TCP,2.20.71.88,80.0,100.96.1.4,56724.0,,,,,
3.0,5,1712838136.068532,1712838136.068532,58,::,,ff02::1:ff9e:95d3,,,L,,0.0,0.0
4.0,6,1712838136.068543,1712838136.068543,58,::,,ff02::1:ff00:4,,,L,,0.0,0.0
5.0,7,1712838137.068449,1712838137.068449,58,fe80::e6ae:7105:9b9e:95d3,,ff02::1,,,L,,0.0,0.0
6.0,8,1712838137.068461,1712838137.068461,58,fd:0:0:8100::4,,ff02::1,,,L,,0.0,0.0
7.0,9,1712838139.463158,1712838139.463158,UDP,100.96.1.4,61943.0,100.96.1.1,53.0,,L,,0.0,0.0
,10,1712838139.478293,1712838139.478293,UDP,100.96.1.1,53.0,100.96.1.4,61943.0,,,,,
8.0,11,1712838139.07936,1712838139.568401,2,100.96.1.4,,224.0.0.22,,,L,,0.0,0.0
9.0,12,1712838135.907685,1712838139.568463,58,fe80::e6ae:7105:9b9e:95d3,,ff02::16,,,L,,0.0,0.0
10.0,13,1712838139.463014,1712838139.870978,UDP,100.96.1.4,54426.0,100.96.1.1,53.0,,L,,0.0,0.0
,14,1712838139.474549,1712838139.882728,UDP,100.96.1.1,53.0,100.96.1.4,54426.0,,,,,
11.0,15,1712838139.871254,1712838139.871254,UDP,100.96.1.4,63529.0,100.96.1.1,53.0,,L,,0.0,0.0
,16,1712838139.882772,1712838139.882772,UDP,100.96.1.1,53.0,100.96.1.4,63529.0,,,,,
12.0,17,1712838139.154506,1712838141.405351,UDP,100.96.1.4,137.0,100.96.1.15,137.0,,L,,0.0,0.0
13.0,18,1712838136.091652,1712838142.216893,58,fe80::e6ae:7105:9b9e:95d3,,ff02::1:ff00:8,,,L,,0.0,0.0
14.0,19,1712838136.091675,1712838142.216898,58,fe80::8,,fe80::e6ae:7105:9b9e:95d3,,,L,,0.0,0.0
15.0,20,1712838140.667494,1712838143.670644,UDP,100.96.1.4,63532.0,239.255.255.250,1900.0,,L,,0.0,0.0
16.0,21,1712838140.677545,1712838143.681052,UDP,100.96.1.4,63536.0,239.255.255.250,1900.0,,L,,0.0,0.0
17.0,22,1712838140.677799,1712838143.681054,UDP,100.96.1.4,63540.0,239.255.255.250,1900.0,,L,,0.0,0.0
18.0,23,1712838136.06857,1712838144.068215,58,fe80::e6ae:7105:9b9e:95d3,,ff02::2,,,L,,0.0,0.0
19.0,24,1712838139.112224,1712838146.663946,UDP,100.96.1.4,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
20.0,25,1712838137.090206,1712838146.664015,UDP,fe80::e6ae:7105:9b9e:95d3,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
21.0,26,1712838146.048781,1712838153.185624,UDP,100.96.1.4,62520.0,239.255.255.250,3702.0,,L,,0.0,0.0
22.0,27,1712838146.048412,1712838153.487486,UDP,fe80::e6ae:7105:9b9e:95d3,62521.0,ff02::c,3702.0,,L,,0.0,0.0
23.0,28,1712838158.83993,1712838158.83993,UDP,100.96.1.4,50618.0,100.96.1.1,53.0,,L,,0.0,0.0
,29,1712838158.851634,1712838158.851634,UDP,100.96.1.1,53.0,100.96.1.4,50618.0,,,,,
24.0,30,1712838141.20403,1712838167.284465,UDP,100.96.1.4,64410.0,100.96.1.1,53.0,,L,,0.0,0.0
,31,1712838141.216002,1712838167.297597,UDP,100.96.1.1,53.0,100.96.1.4,64410.0,,,,,
25.0,32,1712838141.203828,1712838167.284518,UDP,100.96.1.4,53040.0,100.96.1.1,53.0,,L,,0.0,0.0
,33,1712838141.21603,1712838167.297553,UDP,100.96.1.1,53.0,100.96.1.4,53040.0,,,,,
26.0,34,1712838135.699373,1712838167.701051,UDP,fe80::e6ae:7105:9b9e:95d3,546.0,ff02::1:2,547.0,,L,,0.0,0.0
27.0,38,1712838158.839754,1712838175.384481,UDP,100.96.1.4,53134.0,100.96.1.1,53.0,,L,,0.0,0.0
,39,1712838158.851603,1712838175.396332,UDP,100.96.1.1,53.0,100.96.1.4,53134.0,,,,,
28.0,40,1712838141.204252,1712838175.384482,UDP,100.96.1.4,58555.0,100.96.1.1,53.0,,L,,0.0,0.0
,41,1712838141.215971,1712838175.396299,UDP,100.96.1.1,53.0,100.96.1.4,58555.0,,,,,
29.0,42,1712838141.204398,1712838175.384528,UDP,100.96.1.4,63790.0,100.96.1.1,53.0,,L,,0.0,0.0
,43,1712838141.215916,1712838175.39635,UDP,100.96.1.1,53.0,100.96.1.4,63790.0,,,,,
30.0,44,1712838175.384666,1712838175.384666,UDP,100.96.1.4,52605.0,100.96.1.1,53.0,,L,,0.0,0.0
,45,1712838175.396367,1712838175.396367,UDP,100.96.1.1,53.0,100.96.1.4,52605.0,,,,,
31.0,46,1712838141.203991,1712838177.002061,UDP,100.96.1.4,50724.0,100.96.1.1,53.0,,L,,0.0,0.0
,47,1712838141.216085,1712838177.083823,UDP,100.96.1.1,53.0,100.96.1.4,50724.0,,,,,
32.0,48,1712838141.203828,1712838177.002061,UDP,100.96.1.4,54264.0,100.96.1.1,53.0,,L,,0.0,0.0
,49,1712838141.216057,1712838177.083866,UDP,100.96.1.1,53.0,100.96.1.4,54264.0,,,,,
