Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1715532174.0276792,1715532174.0376582,TCP,192.168.10.2,45596.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
2,1715532174.0279148,1715532174.0378363,TCP,192.168.10.1,9200.0,192.168.10.2,45596.0,,,,,
3,1715532174.150198,1715532174.1526892,TCP,192.168.10.2,45610.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
4,1715532174.150429,1715532174.1530228,TCP,192.168.10.1,9200.0,192.168.10.2,45610.0,,,,,
5,1715532176.8356447,1715532176.838009,TCP,192.168.10.2,55102.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
6,1715532176.835861,1715532176.8383293,TCP,192.168.10.1,9200.0,192.168.10.2,55102.0,,,,,
7,1715532176.9191723,1715532176.922184,TCP,192.168.10.2,55118.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
8,1715532176.9193532,1715532176.9223428,TCP,192.168.10.1,9200.0,192.168.10.2,55118.0,,,,,
9,1715532177.2003667,1715532177.2038584,TCP,192.168.10.2,55128.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
10,1715532177.20056,1715532177.2039757,TCP,192.168.10.1,9200.0,192.168.10.2,55128.0,,,,,
11,1715532177.2099495,1715532177.215305,TCP,192.168.10.2,55130.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
12,1715532177.2101333,1715532177.2155185,TCP,192.168.10.1,9200.0,192.168.10.2,55130.0,,,,,
13,1715532177.2248242,1715532177.2279336,TCP,192.168.10.2,55132.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
14,1715532177.224993,1715532177.2281132,TCP,192.168.10.1,9200.0,192.168.10.2,55132.0,,,,,
15,1715532177.2301247,1715532177.23568,TCP,192.168.10.2,55140.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
16,1715532177.2303288,1715532177.2358491,TCP,192.168.10.1,9200.0,192.168.10.2,55140.0,,,,,
17,1715532177.2703311,1715532177.272925,TCP,192.168.10.2,55144.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
18,1715532177.2705872,1715532177.273039,TCP,192.168.10.1,9200.0,192.168.10.2,55144.0,,,,,
19,1715532177.3225543,1715532177.3270037,TCP,192.168.10.2,55156.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
20,1715532177.3230274,1715532177.3272276,TCP,192.168.10.1,9200.0,192.168.10.2,55156.0,,,,,
21,1715532177.340616,1715532177.3437824,TCP,192.168.10.2,55164.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
22,1715532177.3408396,1715532177.3439264,TCP,192.168.10.1,9200.0,192.168.10.2,55164.0,,,,,
23,1715532177.4213483,1715532177.423758,TCP,192.168.10.2,55166.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
24,1715532177.421571,1715532177.4238846,TCP,192.168.10.1,9200.0,192.168.10.2,55166.0,,,,,
25,1715532180.7342944,1715532180.736529,TCP,192.168.10.2,55176.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
26,1715532180.734522,1715532180.7366548,TCP,192.168.10.1,9200.0,192.168.10.2,55176.0,,,,,
27,1715532180.754604,1715532180.7564964,TCP,192.168.10.2,55182.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
28,1715532180.7548249,1715532180.7566044,TCP,192.168.10.1,9200.0,192.168.10.2,55182.0,,,,,
29,1715532181.5503578,1715532181.5531037,TCP,192.168.10.2,55194.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
30,1715532181.550691,1715532181.5532491,TCP,192.168.10.1,9200.0,192.168.10.2,55194.0,,,,,
31,1715532181.586398,1715532181.5913208,TCP,192.168.10.2,55202.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
32,1715532181.5866013,1715532181.5914323,TCP,192.168.10.1,9200.0,192.168.10.2,55202.0,,,,,
33,1715532181.6784177,1715532181.6903524,TCP,192.168.10.2,55204.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
34,1715532181.678661,1715532181.6904953,TCP,192.168.10.1,9200.0,192.168.10.2,55204.0,,,,,
35,1715532181.930154,1715532181.9324386,TCP,192.168.10.2,55212.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
36,1715532181.9303508,1715532181.9325745,TCP,192.168.10.1,9200.0,192.168.10.2,55212.0,,,,,
37,1715532181.9331603,1715532181.9348953,TCP,192.168.10.2,55220.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
38,1715532181.93329,1715532181.9350324,TCP,192.168.10.1,9200.0,192.168.10.2,55220.0,,,,,
39,1715532208.4131715,1715532208.4159763,TCP,192.168.10.2,37760.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
40,1715532208.4134133,1715532208.4160995,TCP,192.168.10.1,9200.0,192.168.10.2,37760.0,,,,,
41,1715532208.458941,1715532208.461883,TCP,192.168.10.2,37774.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
42,1715532208.459225,1715532208.462045,TCP,192.168.10.1,9200.0,192.168.10.2,37774.0,,,,,
43,1715532208.493847,1715532208.5022776,TCP,192.168.10.2,37790.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
44,1715532208.494105,1715532208.5024529,TCP,192.168.10.1,9200.0,192.168.10.2,37790.0,,,,,
45,1715532221.0063596,1715532221.0085576,TCP,192.168.10.2,45020.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
46,1715532221.0065525,1715532221.0086656,TCP,192.168.10.1,9200.0,192.168.10.2,45020.0,,,,,
47,1715532221.0074415,1715532221.0096283,TCP,192.168.10.2,45022.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
48,1715532221.0075886,1715532221.0098045,TCP,192.168.10.1,9200.0,192.168.10.2,45022.0,,,,,
49,1715532221.4993346,1715532221.5018632,TCP,192.168.10.2,45032.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
50,1715532221.4995856,1715532221.501984,TCP,192.168.10.1,9200.0,192.168.10.2,45032.0,,,,,
51,1715532222.2695758,1715532222.2736688,TCP,192.168.10.2,45040.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
52,1715532222.2697723,1715532222.2738097,TCP,192.168.10.1,9200.0,192.168.10.2,45040.0,,,,,
53,1715532233.327109,1715532233.3303926,TCP,192.168.10.2,34336.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
54,1715532233.3273263,1715532233.3305268,TCP,192.168.10.1,9200.0,192.168.10.2,34336.0,,,,,
55,1715532233.958996,1715532233.9623742,TCP,192.168.10.2,34350.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
56,1715532233.9592352,1715532233.9625435,TCP,192.168.10.1,9200.0,192.168.10.2,34350.0,,,,,
57,1715532242.1940465,1715532242.1963463,TCP,192.168.10.2,44858.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
58,1715532242.1942563,1715532242.1964624,TCP,192.168.10.1,9200.0,192.168.10.2,44858.0,,,,,
59,1715532243.513657,1715532243.517016,TCP,192.168.10.2,44864.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
60,1715532243.5138707,1715532243.517125,TCP,192.168.10.1,9200.0,192.168.10.2,44864.0,,,,,
61,1715532250.0990815,1715532250.1010177,TCP,192.168.10.2,49366.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
62,1715532250.099239,1715532250.101128,TCP,192.168.10.1,9200.0,192.168.10.2,49366.0,,,,,
63,1715532250.5055609,1715532250.5078037,TCP,192.168.10.2,49382.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
64,1715532250.5057304,1715532250.5079362,TCP,192.168.10.1,9200.0,192.168.10.2,49382.0,,,,,
65,1715532254.2187014,1715532254.2210364,TCP,192.168.10.2,49398.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
66,1715532254.2188852,1715532254.2211556,TCP,192.168.10.1,9200.0,192.168.10.2,49398.0,,,,,
67,1715532255.1381416,1715532255.1420023,TCP,192.168.10.2,49400.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
68,1715532255.1384144,1715532255.1422272,TCP,192.168.10.1,9200.0,192.168.10.2,49400.0,,,,,
69,1715532267.70606,1715532267.7080305,TCP,192.168.10.2,48962.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
70,1715532267.7062397,1715532267.7081592,TCP,192.168.10.1,9200.0,192.168.10.2,48962.0,,,,,
71,1715532267.87903,1715532267.880739,TCP,192.168.10.2,48964.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
72,1715532267.8792496,1715532267.88083,TCP,192.168.10.1,9200.0,192.168.10.2,48964.0,,,,,
73,1715532267.892432,1715532267.8959713,TCP,192.168.10.2,48980.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
74,1715532267.892609,1715532267.896138,TCP,192.168.10.1,9200.0,192.168.10.2,48980.0,,,,,
75,1715532267.9906526,1715532267.995748,TCP,192.168.10.2,48986.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
76,1715532267.9908864,1715532267.9960244,TCP,192.168.10.1,9200.0,192.168.10.2,48986.0,,,,,
77,1715532268.1728723,1715532268.175689,TCP,192.168.10.2,49000.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
78,1715532268.1732516,1715532268.1758187,TCP,192.168.10.1,9200.0,192.168.10.2,49000.0,,,,,
79,1715532268.1924882,1715532268.1950366,TCP,192.168.10.2,49002.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
80,1715532268.192761,1715532268.1951609,TCP,192.168.10.1,9200.0,192.168.10.2,49002.0,,,,,
81,1715532268.2299342,1715532268.2318635,TCP,192.168.10.2,49014.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
82,1715532268.2301233,1715532268.2319722,TCP,192.168.10.1,9200.0,192.168.10.2,49014.0,,,,,
83,1715532268.322482,1715532268.32984,TCP,192.168.10.2,49016.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
84,1715532268.322718,1715532268.3300254,TCP,192.168.10.1,9200.0,192.168.10.2,49016.0,,,,,
85,1715532268.3555586,1715532268.3577871,TCP,192.168.10.2,49026.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
86,1715532268.3557518,1715532268.3579323,TCP,192.168.10.1,9200.0,192.168.10.2,49026.0,,,,,
87,1715532268.3609743,1715532268.36362,TCP,192.168.10.2,49030.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
88,1715532268.3612213,1715532268.3637693,TCP,192.168.10.1,9200.0,192.168.10.2,49030.0,,,,,
89,1715532268.5388448,1715532268.5507617,TCP,192.168.10.2,49036.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
90,1715532268.5390267,1715532268.5509684,TCP,192.168.10.1,9200.0,192.168.10.2,49036.0,,,,,
91,1715532268.5511773,1715532268.5551038,TCP,192.168.10.2,49040.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
92,1715532268.5513456,1715532268.5552568,TCP,192.168.10.1,9200.0,192.168.10.2,49040.0,,,,,
93,1715532268.7093687,1715532268.7122428,TCP,192.168.10.2,49046.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
94,1715532268.7096288,1715532268.71236,TCP,192.168.10.1,9200.0,192.168.10.2,49046.0,,,,,
95,1715532268.8748183,1715532268.8789809,TCP,192.168.10.2,49056.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
96,1715532268.8750224,1715532268.8790958,TCP,192.168.10.1,9200.0,192.168.10.2,49056.0,,,,,
97,1715532268.876067,1715532268.8796933,TCP,192.168.10.2,49062.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
98,1715532268.8762095,1715532268.8798237,TCP,192.168.10.1,9200.0,192.168.10.2,49062.0,,,,,
99,1715532269.3024986,1715532269.305235,TCP,192.168.10.2,49064.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
100,1715532269.3027177,1715532269.3053565,TCP,192.168.10.1,9200.0,192.168.10.2,49064.0,,,,,
101,1715532269.3333523,1715532269.3353868,TCP,192.168.10.2,49070.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
102,1715532269.333548,1715532269.3354971,TCP,192.168.10.1,9200.0,192.168.10.2,49070.0,,,,,
103,1715532269.360498,1715532269.362816,TCP,192.168.10.2,49084.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
104,1715532269.360711,1715532269.3629327,TCP,192.168.10.1,9200.0,192.168.10.2,49084.0,,,,,
105,1715532269.7836325,1715532269.785748,TCP,192.168.10.2,49100.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
106,1715532269.7838137,1715532269.785855,TCP,192.168.10.1,9200.0,192.168.10.2,49100.0,,,,,
107,1715532269.938451,1715532269.942598,TCP,192.168.10.2,49108.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
108,1715532269.9386623,1715532269.942806,TCP,192.168.10.1,9200.0,192.168.10.2,49108.0,,,,,
109,1715532270.148913,1715532270.1525333,TCP,192.168.10.2,49124.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
110,1715532270.1491735,1715532270.1526952,TCP,192.168.10.1,9200.0,192.168.10.2,49124.0,,,,,
111,1715532270.3556564,1715532270.3591316,TCP,192.168.10.2,49132.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
112,1715532270.3558724,1715532270.3592658,TCP,192.168.10.1,9200.0,192.168.10.2,49132.0,,,,,
113,1715532270.4796047,1715532270.4818692,TCP,192.168.10.2,49140.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
114,1715532270.4798074,1715532270.482001,TCP,192.168.10.1,9200.0,192.168.10.2,49140.0,,,,,
115,1715532270.5282369,1715532270.530652,TCP,192.168.10.2,49154.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
116,1715532270.5284877,1715532270.530764,TCP,192.168.10.1,9200.0,192.168.10.2,49154.0,,,,,
117,1715532270.6300025,1715532270.632852,TCP,192.168.10.2,49160.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
118,1715532270.630202,1715532270.6329913,TCP,192.168.10.1,9200.0,192.168.10.2,49160.0,,,,,
119,1715532270.638891,1715532270.6415095,TCP,192.168.10.2,49162.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
120,1715532270.6390903,1715532270.641665,TCP,192.168.10.1,9200.0,192.168.10.2,49162.0,,,,,
121,1715532270.6995869,1715532270.7100255,TCP,192.168.10.2,49168.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
122,1715532270.6997805,1715532270.7101831,TCP,192.168.10.1,9200.0,192.168.10.2,49168.0,,,,,
123,1715532270.74589,1715532270.7480495,TCP,192.168.10.2,49174.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
124,1715532270.7462046,1715532270.7481613,TCP,192.168.10.1,9200.0,192.168.10.2,49174.0,,,,,
125,1715532270.7513306,1715532270.7544549,TCP,192.168.10.2,49176.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
126,1715532270.751511,1715532270.7545729,TCP,192.168.10.1,9200.0,192.168.10.2,49176.0,,,,,
127,1715532270.9998195,1715532271.0018387,TCP,192.168.10.2,49186.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
128,1715532271.0000494,1715532271.0019667,TCP,192.168.10.1,9200.0,192.168.10.2,49186.0,,,,,
129,1715532272.08583,1715532272.0915484,TCP,192.168.10.2,49200.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
130,1715532272.0860548,1715532272.091726,TCP,192.168.10.1,9200.0,192.168.10.2,49200.0,,,,,
131,1715532272.2546751,1715532272.258275,TCP,192.168.10.2,49214.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
132,1715532272.2548723,1715532272.2584472,TCP,192.168.10.1,9200.0,192.168.10.2,49214.0,,,,,
133,1715532272.388427,1715532272.3908384,TCP,192.168.10.2,49228.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
134,1715532272.3887415,1715532272.3911605,TCP,192.168.10.1,9200.0,192.168.10.2,49228.0,,,,,
135,1715532272.404933,1715532272.407776,TCP,192.168.10.2,49230.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
136,1715532272.4051504,1715532272.4079316,TCP,192.168.10.1,9200.0,192.168.10.2,49230.0,,,,,
137,1715532272.4878924,1715532272.49043,TCP,192.168.10.2,49244.0,192.168.10.1,9200.0,,P,T1176,1.0,1.0
138,1715532272.488075,1715532272.4905589,TCP,192.168.10.1,9200.0,192.168.10.2,49244.0,,,,,
