Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances,Unnamed: 14
1.0,1,1713880101.4730587,1713880101.487049,TCP,192.168.0.10,49187,192.168.0.30,445,,P,T1187,1.0,3.0,"Primer SMB NEGOTIATE → NTLMSSP_AUTH fabricado para obligar al servidor a entregar credenciales. La regla DPI salta aquí (1 mensaje). Se detectan 3 intentos totales en la misma ráfaga, por eso se anotan 3 instancias."
,2,1713880101.473076,1713880101.4858916,TCP,192.168.0.30,445,192.168.0.10,49187,,,,,,
2.0,3,1713880101.5421293,1713880101.5555496,TCP,192.168.0.10,49188,192.168.0.30,445,,L,,0.0,0.0,
,4,1713880101.5421531,1713880101.5534668,TCP,192.168.0.30,445,192.168.0.10,49188,,,,,,
3.0,5,1713880101.5600395,1713880101.5706365,TCP,192.168.0.10,49189,192.168.0.30,445,,L,,0.0,0.0,
,6,1713880101.5600572,1713880101.5695844,TCP,192.168.0.30,445,192.168.0.10,49189,,,,,,
4.0,7,1713880101.5767736,1713880101.595045,TCP,192.168.0.10,49190,192.168.0.30,445,,L,,0.0,0.0,
,8,1713880101.5767925,1713880101.5936513,TCP,192.168.0.30,445,192.168.0.10,49190,,,,,,
5.0,9,1713880114.8730571,1713880114.8866763,TCP,192.168.0.10,49191,192.168.0.30,445,,L,,0.0,0.0,
,10,1713880114.8730798,1713880114.885325,TCP,192.168.0.30,445,192.168.0.10,49191,,,,,,
6.0,11,1713880099.1956532,1713880099.1956532,UDP,192.168.0.30,138,192.168.0.255,138,,L,,0.0,0.0,
7.0,12,1713880099.1939516,1713880100.6854925,UDP,192.168.0.10,137,192.168.0.255,137,,L,,0.0,0.0,
8.0,14,1713880099.195042,1713880102.6901288,UDP,192.168.0.30,137,192.168.0.255,137,,L,,0.0,0.0,
