Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1710680050.8967931,1710680050.8967931,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,2,1710680050.8968153,1710680050.8968153,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
2.0,3,1710680051.404734,1710680051.404734,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,4,1710680051.4047544,1710680051.4047544,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
3.0,5,1710680051.915618,1710680051.915618,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,6,1710680051.9156387,1710680051.9156387,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
4.0,7,1710680052.4207892,1710680052.4207892,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,8,1710680052.4208105,1710680052.4208105,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
5.0,9,1710680052.936528,1710680052.937858,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,10,1710680052.9365475,1710680052.9378667,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
6.0,11,1710680053.4448495,1710680053.4448495,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,12,1710680053.444869,1710680053.444869,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
7.0,13,1710680053.9505303,1710680053.9505303,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,14,1710680053.9505525,1710680053.9505525,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
8.0,15,1710680054.4705176,1710680054.4705176,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,16,1710680054.4705389,1710680054.4705389,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
9.0,17,1710680054.9859364,1710680054.987058,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,18,1710680054.9859557,1710680054.9870727,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
10.0,19,1710680055.492315,1710680055.492315,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,20,1710680055.4923358,1710680055.4923358,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
11.0,21,1710680055.9996831,1710680055.9996831,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,22,1710680055.9997025,1710680055.9997025,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
12.0,23,1710680056.5042007,1710680056.5042007,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,24,1710680056.5042212,1710680056.5042212,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
13.0,25,1710680057.024263,1710680057.028622,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,26,1710680057.0242915,1710680057.0286343,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
14.0,27,1710680057.5487988,1710680057.5487988,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,28,1710680057.5488193,1710680057.5488193,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
15.0,29,1710680058.076108,1710680058.076108,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,30,1710680058.0761285,1710680058.0761285,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
16.0,31,1710680058.5821855,1710680058.5821855,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,P,T1197,1.0,1.0
,32,1710680058.5822065,1710680058.5822065,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
17.0,33,1710680059.0880752,1710680059.0902488,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,34,1710680059.088096,1710680059.0902576,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
18.0,35,1710680059.597356,1710680059.597356,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,36,1710680059.5973763,1710680059.5973763,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
19.0,37,1710680060.110618,1710680060.110618,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,38,1710680060.110638,1710680060.110638,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
20.0,39,1710680060.6126783,1710680060.6126783,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,40,1710680060.6127005,1710680060.6127005,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
21.0,41,1710680061.1139188,1710680061.1161237,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,42,1710680061.1139388,1710680061.1161327,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
22.0,43,1710680061.6181133,1710680061.6181133,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,44,1710680061.6181316,1710680061.6181316,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
23.0,45,1710680062.1210225,1710680062.1210225,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
,46,1710680062.1210437,1710680062.1210437,TCP,192.168.0.2,1234.0,192.168.0.10,49840.0,,,,,
24.0,47,1710680062.6236868,1710680062.6236868,TCP,192.168.0.10,49840.0,192.168.0.2,1234.0,,,,,
