"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1714667373.295243,1714667373.370542,TCP,fe80::b35a:ad64:8a9a:3cfd,50249.0,fe80::ca8c:e0e8:31e2:93e5,3389.0,,P,T1199,1.0,1.0
,2,1714667373.295599,1714667373.370303,TCP,fe80::ca8c:e0e8:31e2:93e5,3389.0,fe80::b35a:ad64:8a9a:3cfd,50249.0,,,,,
2.0,3,1714667373.295374,1714667373.297015,TCP,192.168.10.1,50250.0,192.168.10.2,3389.0,,P,T1199,1.0,1.0
,4,1714667373.295721,1714667373.297007,TCP,192.168.10.2,3389.0,192.168.10.1,50250.0,,,,,
3.0,5,1714667373.217663,1714667373.217663,UDP,fe80::b35a:ad64:8a9a:3cfd,58723.0,ff02::1:3,5355.0,,L,,0.0,0.0
4.0,6,1714667373.217756,1714667373.217756,UDP,192.168.10.1,58723.0,224.0.0.252,5355.0,,L,,0.0,0.0
5.0,7,1714667373.218028,1714667373.218028,UDP,fe80::ca8c:e0e8:31e2:93e5,5355.0,fe80::b35a:ad64:8a9a:3cfd,58723.0,,L,,0.0,0.0
6.0,8,1714667373.218109,1714667373.218109,UDP,192.168.10.2,5355.0,192.168.10.1,58723.0,,L,,0.0,0.0
7.0,9,1714667373.218308,1714667373.218308,UDP,fe80::b35a:ad64:8a9a:3cfd,52191.0,ff02::1:3,5355.0,,L,,0.0,0.0
8.0,10,1714667373.218375,1714667373.218375,UDP,192.168.10.1,52191.0,224.0.0.252,5355.0,,L,,0.0,0.0
9.0,11,1714667373.218678,1714667373.218678,UDP,fe80::ca8c:e0e8:31e2:93e5,5355.0,fe80::b35a:ad64:8a9a:3cfd,52191.0,,L,,0.0,0.0
10.0,12,1714667373.21888,1714667373.21888,UDP,192.168.10.2,5355.0,192.168.10.1,52191.0,,L,,0.0,0.0
11.0,13,1714667373.218891,1714667373.218891,ICMP,192.168.10.1,,192.168.10.2,,0x00000000_0x00000008_0x0008,L,,0.0,0.0
12.0,14,1714667373.215556,1714667375.509184,UDP,192.168.10.1,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
13.0,15,1714667373.216242,1714667375.509658,UDP,192.168.10.2,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
14.0,16,1714667373.216293,1714667375.509874,UDP,fe80::b35a:ad64:8a9a:3cfd,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
15.0,17,1714667373.216735,1714667375.51028,UDP,fe80::ca8c:e0e8:31e2:93e5,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
16.0,18,1714667375.573757,1714667375.575628,TCP,192.168.10.1,50253.0,192.168.10.2,3389.0,,L,,0.0,0.0
,19,1714667375.574137,1714667375.575867,TCP,192.168.10.2,3389.0,192.168.10.1,50253.0,,,,,
17.0,20,1714667375.718404,1714667398.013974,UDP,fe80::b35a:ad64:8a9a:3cfd,56535.0,fe80::ca8c:e0e8:31e2:93e5,3389.0,,L,,0.0,0.0
,21,1714667375.720068,1714667397.994617,UDP,fe80::ca8c:e0e8:31e2:93e5,3389.0,fe80::b35a:ad64:8a9a:3cfd,56535.0,,,,,
18.0,22,1714667375.573527,1714667398.09726,TCP,fe80::b35a:ad64:8a9a:3cfd,50252.0,fe80::ca8c:e0e8:31e2:93e5,3389.0,,L,,0.0,0.0
,23,1714667375.573961,1714667398.057575,TCP,fe80::ca8c:e0e8:31e2:93e5,3389.0,fe80::b35a:ad64:8a9a:3cfd,50252.0,,,,,
