Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1718361740.269077,1718361740.269996,TCP,192.168.10.8,49680,192.168.10.10,88,,L,,0.0,0.0
,2,1718361740.269105,1718361740.270036,TCP,192.168.10.10,88,192.168.10.8,49680,,,,,
2.0,3,1718361740.279437,1718361740.280653,TCP,192.168.10.8,49681,192.168.10.10,88,,L,,0.0,0.0
,4,1718361740.279483,1718361740.280693,TCP,192.168.10.10,88,192.168.10.8,49681,,,,,
3.0,5,1718361740.290208,1718361740.292177,TCP,192.168.10.8,49682,192.168.10.10,88,,L,,0.0,0.0
,6,1718361740.290336,1718361740.292285,TCP,192.168.10.10,88,192.168.10.8,49682,,,,,
4.0,7,1718361740.453278,1718361740.4566,TCP,192.168.10.8,49684,192.168.10.10,389,,L,,0.0,0.0
,8,1718361740.453376,1718361740.456611,TCP,192.168.10.10,389,192.168.10.8,49684,,,,,
5.0,9,1718361740.443443,1718361740.456851,TCP,192.168.10.8,49683,192.168.10.10,389,,L,,0.0,0.0
,10,1718361740.443511,1718361740.456864,TCP,192.168.10.10,389,192.168.10.8,49683,,,,,
6.0,11,1718361740.264164,1718361740.460062,TCP,192.168.10.8,49678,192.168.10.10,135,,L,,0.0,0.0
,12,1718361740.264248,1718361740.297123,TCP,192.168.10.10,135,192.168.10.8,49678,,,,,
7.0,13,1718361740.267411,1718361740.460152,TCP,192.168.10.8,49679,192.168.10.10,6404,,L,,0.0,0.0
,14,1718361740.267448,1718361740.298219,TCP,192.168.10.10,6404,192.168.10.8,49679,,,,,
8.0,15,1718361741.004355,1718361741.005247,TCP,192.168.10.8,49688,192.168.10.10,88,,L,,0.0,0.0
,16,1718361741.004387,1718361741.005291,TCP,192.168.10.10,88,192.168.10.8,49688,,,,,
9.0,17,1718361741.013666,1718361741.014731,TCP,192.168.10.8,49689,192.168.10.10,88,,L,,0.0,0.0
,18,1718361741.013711,1718361741.014779,TCP,192.168.10.10,88,192.168.10.8,49689,,,,,
10.0,19,1718361741.016243,1718361741.017721,TCP,192.168.10.8,49690,192.168.10.10,88,,L,,0.0,0.0
,20,1718361741.016299,1718361741.017783,TCP,192.168.10.10,88,192.168.10.8,49690,,,,,
11.0,21,1718361741.002679,1718361741.020131,TCP,192.168.10.8,49687,192.168.10.10,389,,L,,0.0,0.0
,22,1718361741.002752,1718361741.020142,TCP,192.168.10.10,389,192.168.10.8,49687,,,,,
12.0,23,1718361741.293067,1718361741.294454,TCP,192.168.10.8,49696,192.168.10.10,88,,L,,0.0,0.0
,24,1718361741.293136,1718361741.294544,TCP,192.168.10.10,88,192.168.10.8,49696,,,,,
13.0,25,1718361742.887013,1718361742.887971,TCP,192.168.10.8,49703,192.168.10.10,88,,L,,0.0,0.0
,26,1718361742.887077,1718361742.888038,TCP,192.168.10.10,88,192.168.10.8,49703,,,,,
14.0,27,1718361743.294342,1718361743.29819,TCP,192.168.10.8,49704,192.168.10.10,88,,L,,0.0,0.0
,28,1718361743.294423,1718361743.298234,TCP,192.168.10.10,88,192.168.10.8,49704,,,,,
15.0,29,1718361746.329583,1718361746.331558,TCP,192.168.10.8,49706,192.168.10.10,88,,L,,0.0,0.0
,30,1718361746.329644,1718361746.331609,TCP,192.168.10.10,88,192.168.10.8,49706,,,,,
16.0,31,1718361746.338164,1718361746.340189,TCP,192.168.10.8,49707,192.168.10.10,88,,L,,0.0,0.0
,32,1718361746.33824,1718361746.340369,TCP,192.168.10.10,88,192.168.10.8,49707,,,,,
17.0,33,1718361746.340785,1718361746.342092,TCP,192.168.10.8,49708,192.168.10.10,88,,L,,0.0,0.0
,34,1718361746.340816,1718361746.342151,TCP,192.168.10.10,88,192.168.10.8,49708,,,,,
18.0,35,1718361746.353014,1718361746.354066,TCP,192.168.10.8,49709,192.168.10.10,88,,L,,0.0,0.0
,36,1718361746.353148,1718361746.354133,TCP,192.168.10.10,88,192.168.10.8,49709,,,,,
19.0,37,1718361746.359894,1718361746.361167,TCP,192.168.10.8,49710,192.168.10.10,88,,L,,0.0,0.0
,38,1718361746.35994,1718361746.361245,TCP,192.168.10.10,88,192.168.10.8,49710,,,,,
20.0,39,1718361754.320034,1718361754.408272,TCP,192.168.10.8,49726,192.168.10.10,88,,L,,0.0,0.0
,40,1718361754.320107,1718361754.408412,TCP,192.168.10.10,88,192.168.10.8,49726,,,,,
21.0,41,1718361754.408773,1718361754.410298,TCP,192.168.10.8,49727,192.168.10.10,88,,L,,0.0,0.0
,42,1718361754.408857,1718361754.410379,TCP,192.168.10.10,88,192.168.10.8,49727,,,,,
22.0,43,1718361754.413491,1718361754.41539,TCP,192.168.10.8,49728,192.168.10.10,88,,L,,0.0,0.0
,44,1718361754.413578,1718361754.415443,TCP,192.168.10.10,88,192.168.10.8,49728,,,,,
23.0,45,1718361750.171295,1718361754.474726,TCP,192.168.10.8,49715,192.168.10.10,389,,L,,0.0,0.0
,46,1718361750.171408,1718361754.524925,TCP,192.168.10.10,389,192.168.10.8,49715,,,,,
24.0,47,1718361748.356819,1718361754.476348,TCP,192.168.10.8,49711,192.168.10.10,389,,L,,0.0,0.0
,48,1718361748.356887,1718361754.525748,TCP,192.168.10.10,389,192.168.10.8,49711,,,,,
25.0,49,1718361741.299651,1718361763.070027,TCP,192.168.10.8,49697,192.168.10.10,389,,L,,0.0,0.0
,50,1718361741.299699,1718361763.103954,TCP,192.168.10.10,389,192.168.10.8,49697,,,,,
26.0,51,1718361741.278898,1718361763.071772,TCP,192.168.10.8,49695,192.168.10.10,389,,L,,0.0,0.0
,52,1718361741.278972,1718361763.104044,TCP,192.168.10.10,389,192.168.10.8,49695,,,,,
27.0,53,1718361763.379953,1718361763.381531,TCP,192.168.10.8,49733,192.168.10.10,88,,L,,0.0,0.0
,54,1718361763.380027,1718361763.381587,TCP,192.168.10.10,88,192.168.10.8,49733,,,,,
28.0,55,1718361764.134182,1718361764.343747,TCP,192.168.10.8,49737,192.168.10.10,389,,L,,0.0,0.0
,56,1718361764.134274,1718361764.39981,TCP,192.168.10.10,389,192.168.10.8,49737,,,,,
29.0,57,1718361763.581957,1718361764.344471,TCP,192.168.10.8,49734,192.168.10.10,389,,L,,0.0,0.0
,58,1718361763.582041,1718361764.399609,TCP,192.168.10.10,389,192.168.10.8,49734,,,,,
30.0,59,1718361763.592689,1718361764.541181,TCP,192.168.10.8,49736,192.168.10.10,389,,L,,0.0,0.0
,60,1718361763.592755,1718361764.580772,TCP,192.168.10.10,389,192.168.10.8,49736,,,,,
31.0,61,1718361744.555347,1718361763.46669,TCP,192.168.10.8,49705,192.168.10.10,6404,,L,,0.0,0.0
,62,1718361744.555416,1718361763.466434,TCP,192.168.10.10,6404,192.168.10.8,49705,,,,,
32.0,63,1718361763.583626,1718361764.740933,TCP,192.168.10.8,49735,192.168.10.10,389,,L,,0.0,0.0
,64,1718361763.583674,1718361764.760887,TCP,192.168.10.10,389,192.168.10.8,49735,,,,,
33.0,65,1718361782.014155,1718361782.073746,TCP,192.168.10.8,49745,192.168.10.10,88,,L,,0.0,0.0
,66,1718361782.01423,1718361782.073796,TCP,192.168.10.10,88,192.168.10.8,49745,,,,,
34.0,67,1718361782.09172,1718361782.169645,TCP,192.168.10.8,49747,192.168.10.10,389,,L,,0.0,0.0
,68,1718361782.091784,1718361782.169658,TCP,192.168.10.10,389,192.168.10.8,49747,,,,,
35.0,69,1718361782.08486,1718361782.170184,TCP,192.168.10.8,49746,192.168.10.10,389,,L,,0.0,0.0
