Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1519309071.51345,1519309077.403296,TCP,18.218.115.60,51221,172.31.69.28,80,,P,T1210,1.0,1.0
2,1519309071.513464,1519309077.402931,TCP,172.31.69.28,80,18.218.115.60,51221,,,,,
3,1519309071.336902,1519309079.715803,TCP,18.218.115.60,51220,172.31.69.28,80,,P,T1210,0.0,0.0
4,1519309071.336937,1519309079.715474,TCP,172.31.69.28,80,18.218.115.60,51220,,,,,
5,1519309108.787021,1519309114.621402,TCP,18.218.115.60,51297,172.31.69.28,80,,P,T1210,0.0,0.0
6,1519309108.787032,1519309114.621011,TCP,172.31.69.28,80,18.218.115.60,51297,,,,,
7,1519309108.594049,1519309164.637374,TCP,18.218.115.60,51296,172.31.69.28,80,,P,T1210,0.0,0.0
8,1519309108.594073,1519309164.637377,TCP,172.31.69.28,80,18.218.115.60,51296,,,,,
9,1519309164.646993,1519309221.331865,TCP,18.218.115.60,51708,172.31.69.28,80,,P,T1210,0.0,0.0
10,1519309164.647015,1519309221.331867,TCP,172.31.69.28,80,18.218.115.60,51708,,,,,
11,1519309222.457276,1519309227.466267,TCP,18.218.115.60,52126,172.31.69.28,80,,P,T1210,0.0,0.0
12,1519309222.457299,1519309227.46627,TCP,172.31.69.28,80,18.218.115.60,52126,,,,,
13,1519309222.457706,1519309278.875485,TCP,18.218.115.60,52127,172.31.69.28,80,,P,T1210,0.0,0.0
14,1519309222.45771,1519309278.875488,TCP,172.31.69.28,80,18.218.115.60,52127,,,,,
15,1519309279.986162,1519309284.995861,TCP,18.218.115.60,52540,172.31.69.28,80,,P,T1210,0.0,0.0
16,1519309279.986197,1519309284.995878,TCP,172.31.69.28,80,18.218.115.60,52540,,,,,
17,1519309279.986503,1519309336.602009,TCP,18.218.115.60,52541,172.31.69.28,80,,P,T1210,0.0,0.0
18,1519309279.98651,1519309336.602014,TCP,172.31.69.28,80,18.218.115.60,52541,,,,,
19,1519309337.700776,1519309342.709609,TCP,18.218.115.60,52958,172.31.69.28,80,,P,T1210,0.0,0.0
20,1519309337.700799,1519309342.709613,TCP,172.31.69.28,80,18.218.115.60,52958,,,,,
21,1519309337.701193,1519309394.175914,TCP,18.218.115.60,52959,172.31.69.28,80,,P,T1210,0.0,0.0
22,1519309337.701196,1519309394.175917,TCP,172.31.69.28,80,18.218.115.60,52959,,,,,
23,1519309395.281288,1519309400.289829,TCP,18.218.115.60,53372,172.31.69.28,80,,P,T1210,0.0,0.0
24,1519309395.281312,1519309400.289473,TCP,172.31.69.28,80,18.218.115.60,53372,,,,,
25,1519309395.281664,1519309451.952578,TCP,18.218.115.60,53373,172.31.69.28,80,,P,T1210,0.0,0.0
26,1519309395.281668,1519309451.952581,TCP,172.31.69.28,80,18.218.115.60,53373,,,,,
27,1519309453.110044,1519309458.117259,TCP,18.218.115.60,53789,172.31.69.28,80,,P,T1210,0.0,0.0
28,1519309453.110069,1519309458.116914,TCP,172.31.69.28,80,18.218.115.60,53789,,,,,
29,1519309453.110449,1519309510.329437,TCP,18.218.115.60,53790,172.31.69.28,80,,P,T1210,0.0,0.0
30,1519309453.110456,1519309510.32944,TCP,172.31.69.28,80,18.218.115.60,53790,,,,,
31,1519309511.437666,1519309516.444867,TCP,18.218.115.60,54207,172.31.69.28,80,,P,T1210,0.0,0.0
32,1519309511.43769,1519309516.444518,TCP,172.31.69.28,80,18.218.115.60,54207,,,,,
33,1519309511.438031,1519309567.685426,TCP,18.218.115.60,54208,172.31.69.28,80,,P,T1210,0.0,0.0
34,1519309511.438036,1519309567.685429,TCP,172.31.69.28,80,18.218.115.60,54208,,,,,
35,1519309568.787639,1519309573.796501,TCP,18.218.115.60,54619,172.31.69.28,80,,P,T1210,0.0,0.0
36,1519309568.787661,1519309573.796506,TCP,172.31.69.28,80,18.218.115.60,54619,,,,,
37,1519309568.788115,1519309625.201268,TCP,18.218.115.60,54620,172.31.69.28,80,,P,T1210,0.0,0.0
38,1519309568.788125,1519309625.201272,TCP,172.31.69.28,80,18.218.115.60,54620,,,,,
39,1519309626.31136,1519309631.320761,TCP,18.218.115.60,55038,172.31.69.28,80,,P,T1210,0.0,0.0
40,1519309626.311383,1519309631.320765,TCP,172.31.69.28,80,18.218.115.60,55038,,,,,
41,1519309626.311693,1519309682.965238,TCP,18.218.115.60,55039,172.31.69.28,80,,P,T1210,0.0,0.0
42,1519309626.311698,1519309682.96524,TCP,172.31.69.28,80,18.218.115.60,55039,,,,,
43,1519309684.079562,1519309689.084506,TCP,18.218.115.60,55451,172.31.69.28,80,,P,T1210,0.0,0.0
44,1519309684.079584,1519309689.084117,TCP,172.31.69.28,80,18.218.115.60,55451,,,,,
45,1519309684.079877,1519309741.082461,TCP,18.218.115.60,55452,172.31.69.28,80,,P,T1210,0.0,0.0
46,1519309684.079882,1519309741.082464,TCP,172.31.69.28,80,18.218.115.60,55452,,,,,
47,1519309742.187727,1519309747.192123,TCP,18.218.115.60,55872,172.31.69.28,80,,P,T1210,0.0,0.0
48,1519309742.18775,1519309747.191761,TCP,172.31.69.28,80,18.218.115.60,55872,,,,,
49,1519309742.188147,1519309798.812276,TCP,18.218.115.60,55873,172.31.69.28,80,,P,T1210,0.0,0.0
50,1519309742.188151,1519309798.812279,TCP,172.31.69.28,80,18.218.115.60,55873,,,,,
51,1519309799.919709,1519309804.928585,TCP,18.218.115.60,56285,172.31.69.28,80,,P,T1210,0.0,0.0
52,1519309799.919731,1519309804.928589,TCP,172.31.69.28,80,18.218.115.60,56285,,,,,
53,1519309799.920101,1519309856.511714,TCP,18.218.115.60,56286,172.31.69.28,80,,P,T1210,0.0,0.0
54,1519309799.920105,1519309856.511722,TCP,172.31.69.28,80,18.218.115.60,56286,,,,,
55,1519309857.625071,1519309862.629712,TCP,18.218.115.60,56699,172.31.69.28,80,,P,T1210,0.0,0.0
56,1519309857.625093,1519309862.629347,TCP,172.31.69.28,80,18.218.115.60,56699,,,,,
57,1519309857.625455,1519309914.412093,TCP,18.218.115.60,56700,172.31.69.28,80,,P,T1210,0.0,0.0
58,1519309857.62546,1519309914.4121,TCP,172.31.69.28,80,18.218.115.60,56700,,,,,
59,1519309915.515496,1519309920.520431,TCP,18.218.115.60,57116,172.31.69.28,80,,P,T1210,0.0,0.0
60,1519309915.515519,1519309920.520084,TCP,172.31.69.28,80,18.218.115.60,57116,,,,,
61,1519309915.515824,1519309971.979965,TCP,18.218.115.60,57117,172.31.69.28,80,,P,T1210,0.0,0.0
