Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1715337582.190363,1715337582.269139,TCP,10.0.2.15,45894,142.250.184.10,443,,L,,0.0,0.0
,2,1715337582.201445,1715337582.269117,TCP,142.250.184.10,443,10.0.2.15,45894,,,,,
2.0,3,1715337614.043058,1715337614.471573,TCP,10.0.2.15,33910,104.16.63.16,443,,L,,0.0,0.0
,4,1715337614.054555,1715337614.471548,TCP,104.16.63.16,443,10.0.2.15,33910,,,,,
3.0,5,1715337615.242965,1715337616.22395,TCP,10.0.2.15,50768,142.250.184.163,443,,L,,0.0,0.0
,6,1715337615.26249,1715337616.223929,TCP,142.250.184.163,443,10.0.2.15,50768,,,,,
4.0,7,1715337617.841506,1715337619.182357,TCP,10.0.2.15,48884,142.250.184.164,443,,L,,0.0,0.0
,8,1715337617.85209,1715337619.182333,TCP,142.250.184.164,443,10.0.2.15,48884,,,,,
5.0,9,1715337617.887315,1715337638.722481,TCP,10.0.2.15,37348,216.58.215.163,443,,L,,0.0,0.0
,10,1715337617.897145,1715337638.722448,TCP,216.58.215.163,443,10.0.2.15,37348,,,,,
6.0,11,1715337698.360748,1715337699.32311,TCP,10.0.2.15,45004,2.21.176.77,443,,L,,0.0,0.0
,12,1715337698.407222,1715337699.316757,TCP,2.21.176.77,443,10.0.2.15,45004,,,,,
7.0,13,1715337698.361377,1715337699.330424,TCP,10.0.2.15,45030,2.21.176.77,443,,L,,0.0,0.0
,14,1715337698.407222,1715337699.331502,TCP,2.21.176.77,443,10.0.2.15,45030,,,,,
8.0,15,1715337698.360629,1715337699.33092,TCP,10.0.2.15,45000,2.21.176.77,443,,L,,0.0,0.0
,16,1715337698.407222,1715337699.331816,TCP,2.21.176.77,443,10.0.2.15,45000,,,,,
9.0,17,1715337698.260874,1715337699.331011,TCP,10.0.2.15,33038,23.47.188.42,443,,L,,0.0,0.0
,18,1715337698.300162,1715337699.331817,TCP,23.47.188.42,443,10.0.2.15,33038,,,,,
10.0,19,1715337698.360448,1715337699.331215,TCP,10.0.2.15,44984,2.21.176.77,443,,L,,0.0,0.0
,20,1715337698.407221,1715337699.331817,TCP,2.21.176.77,443,10.0.2.15,44984,,,,,
11.0,21,1715337698.259911,1715337699.311508,TCP,10.0.2.15,33034,23.47.188.42,443,,L,,0.0,0.0
,22,1715337698.300162,1715337699.331501,TCP,23.47.188.42,443,10.0.2.15,33034,,,,,
12.0,23,1715337698.360865,1715337699.320818,TCP,10.0.2.15,45014,2.21.176.77,443,,L,,0.0,0.0
,24,1715337698.407222,1715337699.331501,TCP,2.21.176.77,443,10.0.2.15,45014,,,,,
13.0,25,1715337609.227553,1715337726.088635,TCP,10.0.2.15,36284,95.100.100.65,80,,L,,0.0,0.0
,26,1715337609.286715,1715337726.088602,TCP,95.100.100.65,80,10.0.2.15,36284,,,,,
14.0,27,1715337609.227445,1715337726.132512,TCP,10.0.2.15,36280,95.100.100.65,80,,L,,0.0,0.0
,28,1715337609.286715,1715337726.088602,TCP,95.100.100.65,80,10.0.2.15,36280,,,,,
15.0,29,1715337609.213874,1715337727.061874,TCP,10.0.2.15,36274,95.100.100.65,80,,L,,0.0,0.0
,30,1715337609.249355,1715337727.061852,TCP,95.100.100.65,80,10.0.2.15,36274,,,,,
16.0,31,1715337615.54355,1715337734.027592,TCP,10.0.2.15,46780,142.250.200.131,80,,L,,0.0,0.0
,32,1715337615.567757,1715337734.027567,TCP,142.250.200.131,80,10.0.2.15,46780,,,,,
17.0,33,1715337566.107058,1715337566.107058,UDP,10.0.2.15,57858,150.214.5.121,123,,L,,0.0,0.0
,34,1715337566.128333,1715337566.128333,UDP,150.214.5.121,123,10.0.2.15,57858,,,,,
18.0,35,1715337582.100703,1715337582.100703,UDP,10.0.2.15,44485,100.100.1.1,53,,L,,0.0,0.0
,36,1715337582.181657,1715337582.181657,UDP,100.100.1.1,53,10.0.2.15,44485,,,,,
19.0,37,1715337582.100841,1715337582.100841,UDP,10.0.2.15,58378,100.100.1.1,53,,L,,0.0,0.0
,38,1715337582.103167,1715337582.103167,UDP,100.100.1.1,53,10.0.2.15,58378,,,,,
