Flow Number, Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1712605237.829764,1712605237.834871,TCP,192.168.0.50,50355.0,192.168.0.2,80.0,,P,T1221,1.0,1.0
,2,1712605237.829806,1712605237.832813,TCP,192.168.0.2,80.0,192.168.0.50,50355.0,,,,,
2.0,3,1712605237.842972,1712605237.846332,TCP,192.168.0.50,50356.0,192.168.0.2,80.0,,L,,0.0,0.0
,4,1712605237.842996,1712605237.846341,TCP,192.168.0.2,80.0,192.168.0.50,50356.0,,,,,
3.0,5,1712605237.851971,1712605237.868194,TCP,192.168.0.50,50357.0,192.168.0.2,80.0,,L,,0.0,0.0
,6,1712605237.851996,1712605237.868217,TCP,192.168.0.2,80.0,192.168.0.50,50357.0,,,,,
4.0,7,1712605237.88979,1712605237.892875,TCP,192.168.0.50,50358.0,192.168.0.2,80.0,,L,,0.0,0.0
,8,1712605237.889815,1712605237.892885,TCP,192.168.0.2,80.0,192.168.0.50,50358.0,,,,,
5.0,9,1712605237.911395,1712605237.915098,TCP,192.168.0.50,50359.0,192.168.0.2,80.0,,L,,0.0,0.0
,10,1712605237.911422,1712605237.915125,TCP,192.168.0.2,80.0,192.168.0.50,50359.0,,,,,
6.0,11,1712605255.639245,1712605255.678733,TCP,192.168.0.50,50373.0,192.168.0.2,80.0,,L,,0.0,0.0
,12,1712605255.639279,1712605255.678749,TCP,192.168.0.2,80.0,192.168.0.50,50373.0,,,,,
7.0,13,1712605270.062589,1712605270.062589,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,C,T1059,0.0,
,14,1712605270.062607,1712605270.062607,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
8.0,15,1712605270.570353,1712605270.570353,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,16,1712605270.570386,1712605270.570386,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
9.0,17,1712605271.073248,1712605271.073248,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,18,1712605271.073272,1712605271.073272,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
10.0,19,1712605271.578871,1712605271.578871,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,20,1712605271.578895,1712605271.578895,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
11.0,21,1712605272.10439,1712605272.105697,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,22,1712605272.104412,1712605272.105704,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
12.0,23,1712605272.625834,1712605272.625834,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,24,1712605272.625853,1712605272.625853,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
13.0,25,1712605273.153494,1712605273.153494,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,26,1712605273.153515,1712605273.153515,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
14.0,27,1712605273.665152,1712605273.665152,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,28,1712605273.665177,1712605273.665177,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
15.0,29,1712605274.183234,1712605274.18464,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,30,1712605274.18326,1712605274.184663,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
16.0,31,1712605274.714605,1712605274.714605,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,32,1712605274.714631,1712605274.714631,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
17.0,33,1712605275.247173,1712605275.247173,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,34,1712605275.247194,1712605275.247194,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
18.0,35,1712605275.778053,1712605275.778053,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,36,1712605275.778073,1712605275.778073,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
19.0,37,1712605276.282076,1712605276.283182,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,38,1712605276.282095,1712605276.283195,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
20.0,39,1712605276.788465,1712605276.788465,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,40,1712605276.788484,1712605276.788484,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
21.0,41,1712605277.300597,1712605277.300597,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,42,1712605277.30062,1712605277.30062,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
22.0,43,1712605277.822659,1712605277.822659,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,44,1712605277.822684,1712605277.822684,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
23.0,45,1712605278.354669,1712605278.356058,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,46,1712605278.354694,1712605278.356069,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
24.0,47,1712605278.871207,1712605278.871207,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,48,1712605278.871226,1712605278.871226,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
25.0,49,1712605279.401004,1712605279.401004,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,50,1712605279.401032,1712605279.401032,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
26.0,51,1712605237.993441,1712605238.409974,UDP,fe80::f720:6b61:90f4:aedc,55471.0,ff02::1:3,5355.0,,L,,0.0,0.0
27.0,52,1712605237.993441,1712605238.409975,UDP,192.168.0.50,55471.0,224.0.0.252,5355.0,,L,,0.0,0.0
,53,1712605237.99269,1712605241.010302,UDP,192.168.0.50,137.0,192.168.0.2,137.0,,,,,
28.0,54,1712605237.992714,1712605241.010328,ICMP,192.168.0.2,,192.168.0.50,,0x00000000_0x00000008_0x0008,L,,0.0,0.0
29.0,55,1712605251.801153,1712605254.831517,UDP,192.168.0.50,65314.0,239.255.255.250,1900.0,,L,,0.0,0.0
30.0,58,1712605279.904725,1712605288.869616,TCP,192.168.0.50,50380.0,192.168.0.3,1234.0,,L,,0.0,0.0
,59,1712605279.904753,1712605288.869632,TCP,192.168.0.3,1234.0,192.168.0.50,50380.0,,,,,
