"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1718364262.700483,1718364262.8060503,UDP,fe80::8e3:64bc:6df7:d91b,51875,ff02::1:3,5355,,,,,
2.0,2,1718364262.7004836,1718364262.8060508,UDP,192.168.0.20,62062,224.0.0.252,5355,,,,,
3.0,3,1718364265.2986355,1718364265.4436543,UDP,fe80::8e3:64bc:6df7:d91b,55071,ff02::1:3,5355,,,,,
4.0,4,1718364265.298636,1718364265.4436548,UDP,192.168.0.20,60694,224.0.0.252,5355,,,,,
5.0,5,1718364263.0099604,1718364267.070814,UDP,192.168.0.20,137,192.168.0.255,137,,,,,
6.0,6,1718364281.409288,1718364284.4456327,UDP,192.168.0.20,55261,239.255.255.250,1900,,,,,
7.0,7,1718364401.4182644,1718364404.461302,UDP,192.168.0.20,61978,239.255.255.250,1900,,,,,
8.0,8,1718364482.0295813,1718364482.0295813,UDP,192.168.0.20,138,192.168.0.255,138,,,,,
9.0,9,1718364521.5100868,1718364524.51581,UDP,192.168.0.20,52487,239.255.255.250,1900,,,,,
10.0,10,1718364552.0735967,1718364552.0736845,UDP,192.168.0.30,138,192.168.0.255,138,,,,,
11.0,13,1718364258.2330797,1718364600.711831,TCP,192.168.0.20,49614,192.168.0.30,1234,,P,T1491.001,1.0,1.0
,14,1718364258.2331088,1718364600.7118466,TCP,192.168.0.30,1234,192.168.0.20,49614,,,,,
12.0,15,1718364540.4654658,1718364603.415444,UDP,fe80::8e3:64bc:6df7:d91b,546,ff02::1:2,547,,,,,
