Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1655311805.881526,1655311809.2902536,TCP,192.168.1.3,54082.0,185.199.110.133,443.0,,L,,0.0,0.0
,2,1655311805.9090905,1655311809.28995,TCP,185.199.110.133,443.0,192.168.1.3,54082.0,,,,,
2.0,3,1655311805.314385,1655311806.32556,TCP,192.168.1.3,39684.0,140.82.121.3,443.0,,L,,0.0,0.0
,4,1655311805.3718758,1655311806.3251653,TCP,140.82.121.3,443.0,192.168.1.3,39684.0,,,,,
3.0,5,1655311805.2939923,1655311805.2939928,UDP,192.168.1.3,38738.0,192.168.0.1,53.0,,L,,0.0,0.0
,6,1655311805.3134286,1655311805.3135934,UDP,192.168.0.1,53.0,192.168.1.3,38738.0,,,,,
4.0,7,1655311805.8295324,1655311805.829533,UDP,192.168.1.3,58037.0,192.168.0.1,53.0,,L,,0.0,0.0
,8,1655311805.8536043,1655311805.853656,UDP,192.168.0.1,53.0,192.168.1.3,58037.0,,,,,
5.0,9,1655311809.4492772,1655311809.4492774,UDP,192.168.1.3,43325.0,192.168.0.1,53.0,,L,,0.0,0.0
,10,1655311809.4695313,1655311809.4697273,UDP,192.168.0.1,53.0,192.168.1.3,43325.0,,,,,
6.0,11,1655311809.470431,1655311824.748688,TCP,192.168.1.3,52926.0,199.247.27.41,3333.0,,P,T1496,1.0,1.0
7.0,12,1655311834.810851,1655311850.1692889,TCP,192.168.1.3,52928.0,199.247.27.41,3333.0,,L,,0.0,0.0
8.0,13,1655311858.9787543,1655311858.9798512,UDP,192.168.1.3,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
9.0,14,1655311858.9793415,1655311858.9798515,UDP,fe80::a00:27ff:fea7:f3dd,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
10.0,15,1655311858.9810104,1655311860.1296744,2,192.168.1.3,,224.0.0.22,,,L,,0.0,0.0
11.0,16,1655311860.4669409,1655311860.4669416,UDP,192.168.1.3,40643.0,192.168.0.1,53.0,,L,,0.0,0.0
,17,1655311860.4813368,1655311860.497419,UDP,192.168.0.1,53.0,192.168.1.3,40643.0,,,,,
12.0,18,1655311858.99301,1655311860.8125908,58,fe80::a00:27ff:fea7:f3dd,,ff02::16,,,L,,0.0,0.0
13.0,21,1655311860.499086,1655311867.704266,TCP,192.168.1.3,40106.0,178.128.242.134,3333.0,,L,,0.0,0.0
