"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1706101758.3170717,1706101758.3170717,UDP,10.10.1.2,19.0,10.10.1.9,1682.0,,P,T1498.002,1.0,1.0
2,1706101758.317273,1706101758.317273,UDP,10.10.1.2,19.0,10.10.1.9,1684.0,,P,T1498.003,0.0,0.0
3,1706101758.317396,1706101758.317396,UDP,10.10.1.2,19.0,10.10.1.9,1686.0,,P,T1498.004,0.0,0.0
4,1706101758.3174777,1706101758.3174777,UDP,10.10.1.2,19.0,10.10.1.9,1688.0,,P,T1498.005,0.0,0.0
5,1706101758.317682,1706101758.317682,UDP,10.10.1.2,19.0,10.10.1.9,1690.0,,P,T1498.006,0.0,0.0
6,1706101758.3176985,1706101758.3176985,UDP,10.10.1.2,19.0,10.10.1.9,1692.0,,P,T1498.007,0.0,0.0
7,1706101758.6394255,1706101758.6394496,ICMP,10.10.1.2,,10.10.1.9,,0x00000000_0x00000008_0x0008,,,,
8,1706101758.317104,1706101758.3177035,ICMP,10.10.1.9,,10.10.1.2,,0x00000000_0x00000008_0x0008,,,,
9,1706101758.3178873,1706101758.3178873,UDP,10.10.1.2,19.0,10.10.1.9,1694.0,,P,T1498.007,0.0,0.0
10,1706101758.3179832,1706101758.3179832,UDP,10.10.1.2,19.0,10.10.1.9,1696.0,,P,T1498.007,0.0,0.0
11,1706101758.3180938,1706101758.3180938,UDP,10.10.1.2,19.0,10.10.1.9,1698.0,,P,T1498.007,0.0,0.0
12,1706101758.3182971,1706101758.3182971,UDP,10.10.1.2,19.0,10.10.1.9,1700.0,,P,T1498.007,0.0,0.0
13,1706101758.3185012,1706101758.3185012,UDP,10.10.1.2,19.0,10.10.1.9,1702.0,,P,T1498.007,0.0,0.0
14,1706101758.3185077,1706101758.3185077,UDP,10.10.1.2,19.0,10.10.1.9,1704.0,,P,T1498.007,0.0,0.0
15,1706101758.3187065,1706101758.3187065,UDP,10.10.1.2,19.0,10.10.1.9,1706.0,,P,T1498.007,0.0,0.0
16,1706101758.3189108,1706101758.3189108,UDP,10.10.1.2,19.0,10.10.1.9,1708.0,,P,T1498.007,0.0,0.0
17,1706101758.3189168,1706101758.3189168,UDP,10.10.1.2,19.0,10.10.1.9,1710.0,,P,T1498.007,0.0,0.0
18,1706101758.319116,1706101758.319116,UDP,10.10.1.2,19.0,10.10.1.9,1712.0,,P,T1498.007,0.0,0.0
19,1706101758.3193204,1706101758.3193204,UDP,10.10.1.2,19.0,10.10.1.9,1714.0,,P,T1498.007,0.0,0.0
20,1706101758.3193264,1706101758.3193264,UDP,10.10.1.2,19.0,10.10.1.9,1716.0,,P,T1498.007,0.0,0.0
21,1706101758.319525,1706101758.319525,UDP,10.10.1.2,19.0,10.10.1.9,1718.0,,P,T1498.007,0.0,0.0
