Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1651673377.1202996,1651673387.170024,UDP,172.16.2.2,41800,192.168.0.1,53,,,,,
2,1651673377.1202998,1651673387.1700242,UDP,172.16.2.2,51556,192.168.0.1,53,,,,,
3,1651673377.1208436,1651673387.1702604,UDP,172.16.2.2,33284,192.168.0.1,53,,,,,
4,1651673377.1214087,1651673387.170348,UDP,172.16.2.2,35869,192.168.0.1,53,,,,,
7,1651673377.1220827,1651673392.1812303,UDP,172.16.2.2,51470,192.168.0.1,53,,,,,
8,1651673377.1200576,1651673392.1823363,UDP,172.16.2.2,46936,192.168.0.1,53,,,,,
9,1651673380.670354,1651673396.4207375,UDP,172.16.2.2,59000,192.168.0.1,53,,,,,
10,1651673380.6706567,1651673396.4207375,UDP,172.16.2.2,60109,192.168.0.1,53,,,,,
11,1651673380.6706157,1651673396.4207375,UDP,172.16.2.2,38440,192.168.0.1,53,,,,,
12,1651673380.6706157,1651673396.420738,UDP,172.16.2.2,57470,192.168.0.1,53,,,,,
13,1651673380.670524,1651673396.420738,UDP,172.16.2.2,42795,192.168.0.1,53,,,,,
14,1651673380.6704955,1651673396.420738,UDP,172.16.2.2,53246,192.168.0.1,53,,,,,
15,1651673380.6704955,1651673396.420866,UDP,172.16.2.2,52441,192.168.0.1,53,,,,,
16,1651673380.6704955,1651673396.420866,UDP,172.16.2.2,33700,192.168.0.1,53,,,,,
17,1651673382.0406084,1651673397.1061733,TCP,172.16.1.2,59660,172.16.2.2,80,,P,T1499.001,1.0,1.0
18,1651673382.0410588,1651673397.106508,TCP,172.16.2.2,80,172.16.1.2,59660,,,,,
19,1651673382.0417204,1651673397.1061838,TCP,172.16.1.2,59662,172.16.2.2,80,,P,T1499.002,0.0,0.0
20,1651673382.0419383,1651673397.106508,TCP,172.16.2.2,80,172.16.1.2,59662,,,,,
21,1651673382.0423183,1651673397.106186,TCP,172.16.1.2,59664,172.16.2.2,80,,P,T1499.003,0.0,0.0
22,1651673382.0424051,1651673397.106508,TCP,172.16.2.2,80,172.16.1.2,59664,,,,,
23,1651673382.042732,1651673397.1061883,TCP,172.16.1.2,59666,172.16.2.2,80,,P,T1499.004,0.0,0.0
24,1651673382.0427997,1651673397.106508,TCP,172.16.2.2,80,172.16.1.2,59666,,,,,
25,1651673382.0431144,1651673397.1061904,TCP,172.16.1.2,59668,172.16.2.2,80,,P,T1499.005,0.0,0.0
26,1651673382.0431924,1651673397.1065085,TCP,172.16.2.2,80,172.16.1.2,59668,,,,,
27,1651673382.0434136,1651673397.1061924,TCP,172.16.1.2,59670,172.16.2.2,80,,P,T1499.006,0.0,0.0
28,1651673382.043496,1651673397.1065085,TCP,172.16.2.2,80,172.16.1.2,59670,,,,,
29,1651673382.0437672,1651673397.1062396,TCP,172.16.1.2,59672,172.16.2.2,80,,P,T1499.007,0.0,0.0
30,1651673382.043841,1651673397.1065085,TCP,172.16.2.2,80,172.16.1.2,59672,,,,,
31,1651673382.0440564,1651673397.1062424,TCP,172.16.1.2,59674,172.16.2.2,80,,P,T1499.008,0.0,0.0
32,1651673382.0441377,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59674,,,,,
33,1651673382.0443895,1651673397.1062448,TCP,172.16.1.2,59676,172.16.2.2,80,,P,T1499.009,0.0,0.0
34,1651673382.044471,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59676,,,,,
35,1651673382.0447085,1651673397.1062467,TCP,172.16.1.2,59678,172.16.2.2,80,,P,T1499.010,0.0,0.0
36,1651673382.04477,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59678,,,,,
37,1651673382.0450275,1651673397.1062496,TCP,172.16.1.2,59680,172.16.2.2,80,,P,T1499.011,0.0,0.0
38,1651673382.0450983,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59680,,,,,
39,1651673382.0454247,1651673397.106295,TCP,172.16.1.2,59682,172.16.2.2,80,,P,T1499.012,0.0,0.0
40,1651673382.0455024,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59682,,,,,
41,1651673382.0457356,1651673397.1062987,TCP,172.16.1.2,59684,172.16.2.2,80,,P,T1499.013,0.0,0.0
42,1651673382.045797,1651673397.1066537,TCP,172.16.2.2,80,172.16.1.2,59684,,,,,
43,1651673382.0461287,1651673397.1063008,TCP,172.16.1.2,59686,172.16.2.2,80,,P,T1499.014,0.0,0.0
44,1651673382.046212,1651673397.106792,TCP,172.16.2.2,80,172.16.1.2,59686,,,,,
45,1651673382.0464723,1651673397.106358,TCP,172.16.1.2,59688,172.16.2.2,80,,P,T1499.015,0.0,0.0
46,1651673382.046553,1651673397.1067922,TCP,172.16.2.2,80,172.16.1.2,59688,,,,,
47,1651673382.0467744,1651673397.1064005,TCP,172.16.1.2,59690,172.16.2.2,80,,P,T1499.016,0.0,0.0
48,1651673382.0468376,1651673397.1067922,TCP,172.16.2.2,80,172.16.1.2,59690,,,,,
49,1651673382.0471714,1651673397.1064875,TCP,172.16.1.2,59692,172.16.2.2,80,,P,T1499.017,0.0,0.0
50,1651673382.0472603,1651673397.1067922,TCP,172.16.2.2,80,172.16.1.2,59692,,,,,
51,1651673382.0475452,1651673397.1065817,TCP,172.16.1.2,59694,172.16.2.2,80,,P,T1499.018,0.0,0.0
52,1651673382.0476096,1651673397.1067924,TCP,172.16.2.2,80,172.16.1.2,59694,,,,,
53,1651673382.047939,1651673397.106586,TCP,172.16.1.2,59696,172.16.2.2,80,,P,T1499.019,0.0,0.0
54,1651673382.0480268,1651673397.1067924,TCP,172.16.2.2,80,172.16.1.2,59696,,,,,
55,1651673382.0482411,1651673397.1065886,TCP,172.16.1.2,59698,172.16.2.2,80,,P,T1499.020,0.0,0.0
56,1651673382.048333,1651673397.1067924,TCP,172.16.2.2,80,172.16.1.2,59698,,,,,
57,1651673382.0485485,1651673397.1066332,TCP,172.16.1.2,59700,172.16.2.2,80,,P,T1499.021,0.0,0.0
58,1651673382.048614,1651673397.1067924,TCP,172.16.2.2,80,172.16.1.2,59700,,,,,
59,1651673382.048876,1651673397.1066391,TCP,172.16.1.2,59702,172.16.2.2,80,,P,T1499.022,0.0,0.0
60,1651673382.048948,1651673397.1068215,TCP,172.16.2.2,80,172.16.1.2,59702,,,,,
61,1651673382.0491776,1651673397.106702,TCP,172.16.1.2,59704,172.16.2.2,80,,P,T1499.023,0.0,0.0
62,1651673382.0492504,1651673397.10715,TCP,172.16.2.2,80,172.16.1.2,59704,,,,,
63,1651673382.0495443,1651673397.1067507,TCP,172.16.1.2,59706,172.16.2.2,80,,P,T1499.024,0.0,0.0
64,1651673382.049603,1651673397.10715,TCP,172.16.2.2,80,172.16.1.2,59706,,,,,
65,1651673382.0499492,1651673397.1068387,TCP,172.16.1.2,59708,172.16.2.2,80,,P,T1499.025,0.0,0.0
66,1651673382.0500312,1651673397.10715,TCP,172.16.2.2,80,172.16.1.2,59708,,,,,
67,1651673382.050331,1651673397.1068425,TCP,172.16.1.2,59710,172.16.2.2,80,,P,T1499.026,0.0,0.0
68,1651673382.0504093,1651673397.1071503,TCP,172.16.2.2,80,172.16.1.2,59710,,,,,
69,1651673382.0506852,1651673397.1068716,TCP,172.16.1.2,59712,172.16.2.2,80,,P,T1499.027,0.0,0.0
70,1651673382.0507605,1651673397.1071503,TCP,172.16.2.2,80,172.16.1.2,59712,,,,,
71,1651673382.0509682,1651673397.1069045,TCP,172.16.1.2,59714,172.16.2.2,80,,P,T1499.028,0.0,0.0
72,1651673382.0510411,1651673397.1072364,TCP,172.16.2.2,80,172.16.1.2,59714,,,,,
73,1651673382.0512724,1651673397.1069372,TCP,172.16.1.2,59716,172.16.2.2,80,,P,T1499.029,0.0,0.0
74,1651673382.0513315,1651673397.1072366,TCP,172.16.2.2,80,172.16.1.2,59716,,,,,
75,1651673382.051932,1651673397.1069696,TCP,172.16.1.2,59718,172.16.2.2,80,,P,T1499.030,0.0,0.0
76,1651673382.052029,1651673397.1072366,TCP,172.16.2.2,80,172.16.1.2,59718,,,,,
77,1651673382.0523496,1651673397.107002,TCP,172.16.1.2,59720,172.16.2.2,80,,P,T1499.031,0.0,0.0
78,1651673382.0524275,1651673397.1072369,TCP,172.16.2.2,80,172.16.1.2,59720,,,,,
79,1651673382.052668,1651673397.1070347,TCP,172.16.1.2,59722,172.16.2.2,80,,P,T1499.032,0.0,0.0
80,1651673382.0527675,1651673397.1072369,TCP,172.16.2.2,80,172.16.1.2,59722,,,,,
81,1651673382.0530934,1651673397.1071136,TCP,172.16.1.2,59724,172.16.2.2,80,,P,T1499.033,0.0,0.0
