"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1518706812.616999,1518706920.817787,TCP,18.217.165.70,37900,172.31.69.25,80,,P,T1499.002,,
2,1518706812.617002,1518706920.817798,TCP,172.31.69.25,80,18.217.165.70,37900,,P,T1499.002,,
3,1518706821.697289,1518706929.009662,TCP,18.217.165.70,38242,172.31.69.25,80,,P,T1499.002,,
4,1518706821.697292,1518706929.00968,TCP,172.31.69.25,80,18.217.165.70,38242,,P,T1499.002,,
5,1518706821.69752,1518706929.009693,TCP,18.217.165.70,38244,172.31.69.25,80,,P,T1499.002,,
6,1518706821.697523,1518706929.009698,TCP,172.31.69.25,80,18.217.165.70,38244,,P,T1499.002,,
7,1518706821.697767,1518706929.009701,TCP,18.217.165.70,38246,172.31.69.25,80,,P,T1499.002,,
8,1518706821.697773,1518706929.009704,TCP,172.31.69.25,80,18.217.165.70,38246,,P,T1499.002,,
9,1518706821.698005,1518706929.009708,TCP,18.217.165.70,38248,172.31.69.25,80,,P,T1499.002,,
10,1518706821.698009,1518706929.009712,TCP,172.31.69.25,80,18.217.165.70,38248,,P,T1499.002,,
11,1518706821.699133,1518706929.009843,TCP,18.217.165.70,38258,172.31.69.25,80,,P,T1499.002,,
12,1518706822.706905,1518706929.009845,TCP,172.31.69.25,80,18.217.165.70,38258,,P,T1499.002,,
13,1518706821.698943,1518706929.009851,TCP,18.217.165.70,38256,172.31.69.25,80,,P,T1499.002,,
14,1518706822.706925,1518706929.009852,TCP,172.31.69.25,80,18.217.165.70,38256,,P,T1499.002,,
15,1518706822.723001,1518706931.057765,TCP,18.217.165.70,38266,172.31.69.25,80,,P,T1499.002,,
16,1518706823.730882,1518706931.057778,TCP,172.31.69.25,80,18.217.165.70,38266,,P,T1499.002,,
17,1518706822.714981,1518706931.057795,TCP,18.217.165.70,38264,172.31.69.25,80,,P,T1499.002,,
18,1518706823.730915,1518706931.057798,TCP,172.31.69.25,80,18.217.165.70,38264,,P,T1499.002,,
19,1518706823.731807,1518706931.057831,TCP,18.217.165.70,38282,172.31.69.25,80,,P,T1499.002,,
20,1518706824.754862,1518706931.057833,TCP,172.31.69.25,80,18.217.165.70,38282,,P,T1499.002,,
21,1518706823.731553,1518706931.057911,TCP,18.217.165.70,38280,172.31.69.25,80,,P,T1499.002,,
22,1518706824.754879,1518706931.057913,TCP,172.31.69.25,80,18.217.165.70,38280,,P,T1499.002,,
23,1518706825.779823,1518706933.105663,TCP,18.217.165.70,38298,172.31.69.25,80,,P,T1499.002,,
24,1518706826.802815,1518706933.105675,TCP,172.31.69.25,80,18.217.165.70,38298,,P,T1499.002,,
25,1518706824.755903,1518706933.105682,TCP,18.217.165.70,38286,172.31.69.25,80,,P,T1499.002,,
26,1518706825.778798,1518706933.105684,TCP,172.31.69.25,80,18.217.165.70,38286,,P,T1499.002,,
27,1518706825.779622,1518706933.105685,TCP,18.217.165.70,38296,172.31.69.25,80,,P,T1499.002,,
28,1518706826.802826,1518706933.105687,TCP,172.31.69.25,80,18.217.165.70,38296,,P,T1499.002,,
29,1518706824.755592,1518706933.10569,TCP,18.217.165.70,38284,172.31.69.25,80,,P,T1499.002,,
30,1518706825.778807,1518706933.105692,TCP,172.31.69.25,80,18.217.165.70,38284,,P,T1499.002,,
31,1518706826.803877,1518706935.15364,TCP,18.217.165.70,38308,172.31.69.25,80,,P,T1499.002,,
32,1518706827.826827,1518706935.153654,TCP,172.31.69.25,80,18.217.165.70,38308,,P,T1499.002,,
33,1518706826.803688,1518706935.153673,TCP,18.217.165.70,38306,172.31.69.25,80,,P,T1499.002,,
34,1518706827.826844,1518706935.153675,TCP,172.31.69.25,80,18.217.165.70,38306,,P,T1499.002,,
35,1518706827.827887,1518706935.153764,TCP,18.217.165.70,38328,172.31.69.25,80,,P,T1499.002,,
36,1518706828.850813,1518706935.153768,TCP,172.31.69.25,80,18.217.165.70,38328,,P,T1499.002,,
37,1518706827.827704,1518706935.153774,TCP,18.217.165.70,38326,172.31.69.25,80,,P,T1499.002,,
38,1518706828.850823,1518706935.153776,TCP,172.31.69.25,80,18.217.165.70,38326,,P,T1499.002,,
39,1518706812.655326,1518706815.699009,TCP,18.217.165.70,37914,172.31.69.25,80,,P,T1499.002,,
