Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716040186.913018,1716040187.54008,TCP,192.168.10.20,50324,192.168.10.10,143,,L,,0.0,0.0
,2,1716040186.913319,1716040187.539499,TCP,192.168.10.10,143,192.168.10.20,50324,,,,,
2.0,3,1716040186.366514,1716040191.791434,TCP,192.168.10.20,50323,192.168.10.10,25,,P,T1534,1.0,1.0
,4,1716040186.366911,1716040191.790292,TCP,192.168.10.10,25,192.168.10.20,50323,,,,,
3.0,5,1716040184.233642,1716040187.307098,UDP,192.168.10.20,61083,239.255.255.250,1900,,L,,0.0,0.0
4.0,6,1716040201.162642,1716040201.162642,UDP,192.168.10.21,60564,192.168.10.10,53,,L,,0.0,0.0
,7,1716040201.163028,1716040201.163028,UDP,192.168.10.10,53,192.168.10.21,60564,,,,,
5.0,8,1716040201.32232,1716040201.32232,UDP,192.168.10.21,56568,192.168.10.10,53,,L,,0.0,0.0
,9,1716040201.664843,1716040201.664843,UDP,192.168.10.10,53,192.168.10.21,56568,,,,,
6.0,10,1716040209.324403,1716040209.324403,UDP,192.168.10.21,54078,192.168.10.10,53,,L,,0.0,0.0
,11,1716040209.324802,1716040209.324802,UDP,192.168.10.10,53,192.168.10.21,54078,,,,,
7.0,12,1716040208.370406,1716040210.612999,TCP,192.168.10.20,50325,192.168.10.10,143,,L,,0.0,0.0
,13,1716040208.370797,1716040210.567017,TCP,192.168.10.10,143,192.168.10.20,50325,,,,,
8.0,16,1716040236.48903,1716040236.48903,UDP,192.168.10.21,57776,192.168.10.10,53,,L,,0.0,0.0
,17,1716040236.826986,1716040236.826986,UDP,192.168.10.10,53,192.168.10.21,57776,,,,,
9.0,18,1716040244.465494,1716040244.465494,UDP,192.168.10.20,59630,192.168.10.10,53,,L,,0.0,0.0
,19,1716040244.466056,1716040244.466056,UDP,192.168.10.10,53,192.168.10.20,59630,,,,,
10.0,20,1716040248.875501,1716040249.806801,TCP,192.168.10.21,51623,192.168.10.10,25,,L,,0.0,0.0
,21,1716040248.875788,1716040249.806729,TCP,192.168.10.10,25,192.168.10.21,51623,,,,,
