Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716979522.9954588,1716979523.1173267,TCP,10.0.2.15,55618,142.250.200.202,443,,L,,0.0,0.0
,2,1716979523.0264626,1716979523.1172924,TCP,142.250.200.202,443,10.0.2.15,55618,,,,,
2.0,3,1716979433.5957167,1716979434.2883556,TCP,10.0.2.15,52448,142.250.200.202,443,,P,T1537,1.0,1.0
,4,1716979433.635316,1716979434.2882988,TCP,142.250.200.202,443,10.0.2.15,52448,,,,,
3.0,5,1716979437.545391,1716979572.5346744,TCP,10.0.2.15,36116,40.126.49.24,443,,L,,0.0,0.0
,6,1716979437.5995395,1716979578.644875,TCP,40.126.49.24,443,10.0.2.15,36116,,,,,
4.0,7,1716979433.3949256,1716979433.3949256,UDP,10.0.2.15,56076,192.168.18.1,53,,L,,0.0,0.0
,8,1716979433.4841151,1716979433.4841151,UDP,192.168.18.1,53,10.0.2.15,56076,,,,,
5.0,9,1716979433.4007332,1716979433.4007332,UDP,10.0.2.15,49757,192.168.18.1,53,,L,,0.0,0.0
,10,1716979433.484115,1716979433.484115,UDP,192.168.18.1,53,10.0.2.15,49757,,,,,
6.0,11,1716979433.4961653,1716979433.4961653,UDP,10.0.2.15,48459,192.168.18.1,53,,L,,0.0,0.0
,12,1716979433.5564888,1716979433.5564888,UDP,192.168.18.1,53,10.0.2.15,48459,,,,,
7.0,13,1716979433.5221682,1716979433.5221682,UDP,10.0.2.15,39686,192.168.18.1,53,,L,,0.0,0.0
,14,1716979433.5564892,1716979433.5564892,UDP,192.168.18.1,53,10.0.2.15,39686,,,,,
8.0,15,1716979433.5375886,1716979433.5375886,UDP,10.0.2.15,54458,192.168.18.1,53,,L,,0.0,0.0
,16,1716979433.5564892,1716979433.5564892,UDP,192.168.18.1,53,10.0.2.15,54458,,,,,
9.0,17,1716979435.774706,1716979435.774706,UDP,10.0.2.15,33070,192.168.18.1,53,,L,,0.0,0.0
,18,1716979435.8304532,1716979435.8304532,UDP,192.168.18.1,53,10.0.2.15,33070,,,,,
10.0,19,1716979435.7748456,1716979435.7748456,UDP,10.0.2.15,48285,192.168.18.1,53,,L,,0.0,0.0
,20,1716979437.5408149,1716979437.5408149,UDP,192.168.18.1,53,10.0.2.15,48285,,,,,
11.0,21,1716979437.4959862,1716979437.4959862,UDP,10.0.2.15,38398,192.168.18.1,53,,L,,0.0,0.0
,22,1716979437.5408149,1716979437.5408149,UDP,192.168.18.1,53,10.0.2.15,38398,,,,,
12.0,23,1716979437.496154,1716979437.496154,UDP,10.0.2.15,60682,192.168.18.1,53,,L,,0.0,0.0
,24,1716979437.5408146,1716979437.5408146,UDP,192.168.18.1,53,10.0.2.15,60682,,,,,
