Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1712086439.9329803,1712086533.4358578,TCP,192.168.0.203,51479.0,192.168.0.4,16000.0,,P,T1542.005,1.0,1.0
,2,1712086439.9330027,1712086533.433942,TCP,192.168.0.4,16000.0,192.168.0.203,51479.0,,,,,
2.0,3,1712086430.207306,1712086555.9641304,TCP,192.168.0.203,60785.0,192.168.0.4,16000.0,,P,T1542.005,1.0,1.0
,4,1712086430.2073224,1712086555.9633431,TCP,192.168.0.4,16000.0,192.168.0.203,60785.0,,,,,
3.0,5,1712086426.740352,1712086426.7421763,UDP,192.168.0.203,2070.0,192.168.0.4,69.0,,P,T1542.005,1.0,1.0
,6,1712086426.7409632,1712086426.7426047,UDP,192.168.0.4,69.0,192.168.0.203,2070.0,,,,,
4.0,7,1712086426.7481835,1712086426.934456,UDP,192.168.0.203,2071.0,192.168.0.4,69.0,,P,T1542.005,1.0,1.0
,8,1712086426.7489133,1712086426.9336665,UDP,192.168.0.4,69.0,192.168.0.203,2071.0,,,,,
5.0,9,1712086517.0106757,1712086517.0106757,58,::,,ff02::1:ff3f:f702,,,,,,
6.0,10,1712086518.0347674,1712086518.1076002,58,fe80::a00:27ff:fe3f:f702,,ff02::16,,,,,,
7.0,11,1712086423.0730562,1712086525.2378955,UDP,0.0.0.0,68.0,255.255.255.255,67.0,,P,T1542.005,1.0,1.0
,12,1712086423.073423,1712086525.309085,UDP,192.168.0.4,67.0,255.255.255.255,68.0,,,,,
8.0,16,1712086518.0350704,1712086547.8917944,58,fe80::a00:27ff:fe3f:f702,,ff02::2,,,,,,
9.0,17,1712086516.2550063,1712086571.8109372,58,::,,ff02::16,,,,,,
10.0,18,1712086675.5129657,1712086675.5129657,UDP,fe80::a00:27ff:fe20:85b8,5353.0,ff02::fb,5353.0,,P,T1542.005,1.0,1.0
11.0,19,1712086675.5131147,1712086675.5131147,UDP,192.168.0.4,5353.0,224.0.0.251,5353.0,,P,T1542.006,1.0,1.0
12.0,20,1712087330.137054,1712087330.137054,58,::,,ff02::1:ff3f:f702,,,,,,
13.0,21,1712087329.8007803,1712087330.745597,58,::,,ff02::16,,,,,,
14.0,22,1712087331.1623783,1712087331.4785063,58,fe80::a00:27ff:fe3f:f702,,ff02::16,,,,,,
15.0,23,1712087331.1626885,1712087396.125559,58,fe80::a00:27ff:fe3f:f702,,ff02::2,,,,,,
16.0,26,1712087400.3889885,1712087405.213964,TCP,192.168.0.4,49312.0,192.168.0.203,22.0,,P,T1542.005,1.0,1.0
,27,1712087400.3904722,1712087405.1691527,TCP,192.168.0.203,22.0,192.168.0.4,49312.0,,,,,
