Flow Number, Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1719600658.620621,1719600658.636445,TCP,192.168.0.70,64984.0,192.168.0.20,3389.0,,P,T1563.002,1.0,1.0
,2,1719600658.624339,1719600658.637301,TCP,192.168.0.20,3389.0,192.168.0.70,64984.0,,,,,
2.0,3,1719600660.003844,1719600741.657677,TCP,192.168.0.70,64985.0,192.168.0.20,3389.0,,P,T1563.002,1.0,1.0
,4,1719600660.004525,1719600741.659095,TCP,192.168.0.20,3389.0,192.168.0.70,64985.0,,,,,
3.0,5,1719600761.492454,1719600761.495384,TCP,192.168.0.70,64987.0,192.168.0.100,88.0,,L,,0.0,0.0
,6,1719600761.493415,1719600761.496303,TCP,192.168.0.100,88.0,192.168.0.70,64987.0,,,,,
4.0,7,1719600761.503826,1719600761.506909,TCP,192.168.0.70,64988.0,192.168.0.100,88.0,,L,,0.0,0.0
,8,1719600761.504685,1719600761.50744,TCP,192.168.0.100,88.0,192.168.0.70,64988.0,,,,,
5.0,9,1719600761.507262,1719600761.512931,TCP,192.168.0.70,64989.0,192.168.0.100,88.0,,L,,0.0,0.0
,10,1719600761.510697,1719600761.518212,TCP,192.168.0.100,88.0,192.168.0.70,64989.0,,,,,
6.0,11,1719600791.661575,1719600791.664322,TCP,192.168.0.70,64990.0,192.168.0.100,88.0,,L,,0.0,0.0
,12,1719600791.662261,1719600791.664784,TCP,192.168.0.100,88.0,192.168.0.70,64990.0,,,,,
7.0,13,1719600620.01831,1719600620.01831,UDP,fe80::8e3:64bc:6df7:d91b,546.0,ff02::1:2,547.0,,L,,0.0,0.0
8.0,14,1719600623.70207,1719600624.142116,2,192.168.0.70,,224.0.0.22,,,L,,0.0,0.0
9.0,15,1719600623.692609,1719600624.142373,58,fe80::2c3f:6d0b:9274:d657,,ff02::16,,,L,,0.0,0.0
10.0,16,1719600615.807802,1719600623.813927,UDP,192.168.0.70,52472.0,192.168.0.100,53.0,,L,,0.0,0.0
11.0,17,1719600626.929833,1719600626.929833,UDP,192.168.0.100,53.0,192.168.0.70,52472.0,,L,,0.0,0.0
12.0,18,1719600623.733654,1719600629.970722,UDP,192.168.0.70,52475.0,239.255.255.250,1900.0,,L,,0.0,0.0
13.0,19,1719600658.605842,1719600658.605842,UDP,192.168.0.70,52959.0,192.168.0.100,53.0,,L,,0.0,0.0
14.0,20,1719600658.606609,1719600658.606609,UDP,192.168.0.100,53.0,192.168.0.70,52959.0,,L,,0.0,0.0
15.0,21,1719600689.776609,1719600689.776609,UDP,192.168.0.100,138.0,192.168.0.255,138.0,,L,,0.0,0.0
16.0,22,1719600616.065746,1719600715.112235,UDP,192.168.0.20,137.0,192.168.0.255,137.0,,L,,0.0,0.0
17.0,23,1719600756.924084,1719600893.867118,TCP,192.168.0.70,64986.0,192.168.0.100,3389.0,,L,,0.0,0.0
,24,1719600756.925907,1719600893.867887,TCP,192.168.0.100,3389.0,192.168.0.70,64986.0,,,,,
18.0,29,1719600766.161762,1719600774.174915,UDP,192.168.0.70,51017.0,192.168.0.100,53.0,,L,,0.0,0.0
19.0,30,1719600777.36642,1719600777.36642,UDP,192.168.0.100,53.0,192.168.0.70,51017.0,,L,,0.0,0.0
20.0,31,1719600648.974682,1719600780.470705,UDP,192.168.0.70,137.0,192.168.0.255,137.0,,L,,0.0,0.0
21.0,32,1719600781.193022,1719600789.220367,UDP,192.168.0.70,60241.0,192.168.0.100,53.0,,L,,0.0,0.0
22.0,33,1719600793.679223,1719600793.679223,UDP,192.168.0.100,53.0,192.168.0.70,60241.0,,L,,0.0,0.0
23.0,34,1719600988.424904,1719600988.42814,TCP,192.168.0.70,64991.0,192.168.0.100,88.0,,L,,0.0,0.0
,35,1719600988.42636,1719600988.428901,TCP,192.168.0.100,88.0,192.168.0.70,64991.0,,,,,
24.0,36,1719600988.42839,1719600988.43149,TCP,192.168.0.70,64992.0,192.168.0.100,88.0,,L,,0.0,0.0
,37,1719600988.4289,1719600988.432131,TCP,192.168.0.100,88.0,192.168.0.70,64992.0,,,,,
25.0,38,1719600953.912109,1719600988.751059,TCP,192.168.0.20,49211.0,192.168.0.70,3389.0,,L,,0.0,0.0
,39,1719600953.914157,1719600988.751331,TCP,192.168.0.70,3389.0,192.168.0.20,49211.0,,,,,
26.0,40,1719600853.396692,1719600853.396692,UDP,192.168.0.70,53404.0,192.168.0.100,53.0,,L,,0.0,0.0
27.0,41,1719600853.398016,1719600853.398016,UDP,192.168.0.100,53.0,192.168.0.70,53404.0,,L,,0.0,0.0
28.0,42,1719600901.635624,1719600902.055766,UDP,fe80::91ac:b31a:4956:8188,61754.0,ff02::1:3,5355.0,,L,,0.0,0.0
29.0,43,1719600901.63613,1719600902.055767,UDP,fe80::91ac:b31a:4956:8188,61925.0,ff02::1:3,5355.0,,L,,0.0,0.0
30.0,44,1719600901.63613,1719600902.055768,UDP,192.168.0.100,61925.0,224.0.0.252,5355.0,,L,,0.0,0.0
31.0,45,1719600901.63613,1719600902.055768,UDP,192.168.0.100,61754.0,224.0.0.252,5355.0,,L,,0.0,0.0
32.0,46,1719600901.635622,1719600903.210672,UDP,192.168.0.100,137.0,192.168.0.255,137.0,,L,,0.0,0.0
33.0,47,1719600869.619365,1719600932.665045,UDP,fe80::91ac:b31a:4956:8188,546.0,ff02::1:2,547.0,,L,,0.0,0.0
34.0,55,1719600936.201934,1719600999.188913,UDP,fe80::2c3f:6d0b:9274:d657,546.0,ff02::1:2,547.0,,L,,0.0,0.0
35.0,56,1719600620.268569,1719600620.270769,TCP,192.168.0.70,49157.0,192.168.0.100,49155.0,,L,,0.0,0.0
,57,1719600620.270749,1719600620.27075,TCP,192.168.0.100,49155.0,192.168.0.70,49157.0,,,,,
36.0,58,1719600984.03215,1719601047.033999,UDP,fe80::8e3:64bc:6df7:d91b,546.0,ff02::1:2,547.0,,L,,0.0,0.0
37.0,59,1719601234.484202,1719601241.781917,TCP,192.168.0.20,49216.0,192.168.0.70,3389.0,,L,,0.0,0.0
,60,1719601234.485125,1719601241.782184,TCP,192.168.0.70,3389.0,192.168.0.20,49216.0,,,,,
38.0,61,1719601248.025982,1719601278.27374,TCP,192.168.0.20,49219.0,192.168.0.70,3389.0,,L,,0.0,0.0
,62,1719601248.02603,1719601278.274044,TCP,192.168.0.70,3389.0,192.168.0.20,49219.0,,,,,
39.0,66,1719601403.646532,1719601416.149247,TCP,192.168.0.70,64993.0,192.168.0.100,445.0,,L,,0.0,0.0
,67,1719601403.648504,1719601416.148848,TCP,192.168.0.100,445.0,192.168.0.70,64993.0,,,,,
40.0,68,1719600958.424534,1719601266.861994,UDP,192.168.0.20,137.0,192.168.0.255,137.0,,L,,0.0,0.0
41.0,69,1719601483.36051,1719601483.368954,TCP,192.168.0.70,64994.0,192.168.0.20,3389.0,,L,,0.0,0.0
,70,1719601483.362504,1719601483.369805,TCP,192.168.0.20,3389.0,192.168.0.70,64994.0,,,,,
