"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654275554.7504864,1654275554.7504864,TCP,172.16.1.2,37330,108.157.109.58,443,,L,,0.0,0.0
2,1654275555.006781,1654275555.006781,TCP,172.16.1.2,37332,108.157.109.58,443,,L,,0.0,0.0
3,1654275556.8534424,1654275556.8779745,TCP,172.16.1.2,39046,172.16.2.2,8080,,P,T1565.001,1.0,1.0
4,1654275556.8536904,1654275556.8776608,TCP,172.16.2.2,8080,172.16.1.2,39046,,,,,
5,1654275556.204068,1654275559.2310047,TCP,172.16.1.2,42266,34.107.221.82,80,,L,,0.0,0.0
6,1654275556.455223,1654275559.4871366,TCP,172.16.1.2,42268,34.107.221.82,80,,L,,0.0,0.0
7,1654275554.1759136,1654275561.4069462,TCP,172.16.1.2,41064,52.84.66.18,443,,L,,0.0,0.0
8,1654275554.17261,1654275561.4069648,TCP,172.16.1.2,54548,34.117.237.239,443,,L,,0.0,0.0
9,1654275554.4267511,1654275561.6623447,TCP,172.16.1.2,41068,52.84.66.18,443,,L,,0.0,0.0
10,1654275554.423374,1654275561.6623604,TCP,172.16.1.2,54552,34.117.237.239,443,,L,,0.0,0.0
13,1654275561.2078824,1654275562.2387948,TCP,172.16.1.2,42272,34.107.221.82,80,,L,,0.0,0.0
14,1654275561.4590416,1654275562.4634116,TCP,172.16.1.2,42274,34.107.221.82,80,,L,,0.0,0.0
