Flow Number, Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1709471849.7963326,1709471850.5795944,TCP,192.168.0.2,48820,192.168.0.4,110,,P,T1533.002,1.0,1.0
,2,1709471849.8003435,1709471850.580394,TCP,192.168.0.4,110,192.168.0.2,48820,,,,,
2.0,3,1709471855.627128,1709471855.8582397,TCP,192.168.0.2,48828,192.168.0.4,110,,L,,0.0,0.0
,4,1709471855.6279356,1709471855.8591492,TCP,192.168.0.4,110,192.168.0.2,48828,,,,,
3.0,5,1709471868.702961,1709471868.920936,TCP,192.168.0.2,49416,192.168.0.3,80,,L,,0.0,0.0
,6,1709471868.732946,1709471868.9393668,TCP,192.168.0.3,80,192.168.0.2,49416,,,,,
4.0,7,1709471840.03464,1709471840.03464,UDP,192.168.0.2,57822,192.168.0.4,53,,L,,0.0,0.0
,8,1709471840.0358934,1709471840.0358934,UDP,192.168.0.4,53,192.168.0.2,57822,,,,,
5.0,9,1709471840.0367932,1709471840.0367932,UDP,192.168.0.2,38786,192.168.0.4,53,,L,,0.0,0.0
,10,1709471840.0387192,1709471840.0387192,UDP,192.168.0.4,53,192.168.0.2,38786,,,,,
6.0,11,1709471849.7958648,1709471849.7959728,UDP,192.168.0.2,47027,192.168.0.4,53,,L,,0.0,0.0
,12,1709471849.7972617,1709471849.7972617,UDP,192.168.0.4,53,192.168.0.2,47027,,,,,
7.0,13,1709471864.752902,1709471864.8308167,UDP,192.168.0.2,57424,192.168.0.4,53,,L,,0.0,0.0
,14,1709471864.830515,1709471864.8318152,UDP,192.168.0.4,53,192.168.0.2,57424,,,,,
8.0,15,1709471864.8336723,1709471864.8446543,UDP,192.168.0.2,34695,192.168.0.4,53,,L,,0.0,0.0
,16,1709471864.844035,1709471864.845658,UDP,192.168.0.4,53,192.168.0.2,34695,,,,,
9.0,17,1709471864.8334925,1709471864.8447664,UDP,192.168.0.2,58402,192.168.0.4,53,,L,,0.0,0.0
,18,1709471864.8440351,1709471864.845658,UDP,192.168.0.4,53,192.168.0.2,58402,,,,,
10.0,19,1709471868.5359533,1709471868.5359533,UDP,192.168.0.2,33261,192.168.0.4,53,,L,,0.0,0.0
,20,1709471868.6296177,1709471868.6296177,UDP,192.168.0.4,53,192.168.0.2,33261,,,,,
