Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1715439516.1401696,1715439516.3932738,TCP,10.0.2.15,54254,172.217.168.161,443,,P,T1567.002,0.0,0.0
,2,1715439516.1510897,1715439516.3932445,TCP,172.217.168.161,443,10.0.2.15,54254,,,,,
2.0,3,1715439501.0636733,1715439515.9447567,UDP,10.0.2.15,35638,216.58.215.142,443,,L,,0.0,0.0
,4,1715439501.075488,1715439515.944632,UDP,216.58.215.142,443,10.0.2.15,35638,,,,,
3.0,5,1715439516.0812578,1715439516.0812578,UDP,10.0.2.15,44415,100.100.1.1,53,,L,,0.0,0.0
,6,1715439516.1336005,1715439516.1336005,UDP,100.100.1.1,53,10.0.2.15,44415,,,,,
4.0,7,1715439516.081519,1715439516.081519,UDP,10.0.2.15,52269,100.100.1.1,53,,L,,0.0,0.0
,8,1715439516.135425,1715439516.135425,UDP,100.100.1.1,53,10.0.2.15,52269,,,,,
5.0,9,1715439516.2636838,1715439516.411664,UDP,10.0.2.15,56746,172.217.168.161,443,,L,,0.0,0.0
,10,1715439516.279568,1715439516.411296,UDP,172.217.168.161,443,10.0.2.15,56746,,,,,
6.0,11,1715439516.1509848,1715439516.739698,UDP,10.0.2.15,41038,142.250.200.110,443,,L,,0.0,0.0
,12,1715439516.1964493,1715439516.7766192,UDP,142.250.200.110,443,10.0.2.15,41038,,,,,
7.0,13,1715439520.7510426,1715439520.7510426,UDP,10.0.2.15,59204,100.100.1.1,53,,L,,0.0,0.0
,14,1715439520.8688743,1715439520.8688743,UDP,100.100.1.1,53,10.0.2.15,59204,,,,,
8.0,15,1715439520.7511847,1715439520.7511847,UDP,10.0.2.15,47647,100.100.1.1,53,,L,,0.0,0.0
,16,1715439520.8688743,1715439520.8688743,UDP,100.100.1.1,53,10.0.2.15,47647,,,,,
9.0,17,1715439521.07578,1715439522.5024312,UDP,10.0.2.15,59251,34.117.188.166,443,,L,,0.0,0.0
,18,1715439521.1019864,1715439522.209915,UDP,34.117.188.166,443,10.0.2.15,59251,,,,,
10.0,19,1715439505.2016406,1715439532.8411753,UDP,10.0.2.15,37307,142.250.184.3,443,,L,,0.0,0.0
,20,1715439505.2523324,1715439532.8812988,UDP,142.250.184.3,443,10.0.2.15,37307,,,,,
11.0,21,1715439537.6480236,1715439537.8080769,UDP,10.0.2.15,39984,142.250.200.138,443,,L,,0.0,0.0
,22,1715439537.6823227,1715439537.8227284,UDP,142.250.200.138,443,10.0.2.15,39984,,,,,
12.0,23,1715439516.1403935,1715439538.4516976,UDP,10.0.2.15,34653,142.250.200.110,443,,L,,0.0,0.0
,24,1715439516.1851351,1715439538.4658592,UDP,142.250.200.110,443,10.0.2.15,34653,,,,,
13.0,25,1715439537.634138,1715439538.701625,UDP,10.0.2.15,58017,142.250.200.138,443,,L,,0.0,0.0
,26,1715439537.6652288,1715439538.7354217,UDP,142.250.200.138,443,10.0.2.15,58017,,,,,
14.0,27,1715439558.2146475,1715439558.4554987,UDP,10.0.2.15,60710,216.58.215.142,443,,L,,0.0,0.0
,28,1715439558.246934,1715439558.4677534,UDP,216.58.215.142,443,10.0.2.15,60710,,,,,
