"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1717518654.8673584,1717518654.9960165,TCP,192.168.0.20,56162.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
2,1717518654.8693671,1717518655.023994,TCP,192.168.0.10,80.0,192.168.0.20,56162.0,,,,,
3,1717518654.876317,1717518655.024146,TCP,192.168.0.20,36188.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
4,1717518654.8771627,1717518655.023994,TCP,192.168.0.11,80.0,192.168.0.20,36188.0,,,,,
5,1717518654.9534812,1717518655.0434628,TCP,192.168.0.20,36202.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
6,1717518654.960909,1717518655.0445971,TCP,192.168.0.11,80.0,192.168.0.20,36202.0,,,,,
7,1717518655.0244684,1717518655.1701798,TCP,192.168.0.20,56164.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
8,1717518655.0257256,1717518655.1722252,TCP,192.168.0.10,80.0,192.168.0.20,56164.0,,,,,
9,1717518655.0250196,1717518655.2440665,TCP,192.168.0.20,36208.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
10,1717518655.025726,1717518655.2440393,TCP,192.168.0.11,80.0,192.168.0.20,36208.0,,,,,
11,1717518655.084681,1717518655.2635393,TCP,192.168.0.20,56174.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
12,1717518655.085505,1717518655.275983,TCP,192.168.0.10,80.0,192.168.0.20,56174.0,,,,,
13,1717518655.084897,1717518655.3185546,TCP,192.168.0.20,56176.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
14,1717518655.0865753,1717518655.3201296,TCP,192.168.0.10,80.0,192.168.0.20,56176.0,,,,,
15,1717518655.1743927,1717518655.387646,TCP,192.168.0.20,36212.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
16,1717518655.17627,1717518655.4265437,TCP,192.168.0.11,80.0,192.168.0.20,36212.0,,,,,
17,1717518655.2479985,1717518655.4266255,TCP,192.168.0.20,56192.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
18,1717518655.2537336,1717518655.4265437,TCP,192.168.0.10,80.0,192.168.0.20,56192.0,,,,,
19,1717518655.278408,1717518655.43156,TCP,192.168.0.20,56202.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
20,1717518655.2885127,1717518655.4759605,TCP,192.168.0.10,80.0,192.168.0.20,56202.0,,,,,
21,1717518655.3723743,1717518655.60229,TCP,192.168.0.20,36228.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
22,1717518655.4265437,1717518655.6427803,TCP,192.168.0.11,80.0,192.168.0.20,36228.0,,,,,
23,1717518655.4341629,1717518655.6454308,TCP,192.168.0.20,56208.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
24,1717518655.475961,1717518655.6708117,TCP,192.168.0.10,80.0,192.168.0.20,56208.0,,,,,
25,1717518655.8468328,1717518655.9307568,TCP,192.168.0.20,60306.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
26,1717518655.881455,1717518655.937308,TCP,192.168.0.10,80.0,192.168.0.20,60306.0,,,,,
27,1717518656.3323495,1717518656.3462572,TCP,192.168.0.20,44200.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
28,1717518656.3355916,1717518656.346187,TCP,192.168.0.11,80.0,192.168.0.20,44200.0,,,,,
29,1717518656.437784,1717518656.4916153,TCP,192.168.0.20,60320.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
30,1717518656.458158,1717518656.4928677,TCP,192.168.0.10,80.0,192.168.0.20,60320.0,,,,,
31,1717518656.634954,1717518656.647123,TCP,192.168.0.20,44208.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
32,1717518656.6358616,1717518656.6476116,TCP,192.168.0.11,80.0,192.168.0.20,44208.0,,,,,
33,1717518656.73717,1717518656.8148563,TCP,192.168.0.20,60324.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
34,1717518656.738272,1717518656.8159535,TCP,192.168.0.10,80.0,192.168.0.20,60324.0,,,,,
35,1717518656.937195,1717518656.9482992,TCP,192.168.0.20,44210.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
36,1717518656.9382892,1717518656.9492712,TCP,192.168.0.11,80.0,192.168.0.20,44210.0,,,,,
