Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716972490.130285,1716972490.619923,TCP,fe80::2b14:3be:3d23:e37f,49960.0,fe80::ca8c:e0e8:31e2:93e5,50632.0,,P,T1569,1.0,1.0
,2,1716972490.130498,1716972490.6147,TCP,fe80::ca8c:e0e8:31e2:93e5,50632.0,fe80::2b14:3be:3d23:e37f,49960.0,,,,,
2.0,3,1716972490.12324,1716972490.619823,TCP,fe80::2b14:3be:3d23:e37f,49959.0,fe80::ca8c:e0e8:31e2:93e5,135.0,,P,T1569,1.0,1.0
,4,1716972490.123684,1716972490.126004,TCP,fe80::ca8c:e0e8:31e2:93e5,135.0,fe80::2b14:3be:3d23:e37f,49959.0,,,,,
3.0,5,1716972489.923063,1716972489.923063,UDP,fe80::2b14:3be:3d23:e37f,57518.0,ff02::1:3,5355.0,,P,T1569,1.0,1.0
4.0,6,1716972489.923271,1716972489.923271,UDP,192.168.10.1,57518.0,224.0.0.252,5355.0,,P,T1569,1.0,1.0
5.0,7,1716972489.923635,1716972489.923635,UDP,fe80::ca8c:e0e8:31e2:93e5,5355.0,fe80::2b14:3be:3d23:e37f,57518.0,,P,T1569,1.0,1.0
6.0,8,1716972489.923852,1716972489.923852,UDP,192.168.10.2,5355.0,192.168.10.1,57518.0,,L,,0.0,0.0
7.0,9,1716972489.924075,1716972489.924075,UDP,fe80::2b14:3be:3d23:e37f,51801.0,ff02::1:3,5355.0,,P,T1569,1.0,1.0
8.0,10,1716972489.924216,1716972489.924216,UDP,192.168.10.1,51801.0,224.0.0.252,5355.0,,L,,0.0,0.0
9.0,11,1716972489.924643,1716972489.924643,UDP,fe80::ca8c:e0e8:31e2:93e5,5355.0,fe80::2b14:3be:3d23:e37f,51801.0,,P,T1569,1.0,1.0
10.0,12,1716972489.924866,1716972489.924866,UDP,192.168.10.2,5355.0,192.168.10.1,51801.0,,L,,0.0,0.0
11.0,13,1716972489.92574,1716972489.92574,58,fe80::2b14:3be:3d23:e37f,,fe80::ca8c:e0e8:31e2:93e5,,,P,T1569,1.0,1.0
12.0,14,1716972489.925761,1716972489.925761,ICMP,192.168.10.1,,192.168.10.2,,0x00000000_0x00000008_0x0008,L,,0.0,0.0
13.0,15,1716972489.920022,1716972490.129239,UDP,192.168.10.1,5353.0,224.0.0.251,5353.0,,P,T1569,1.0,1.0
14.0,16,1716972489.92118,1716972490.129509,UDP,192.168.10.2,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
15.0,17,1716972489.920894,1716972490.129583,UDP,fe80::2b14:3be:3d23:e37f,5353.0,ff02::fb,5353.0,,P,T1569,1.0,1.0
16.0,18,1716972489.921584,1716972490.129796,UDP,fe80::ca8c:e0e8:31e2:93e5,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
17.0,19,1716972490.055619,1716972490.675133,TCP,fe80::2b14:3be:3d23:e37f,49958.0,fe80::ca8c:e0e8:31e2:93e5,445.0,,P,T1569,1.0,1.0
,20,1716972490.055906,1716972490.620412,TCP,fe80::ca8c:e0e8:31e2:93e5,445.0,fe80::2b14:3be:3d23:e37f,49958.0,,,,,
