Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1714053583.727051,1714053584.471264,TCP,10.0.2.10,50886,156.146.59.6,9002,,P,T1585.001,1.0,1.0
2,1714053583.845355,1714053584.471181,TCP,156.146.59.6,9002,10.0.2.10,50886,,,,,
3,1714053585.513068,1714053586.149851,TCP,10.0.2.10,50889,156.146.59.6,9002,,P,T1585.001,0.0,0.0
4,1714053585.63701,1714053586.150028,TCP,156.146.59.6,9002,10.0.2.10,50889,,,,,
5,1714053585.513398,1714053586.170255,TCP,10.0.2.10,50890,156.146.59.6,9002,,P,T1585.002,0.0,0.0
6,1714053585.639871,1714053586.171322,TCP,156.146.59.6,9002,10.0.2.10,50890,,,,,
7,1714053585.512781,1714053586.181796,TCP,10.0.2.10,50888,156.146.59.6,9002,,P,T1585.003,0.0,0.0
8,1714053585.643437,1714053586.181935,TCP,156.146.59.6,9002,10.0.2.10,50888,,,,,
9,1714053582.513556,1714053600.673273,TCP,10.0.2.10,50882,156.146.59.6,9002,,P,T1585.004,0.0,0.0
10,1714053582.621183,1714053600.673212,TCP,156.146.59.6,9002,10.0.2.10,50882,,,,,
11,1714053582.513678,1714053600.689755,TCP,10.0.2.10,50883,156.146.59.6,9002,,P,T1585.005,0.0,0.0
12,1714053582.635325,1714053600.689948,TCP,156.146.59.6,9002,10.0.2.10,50883,,,,,
13,1714053600.567055,1714053600.91037,TCP,10.0.2.10,50919,156.146.59.6,9002,,P,T1585.006,0.0,0.0
14,1714053600.677751,1714053600.910356,TCP,156.146.59.6,9002,10.0.2.10,50919,,,,,
15,1714053600.567579,1714053600.923686,TCP,10.0.2.10,50921,156.146.59.6,9002,,P,T1585.007,0.0,0.0
16,1714053600.679627,1714053600.923633,TCP,156.146.59.6,9002,10.0.2.10,50921,,,,,
17,1714053600.567888,1714053600.949228,TCP,10.0.2.10,50922,156.146.59.6,9002,,P,T1585.008,0.0,0.0
18,1714053600.682761,1714053600.949139,TCP,156.146.59.6,9002,10.0.2.10,50922,,,,,
19,1714053600.56807,1714053600.949275,TCP,10.0.2.10,50923,156.146.59.6,9002,,P,T1585.009,0.0,0.0
20,1714053600.682761,1714053600.949139,TCP,156.146.59.6,9002,10.0.2.10,50923,,,,,
21,1714053600.567353,1714053600.982776,TCP,10.0.2.10,50920,156.146.59.6,9002,,P,T1585.010,0.0,0.0
22,1714053600.689948,1714053600.982747,TCP,156.146.59.6,9002,10.0.2.10,50920,,,,,
23,1714053595.853549,1714053602.313426,TCP,10.0.2.10,50903,156.146.59.6,9002,,P,T1585.011,0.0,0.0
24,1714053595.975387,1714053602.313617,TCP,156.146.59.6,9002,10.0.2.10,50903,,,,,
25,1714053601.766069,1714053602.462621,TCP,10.0.2.10,50929,156.146.59.6,9002,,P,T1585.012,0.0,0.0
26,1714053601.886805,1714053602.462877,TCP,156.146.59.6,9002,10.0.2.10,50929,,,,,
27,1714053599.942587,1714053602.959046,TCP,10.0.2.10,50911,156.146.59.6,9002,,P,T1585.013,0.0,0.0
28,1714053600.059786,1714053602.959368,TCP,156.146.59.6,9002,10.0.2.10,50911,,,,,
29,1714053599.959929,1714053603.312654,TCP,10.0.2.10,50913,156.146.59.6,9002,,P,T1585.014,0.0,0.0
30,1714053600.076973,1714053603.312631,TCP,156.146.59.6,9002,10.0.2.10,50913,,,,,
31,1714053597.996399,1714053603.651443,TCP,10.0.2.10,50906,156.146.59.6,9002,,P,T1585.015,0.0,0.0
32,1714053598.119692,1714053603.651642,TCP,156.146.59.6,9002,10.0.2.10,50906,,,,,
33,1714053588.997775,1714053599.889982,TCP,10.0.2.10,50895,156.146.59.6,9002,,P,T1585.016,0.0,0.0
34,1714053589.115087,1714053599.890723,TCP,156.146.59.6,9002,10.0.2.10,50895,,,,,
35,1714053757.506696,1714053776.951422,TCP,10.0.2.10,51045,156.146.59.6,9002,,P,T1585.017,0.0,0.0
36,1714053757.621961,1714053776.951581,TCP,156.146.59.6,9002,10.0.2.10,51045,,,,,
37,1714053778.333194,1714053778.564926,TCP,10.0.2.10,51059,156.146.59.6,9002,,P,T1585.018,0.0,0.0
38,1714053778.449692,1714053778.564857,TCP,156.146.59.6,9002,10.0.2.10,51059,,,,,
39,1714053778.334076,1714053778.57078,TCP,10.0.2.10,51062,156.146.59.6,9002,,P,T1585.019,0.0,0.0
40,1714053778.451534,1714053778.570452,TCP,156.146.59.6,9002,10.0.2.10,51062,,,,,
41,1714053778.334371,1714053778.58299,TCP,10.0.2.10,51063,156.146.59.6,9002,,P,T1585.020,0.0,0.0
42,1714053778.452443,1714053778.583257,TCP,156.146.59.6,9002,10.0.2.10,51063,,,,,
43,1714053778.333592,1714053778.583015,TCP,10.0.2.10,51060,156.146.59.6,9002,,P,T1585.021,0.0,0.0
44,1714053778.454622,1714053778.583257,TCP,156.146.59.6,9002,10.0.2.10,51060,,,,,
45,1714053778.333783,1714053778.58441,TCP,10.0.2.10,51061,156.146.59.6,9002,,P,T1585.022,0.0,0.0
46,1714053778.454622,1714053778.584563,TCP,156.146.59.6,9002,10.0.2.10,51061,,,,,
47,1714053780.302684,1714053781.256728,TCP,10.0.2.10,51066,156.146.59.6,9002,,P,T1585.023,0.0,0.0
48,1714053780.42075,1714053781.257032,TCP,156.146.59.6,9002,10.0.2.10,51066,,,,,
49,1714053963.725577,1714053965.531886,TCP,10.0.2.10,51280,156.146.59.6,9002,,P,T1585.024,0.0,0.0
50,1714053963.839751,1714053965.532103,TCP,156.146.59.6,9002,10.0.2.10,51280,,,,,
51,1714053965.41694,1714053965.886992,TCP,10.0.2.10,51286,156.146.59.6,9002,,P,T1585.025,0.0,0.0
52,1714053965.531797,1714053965.887151,TCP,156.146.59.6,9002,10.0.2.10,51286,,,,,
53,1714053963.863521,1714053966.14703,TCP,10.0.2.10,51282,156.146.59.6,9002,,P,T1585.026,0.0,0.0
54,1714053963.977123,1714053966.147223,TCP,156.146.59.6,9002,10.0.2.10,51282,,,,,
55,1714053964.566281,1714053966.153629,TCP,10.0.2.10,51284,156.146.59.6,9002,,P,T1585.027,0.0,0.0
56,1714053964.685725,1714053966.153766,TCP,156.146.59.6,9002,10.0.2.10,51284,,,,,
57,1714053964.303036,1714053966.155027,TCP,10.0.2.10,51283,156.146.59.6,9002,,P,T1585.028,0.0,0.0
58,1714053964.428955,1714053966.155214,TCP,156.146.59.6,9002,10.0.2.10,51283,,,,,
59,1714053963.767467,1714053966.15557,TCP,10.0.2.10,51281,156.146.59.6,9002,,P,T1585.029,0.0,0.0
60,1714053963.889984,1714053966.155558,TCP,156.146.59.6,9002,10.0.2.10,51281,,,,,
61,1714053966.893332,1714053967.251165,TCP,10.0.2.10,51292,156.146.59.6,9002,,P,T1585.030,0.0,0.0
62,1714053967.012003,1714053967.251135,TCP,156.146.59.6,9002,10.0.2.10,51292,,,,,
63,1714053966.892955,1714053967.267079,TCP,10.0.2.10,51291,156.146.59.6,9002,,P,T1585.031,0.0,0.0
64,1714053967.018748,1714053967.267062,TCP,156.146.59.6,9002,10.0.2.10,51291,,,,,
65,1714053966.910022,1714053967.275949,TCP,10.0.2.10,51295,156.146.59.6,9002,,P,T1585.032,0.0,0.0
66,1714053967.027888,1714053967.275929,TCP,156.146.59.6,9002,10.0.2.10,51295,,,,,
67,1714053966.894041,1714053967.278558,TCP,10.0.2.10,51293,156.146.59.6,9002,,P,T1585.033,0.0,0.0
68,1714053967.018847,1714053967.278544,TCP,156.146.59.6,9002,10.0.2.10,51293,,,,,
69,1714053966.909821,1714053967.282274,TCP,10.0.2.10,51294,156.146.59.6,9002,,P,T1585.034,0.0,0.0
70,1714053967.030818,1714053967.28226,TCP,156.146.59.6,9002,10.0.2.10,51294,,,,,
71,1714053967.928746,1714053978.54207,TCP,10.0.2.10,51298,156.146.59.6,9002,,P,T1585.035,0.0,0.0
72,1714053968.044038,1714053978.542266,TCP,156.146.59.6,9002,10.0.2.10,51298,,,,,
73,1714053966.047163,1714053969.512453,TCP,10.0.2.10,51288,156.146.59.6,9002,,P,T1585.036,0.0,0.0
74,1714053966.157549,1714053969.512395,TCP,156.146.59.6,9002,10.0.2.10,51288,,,,,
75,1714053976.488816,1714053982.464983,TCP,10.0.2.10,51307,156.146.59.6,9002,,P,T1585.037,0.0,0.0
76,1714053976.60618,1714053982.465181,TCP,156.146.59.6,9002,10.0.2.10,51307,,,,,
77,1714053982.818415,1714053982.932888,TCP,10.0.2.10,51313,156.146.59.6,9002,,P,T1585.038,0.0,0.0
78,1714053982.932878,1714053982.932878,TCP,156.146.59.6,9002,10.0.2.10,51313,,,,,
79,1714053982.818686,1714053982.936299,TCP,10.0.2.10,51315,156.146.59.6,9002,,P,T1585.039,0.0,0.0
80,1714053982.93629,1714053982.93629,TCP,156.146.59.6,9002,10.0.2.10,51315,,,,,
81,1714053982.818566,1714053982.936309,TCP,10.0.2.10,51314,156.146.59.6,9002,,P,T1585.040,0.0,0.0
82,1714053982.93629,1714053982.93629,TCP,156.146.59.6,9002,10.0.2.10,51314,,,,,
83,1714053982.81882,1714053982.941472,TCP,10.0.2.10,51316,156.146.59.6,9002,,P,T1585.041,0.0,0.0
84,1714053982.941447,1714053982.941447,TCP,156.146.59.6,9002,10.0.2.10,51316,,,,,
85,1714053982.772141,1714053982.990659,TCP,10.0.2.10,51312,156.146.59.6,9002,,P,T1585.042,0.0,0.0
86,1714053982.88214,1714053982.990624,TCP,156.146.59.6,9002,10.0.2.10,51312,,,,,
87,1714054069.02615,1714054076.406221,TCP,10.0.2.10,51427,156.146.59.6,9002,,P,T1585.043,0.0,0.0
88,1714054069.134555,1714054076.406183,TCP,156.146.59.6,9002,10.0.2.10,51427,,,,,
89,1714054068.301754,1714054076.410001,TCP,10.0.2.10,51425,156.146.59.6,9002,,P,T1585.044,0.0,0.0
90,1714054068.414368,1714054076.410135,TCP,156.146.59.6,9002,10.0.2.10,51425,,,,,
91,1714054069.491363,1714054076.418212,TCP,10.0.2.10,51429,156.146.59.6,9002,,P,T1585.045,0.0,0.0
92,1714054069.612536,1714054076.418197,TCP,156.146.59.6,9002,10.0.2.10,51429,,,,,
93,1714054070.802228,1714054076.421522,TCP,10.0.2.10,51430,156.146.59.6,9002,,P,T1585.046,0.0,0.0
94,1714054070.922884,1714054076.421684,TCP,156.146.59.6,9002,10.0.2.10,51430,,,,,
95,1714054078.25459,1714054078.483724,TCP,10.0.2.10,51436,156.146.59.6,9002,,P,T1585.047,0.0,0.0
96,1714054078.370493,1714054078.48367,TCP,156.146.59.6,9002,10.0.2.10,51436,,,,,
97,1714054078.254959,1714054078.516365,TCP,10.0.2.10,51437,156.146.59.6,9002,,P,T1585.048,0.0,0.0
98,1714054078.37447,1714054078.516518,TCP,156.146.59.6,9002,10.0.2.10,51437,,,,,
99,1714054078.255128,1714054078.516778,TCP,10.0.2.10,51438,156.146.59.6,9002,,P,T1585.049,0.0,0.0
100,1714054078.383023,1714054078.516915,TCP,156.146.59.6,9002,10.0.2.10,51438,,,,,
101,1714053421.744633,1714053472.144236,TCP,10.0.2.10,50795,156.146.59.6,9002,,P,T1585.050,0.0,0.0
102,1714053421.862627,1714053472.144524,TCP,156.146.59.6,9002,10.0.2.10,50795,,,,,
103,1714054082.488769,1714054086.362818,TCP,10.0.2.10,51442,156.146.59.6,9002,,P,T1585.051,0.0,0.0
104,1714054082.599303,1714054086.363143,TCP,156.146.59.6,9002,10.0.2.10,51442,,,,,
105,1714054078.717865,1714054086.47457,TCP,10.0.2.10,51439,156.146.59.6,9002,,P,T1585.052,0.0,0.0
106,1714054078.831868,1714054086.474537,TCP,156.146.59.6,9002,10.0.2.10,51439,,,,,
107,1714054069.352293,1714054086.475398,TCP,10.0.2.10,51428,156.146.59.6,9002,,P,T1585.053,0.0,0.0
108,1714054069.466531,1714054086.475573,TCP,156.146.59.6,9002,10.0.2.10,51428,,,,,
109,1714054077.940655,1714054086.483906,TCP,10.0.2.10,51435,156.146.59.6,9002,,P,T1585.054,0.0,0.0
110,1714054078.063817,1714054086.484074,TCP,156.146.59.6,9002,10.0.2.10,51435,,,,,
111,1714054102.268579,1714054102.495143,TCP,10.0.2.10,51455,156.146.59.6,9002,,P,T1585.055,0.0,0.0
112,1714054102.381819,1714054102.49511,TCP,156.146.59.6,9002,10.0.2.10,51455,,,,,
113,1714054102.269334,1714054102.504205,TCP,10.0.2.10,51459,156.146.59.6,9002,,P,T1585.056,0.0,0.0
114,1714054102.381819,1714054102.504359,TCP,156.146.59.6,9002,10.0.2.10,51459,,,,,
115,1714054102.269012,1714054102.512199,TCP,10.0.2.10,51457,156.146.59.6,9002,,P,T1585.057,0.0,0.0
116,1714054102.386182,1714054102.512307,TCP,156.146.59.6,9002,10.0.2.10,51457,,,,,
117,1714054102.268815,1714054102.516142,TCP,10.0.2.10,51456,156.146.59.6,9002,,P,T1585.058,0.0,0.0
118,1714054102.389231,1714054102.516297,TCP,156.146.59.6,9002,10.0.2.10,51456,,,,,
119,1714054102.269177,1714054102.52047,TCP,10.0.2.10,51458,156.146.59.6,9002,,P,T1585.059,0.0,0.0
120,1714054102.391279,1714054102.520627,TCP,156.146.59.6,9002,10.0.2.10,51458,,,,,
121,1714054103.169836,1714054103.391667,TCP,10.0.2.10,51461,156.146.59.6,9002,,P,T1585.060,0.0,0.0
122,1714054103.281098,1714054103.391617,TCP,156.146.59.6,9002,10.0.2.10,51461,,,,,
123,1714054103.170035,1714054103.414987,TCP,10.0.2.10,51462,156.146.59.6,9002,,P,T1585.061,0.0,0.0
124,1714054103.288612,1714054103.415181,TCP,156.146.59.6,9002,10.0.2.10,51462,,,,,
125,1714053466.34983,1714053511.964845,TCP,10.0.2.10,50822,156.146.59.6,9002,,P,T1585.062,0.0,0.0
126,1714053466.467388,1714053511.965123,TCP,156.146.59.6,9002,10.0.2.10,50822,,,,,
127,1714053585.513755,1714053587.093173,TCP,10.0.2.10,50891,156.146.59.6,9002,,P,T1585.063,0.0,0.0
128,1714053585.625796,1714053587.09315,TCP,156.146.59.6,9002,10.0.2.10,50891,,,,,
129,1714053583.726519,1714053589.821404,TCP,10.0.2.10,50885,156.146.59.6,9002,,P,T1585.064,0.0,0.0
130,1714053583.840875,1714053589.821607,TCP,156.146.59.6,9002,10.0.2.10,50885,,,,,
131,1714053592.187302,1714053593.301391,TCP,10.0.2.10,50898,156.146.59.6,9002,,P,T1585.065,0.0,0.0
132,1714053592.306137,1714053593.301357,TCP,156.146.59.6,9002,10.0.2.10,50898,,,,,
133,1714053594.685263,1714053595.840545,TCP,10.0.2.10,50901,156.146.59.6,9002,,P,T1585.066,0.0,0.0
134,1714053594.807872,1714053595.840492,TCP,156.146.59.6,9002,10.0.2.10,50901,,,,,
135,1714053593.303775,1714053599.446289,TCP,10.0.2.10,50900,156.146.59.6,9002,,P,T1585.067,0.0,0.0
136,1714053593.417577,1714053599.400033,TCP,156.146.59.6,9002,10.0.2.10,50900,,,,,
137,1714053599.895945,1714053600.672825,TCP,10.0.2.10,50910,156.146.59.6,9002,,P,T1585.068,0.0,0.0
138,1714053600.016821,1714053600.629591,TCP,156.146.59.6,9002,10.0.2.10,50910,,,,,
139,1714053600.339447,1714053601.123025,TCP,10.0.2.10,50916,156.146.59.6,9002,,P,T1585.069,0.0,0.0
140,1714053600.460931,1714053601.123194,TCP,156.146.59.6,9002,10.0.2.10,50916,,,,,
141,1714053600.35064,1714053601.18133,TCP,10.0.2.10,50917,156.146.59.6,9002,,P,T1585.070,0.0,0.0
142,1714053600.479882,1714053601.181283,TCP,156.146.59.6,9002,10.0.2.10,50917,,,,,
143,1714053598.672152,1714053601.216992,TCP,10.0.2.10,50907,156.146.59.6,9002,,P,T1585.071,0.0,0.0
144,1714053598.823795,1714053601.216903,TCP,156.146.59.6,9002,10.0.2.10,50907,,,,,
145,1714053600.165519,1714053601.277627,TCP,10.0.2.10,50914,156.146.59.6,9002,,P,T1585.072,0.0,0.0
146,1714053600.29156,1714053601.236404,TCP,156.146.59.6,9002,10.0.2.10,50914,,,,,
147,1714053600.545011,1714053601.340437,TCP,10.0.2.10,50918,156.146.59.6,9002,,P,T1585.073,0.0,0.0
148,1714053600.666787,1714053601.286278,TCP,156.146.59.6,9002,10.0.2.10,50918,,,,,
149,1714053600.974171,1714053601.800416,TCP,10.0.2.10,50924,156.146.59.6,9002,,P,T1585.074,0.0,0.0
150,1714053601.094706,1714053601.800408,TCP,156.146.59.6,9002,10.0.2.10,50924,,,,,
151,1714053599.945082,1714053601.870986,TCP,10.0.2.10,50912,156.146.59.6,9002,,P,T1585.075,0.0,0.0
152,1714053600.062711,1714053601.821594,TCP,156.146.59.6,9002,10.0.2.10,50912,,,,,
153,1714053597.996052,1714053602.096606,TCP,10.0.2.10,50905,156.146.59.6,9002,,P,T1585.076,0.0,0.0
154,1714053598.116595,1714053602.096592,TCP,156.146.59.6,9002,10.0.2.10,50905,,,,,
155,1714053600.974791,1714053602.317092,TCP,10.0.2.10,50925,156.146.59.6,9002,,P,T1585.077,0.0,0.0
156,1714053601.097573,1714053602.275289,TCP,156.146.59.6,9002,10.0.2.10,50925,,,,,
157,1714053600.251975,1714053602.346804,TCP,10.0.2.10,50915,156.146.59.6,9002,,P,T1585.078,0.0,0.0
158,1714053600.369773,1714053602.345749,TCP,156.146.59.6,9002,10.0.2.10,50915,,,,,
159,1714053599.890889,1714053602.480093,TCP,10.0.2.10,50909,156.146.59.6,9002,,P,T1585.079,0.0,0.0
160,1714053600.010416,1714053602.480083,TCP,156.146.59.6,9002,10.0.2.10,50909,,,,,
161,1714053601.522752,1714053602.51057,TCP,10.0.2.10,50927,156.146.59.6,9002,,P,T1585.080,0.0,0.0
162,1714053601.64146,1714053602.510548,TCP,156.146.59.6,9002,10.0.2.10,50927,,,,,
163,1714053590.256207,1714053602.807673,TCP,10.0.2.10,50896,156.146.59.6,9002,,P,T1585.081,0.0,0.0
164,1714053590.383932,1714053602.807586,TCP,156.146.59.6,9002,10.0.2.10,50896,,,,,
165,1714053601.724746,1714053603.059009,TCP,10.0.2.10,50928,156.146.59.6,9002,,P,T1585.082,0.0,0.0
166,1714053601.837015,1714053603.058983,TCP,156.146.59.6,9002,10.0.2.10,50928,,,,,
167,1714053603.198937,1714053603.781471,TCP,10.0.2.10,50934,156.146.59.6,9002,,P,T1585.083,0.0,0.0
168,1714053603.305273,1714053603.781437,TCP,156.146.59.6,9002,10.0.2.10,50934,,,,,
169,1714053602.586283,1714053603.954617,TCP,10.0.2.10,50931,156.146.59.6,9002,,P,T1585.084,0.0,0.0
170,1714053602.699992,1714053603.905762,TCP,156.146.59.6,9002,10.0.2.10,50931,,,,,
171,1714053602.8388,1714053604.953652,TCP,10.0.2.10,50932,156.146.59.6,9002,,P,T1585.085,0.0,0.0
172,1714053602.956039,1714053604.906312,TCP,156.146.59.6,9002,10.0.2.10,50932,,,,,
173,1714053602.19429,1714053606.604796,TCP,10.0.2.10,50930,156.146.59.6,9002,,P,T1585.086,0.0,0.0
174,1714053602.309978,1714053606.546622,TCP,156.146.59.6,9002,10.0.2.10,50930,,,,,
175,1714053587.83209,1714053606.678986,TCP,10.0.2.10,50893,156.146.59.6,9002,,P,T1585.087,0.0,0.0
176,1714053587.940116,1714053606.630576,TCP,156.146.59.6,9002,10.0.2.10,50893,,,,,
177,1714053603.531414,1714053607.003077,TCP,10.0.2.10,50935,156.146.59.6,9002,,P,T1585.088,0.0,0.0
178,1714053603.650143,1714053607.003025,TCP,156.146.59.6,9002,10.0.2.10,50935,,,,,
179,1714053778.033139,1714053778.60695,TCP,10.0.2.10,51058,156.146.59.6,9002,,P,T1585.089,0.0,0.0
180,1714053778.148267,1714053778.60691,TCP,156.146.59.6,9002,10.0.2.10,51058,,,,,
181,1714053778.885497,1714053779.470641,TCP,10.0.2.10,51064,156.146.59.6,9002,,P,T1585.090,0.0,0.0
182,1714053779.002899,1714053779.470627,TCP,156.146.59.6,9002,10.0.2.10,51064,,,,,
183,1714053780.417557,1714053781.257818,TCP,10.0.2.10,51067,156.146.59.6,9002,,P,T1585.091,0.0,0.0
184,1714053780.631328,1714053781.258057,TCP,156.146.59.6,9002,10.0.2.10,51067,,,,,
185,1714053782.898943,1714053783.578054,TCP,10.0.2.10,51069,156.146.59.6,9002,,P,T1585.092,0.0,0.0
186,1714053783.008303,1714053783.578258,TCP,156.146.59.6,9002,10.0.2.10,51069,,,,,
187,1714053786.699376,1714053787.453618,TCP,10.0.2.10,51072,156.146.59.6,9002,,P,T1585.093,0.0,0.0
188,1714053786.819004,1714053787.406342,TCP,156.146.59.6,9002,10.0.2.10,51072,,,,,
189,1714053787.76388,1714053788.374738,TCP,10.0.2.10,51074,156.146.59.6,9002,,P,T1585.094,0.0,0.0
190,1714053787.87987,1714053788.374934,TCP,156.146.59.6,9002,10.0.2.10,51074,,,,,
191,1714053787.986151,1714053789.813401,TCP,10.0.2.10,51075,156.146.59.6,9002,,P,T1585.095,0.0,0.0
192,1714053788.098254,1714053789.813388,TCP,156.146.59.6,9002,10.0.2.10,51075,,,,,
193,1714053778.029319,1714053798.905116,TCP,10.0.2.10,51057,156.146.59.6,9002,,P,T1585.096,0.0,0.0
194,1714053778.162608,1714053798.905101,TCP,156.146.59.6,9002,10.0.2.10,51057,,,,,
195,1714053776.951718,1714053799.037809,TCP,10.0.2.10,51056,156.146.59.6,9002,,P,T1585.097,0.0,0.0
196,1714053777.063689,1714053799.038045,TCP,156.146.59.6,9002,10.0.2.10,51056,,,,,
197,1714054102.841867,1714054106.535508,TCP,10.0.2.10,51460,156.146.59.6,9002,,P,T1585.098,0.0,0.0
198,1714054102.956662,1714054106.535444,TCP,156.146.59.6,9002,10.0.2.10,51460,,,,,
199,1714054101.931098,1714054106.542075,TCP,10.0.2.10,51453,156.146.59.6,9002,,P,T1585.099,0.0,0.0
200,1714054102.052445,1714054106.542026,TCP,156.146.59.6,9002,10.0.2.10,51453,,,,,
201,1714054102.050745,1714054106.544709,TCP,10.0.2.10,51454,156.146.59.6,9002,,P,T1585.100,0.0,0.0
202,1714054102.17561,1714054106.54467,TCP,156.146.59.6,9002,10.0.2.10,51454,,,,,
203,1714054457.489767,1714054462.145976,TCP,10.0.2.10,51791,156.146.59.6,9002,,P,T1585.101,0.0,0.0
204,1714054457.608211,1714054462.146154,TCP,156.146.59.6,9002,10.0.2.10,51791,,,,,
205,1714054465.680246,1714054472.161293,TCP,10.0.2.10,51792,156.146.59.6,9002,,P,T1585.102,0.0,0.0
206,1714054465.804046,1714054472.161208,TCP,156.146.59.6,9002,10.0.2.10,51792,,,,,
207,1714054475.793158,1714054482.168683,TCP,10.0.2.10,51795,156.146.59.6,9002,,P,T1585.103,0.0,0.0
