Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654936811.975099,1654936812.044515,TCP,192.168.1.3,45596.0,192.168.2.2,80.0,,P,T1586.001,,
2,1654936811.975595,1654936812.044597,TCP,192.168.2.2,80.0,192.168.1.3,45596.0,,P,T1586.001,,
3,1654936812.044572,1654936812.110269,TCP,192.168.1.3,45600.0,192.168.2.2,80.0,,P,T1586.001,,
4,1654936812.044752,1654936812.110486,TCP,192.168.2.2,80.0,192.168.1.3,45600.0,,P,T1586.001,,
5,1654936812.110391,1654936812.175907,TCP,192.168.1.3,45602.0,192.168.2.2,80.0,,P,T1586.001,,
6,1654936812.110568,1654936812.176057,TCP,192.168.2.2,80.0,192.168.1.3,45602.0,,P,T1586.001,,
7,1654936812.17599,1654936812.233414,TCP,192.168.1.3,45604.0,192.168.2.2,80.0,,P,T1586.001,,
8,1654936812.176144,1654936812.233571,TCP,192.168.2.2,80.0,192.168.1.3,45604.0,,P,T1586.001,,
9,1654936812.233536,1654936812.320059,TCP,192.168.1.3,45606.0,192.168.2.2,80.0,,P,T1586.001,,
10,1654936812.23373,1654936812.320305,TCP,192.168.2.2,80.0,192.168.1.3,45606.0,,P,T1586.001,,
11,1654936812.321063,1654936812.375156,TCP,192.168.1.3,45608.0,192.168.2.2,80.0,,P,T1586.001,,
12,1654936812.321316,1654936812.375266,TCP,192.168.2.2,80.0,192.168.1.3,45608.0,,P,T1586.001,,
13,1654936812.375216,1654936812.440549,TCP,192.168.1.3,45612.0,192.168.2.2,80.0,,P,T1586.001,,
14,1654936812.375383,1654936812.440794,TCP,192.168.2.2,80.0,192.168.1.3,45612.0,,P,T1586.001,,
15,1654936812.440709,1654936812.49995,TCP,192.168.1.3,45614.0,192.168.2.2,80.0,,P,T1586.001,,
16,1654936812.440974,1654936812.500067,TCP,192.168.2.2,80.0,192.168.1.3,45614.0,,P,T1586.001,,
17,1654936812.500034,1654936812.594508,TCP,192.168.1.3,45616.0,192.168.2.2,80.0,,P,T1586.001,,
18,1654936812.500214,1654936812.594793,TCP,192.168.2.2,80.0,192.168.1.3,45616.0,,P,T1586.001,,
19,1654936812.594598,1654936812.686449,TCP,192.168.1.3,45618.0,192.168.2.2,80.0,,P,T1586.001,,
20,1654936812.594883,1654936812.686672,TCP,192.168.2.2,80.0,192.168.1.3,45618.0,,P,T1586.001,,
21,1654936812.686527,1654936812.765152,TCP,192.168.1.3,45620.0,192.168.2.2,80.0,,P,T1586.001,,
22,1654936812.686783,1654936812.765363,TCP,192.168.2.2,80.0,192.168.1.3,45620.0,,P,T1586.001,,
23,1654936812.765239,1654936812.840458,TCP,192.168.1.3,45624.0,192.168.2.2,80.0,,P,T1586.001,,
24,1654936812.76548,1654936812.840724,TCP,192.168.2.2,80.0,192.168.1.3,45624.0,,P,T1586.001,,
25,1654936812.840635,1654936812.931991,TCP,192.168.1.3,45626.0,192.168.2.2,80.0,,P,T1586.001,,
26,1654936812.840942,1654936812.932164,TCP,192.168.2.2,80.0,192.168.1.3,45626.0,,P,T1586.001,,
27,1654936812.932167,1654936812.99602,TCP,192.168.1.3,45628.0,192.168.2.2,80.0,,P,T1586.001,,
28,1654936812.932305,1654936812.996178,TCP,192.168.2.2,80.0,192.168.1.3,45628.0,,P,T1586.001,,
29,1654936812.996211,1654936813.065707,TCP,192.168.1.3,45630.0,192.168.2.2,80.0,,P,T1586.001,,
30,1654936812.996421,1654936813.065778,TCP,192.168.2.2,80.0,192.168.1.3,45630.0,,P,T1586.001,,
31,1654936813.065853,1654936813.146389,TCP,192.168.1.3,45632.0,192.168.2.2,80.0,,P,T1586.001,,
32,1654936813.066197,1654936813.14674,TCP,192.168.2.2,80.0,192.168.1.3,45632.0,,P,T1586.001,,
33,1654936813.146577,1654936813.205887,TCP,192.168.1.3,45634.0,192.168.2.2,80.0,,P,T1586.001,,
34,1654936813.146889,1654936813.206121,TCP,192.168.2.2,80.0,192.168.1.3,45634.0,,P,T1586.001,,
35,1654936813.206051,1654936813.271471,TCP,192.168.1.3,45636.0,192.168.2.2,80.0,,P,T1586.001,,
36,1654936813.206229,1654936813.271639,TCP,192.168.2.2,80.0,192.168.1.3,45636.0,,P,T1586.001,,
37,1654936813.271595,1654936813.32699,TCP,192.168.1.3,45638.0,192.168.2.2,80.0,,P,T1586.001,,
38,1654936813.27177,1654936813.327062,TCP,192.168.2.2,80.0,192.168.1.3,45638.0,,P,T1586.001,,
39,1654936813.32715,1654936813.390122,TCP,192.168.1.3,45640.0,192.168.2.2,80.0,,P,T1586.001,,
40,1654936813.327343,1654936813.390369,TCP,192.168.2.2,80.0,192.168.1.3,45640.0,,P,T1586.001,,
41,1654936813.390247,1654936813.466338,TCP,192.168.1.3,45642.0,192.168.2.2,80.0,,P,T1586.001,,
42,1654936813.390476,1654936813.466598,TCP,192.168.2.2,80.0,192.168.1.3,45642.0,,P,T1586.001,,
43,1654936813.466485,1654936813.569295,TCP,192.168.1.3,45644.0,192.168.2.2,80.0,,P,T1586.001,,
44,1654936813.46669,1654936813.569589,TCP,192.168.2.2,80.0,192.168.1.3,45644.0,,P,T1586.001,,
45,1654936813.569454,1654936813.643184,TCP,192.168.1.3,45646.0,192.168.2.2,80.0,,P,T1586.001,,
46,1654936813.569763,1654936813.643377,TCP,192.168.2.2,80.0,192.168.1.3,45646.0,,P,T1586.001,,
47,1654936813.643922,1654936813.717507,TCP,192.168.1.3,45648.0,192.168.2.2,80.0,,P,T1586.001,,
48,1654936813.644143,1654936813.717726,TCP,192.168.2.2,80.0,192.168.1.3,45648.0,,P,T1586.001,,
49,1654936813.717624,1654936813.77988,TCP,192.168.1.3,45650.0,192.168.2.2,80.0,,P,T1586.001,,
50,1654936813.717838,1654936813.780038,TCP,192.168.2.2,80.0,192.168.1.3,45650.0,,P,T1586.001,,
51,1654936813.779974,1654936813.8412,TCP,192.168.1.3,45652.0,192.168.2.2,80.0,,P,T1586.001,,
52,1654936813.780157,1654936813.841372,TCP,192.168.2.2,80.0,192.168.1.3,45652.0,,P,T1586.001,,
53,1654936813.84129,1654936813.921702,TCP,192.168.1.3,45654.0,192.168.2.2,80.0,,P,T1586.001,,
54,1654936813.841457,1654936813.921981,TCP,192.168.2.2,80.0,192.168.1.3,45654.0,,P,T1586.001,,
55,1654936813.921839,1654936814.091635,TCP,192.168.1.3,45656.0,192.168.2.2,80.0,,P,T1586.001,,
56,1654936813.922063,1654936814.092123,TCP,192.168.2.2,80.0,192.168.1.3,45656.0,,P,T1586.001,,
57,1654936814.091854,1654936814.18138,TCP,192.168.1.3,45658.0,192.168.2.2,80.0,,P,T1586.001,,
58,1654936814.092136,1654936814.181838,TCP,192.168.2.2,80.0,192.168.1.3,45658.0,,P,T1586.001,,
59,1654936814.181547,1654936814.324181,TCP,192.168.1.3,45660.0,192.168.2.2,80.0,,P,T1586.001,,
60,1654936814.181847,1654936814.324649,TCP,192.168.2.2,80.0,192.168.1.3,45660.0,,P,T1586.001,,
61,1654936814.324519,1654936814.505254,TCP,192.168.1.3,45662.0,192.168.2.2,80.0,,P,T1586.001,,
62,1654936814.325085,1654936814.505684,TCP,192.168.2.2,80.0,192.168.1.3,45662.0,,P,T1586.001,,
63,1654936814.505653,1654936814.647146,TCP,192.168.1.3,45664.0,192.168.2.2,80.0,,P,T1586.001,,
64,1654936814.506098,1654936814.647477,TCP,192.168.2.2,80.0,192.168.1.3,45664.0,,P,T1586.001,,
65,1654936814.647394,1654936814.744382,TCP,192.168.1.3,45666.0,192.168.2.2,80.0,,P,T1586.001,,
66,1654936814.647631,1654936814.744589,TCP,192.168.2.2,80.0,192.168.1.3,45666.0,,P,T1586.001,,
67,1654936814.744507,1654936814.829807,TCP,192.168.1.3,45670.0,192.168.2.2,80.0,,P,T1586.001,,
68,1654936814.744756,1654936814.830003,TCP,192.168.2.2,80.0,192.168.1.3,45670.0,,P,T1586.001,,
69,1654936814.829993,1654936814.920004,TCP,192.168.1.3,45674.0,192.168.2.2,80.0,,P,T1586.001,,
70,1654936814.830263,1654936814.920259,TCP,192.168.2.2,80.0,192.168.1.3,45674.0,,P,T1586.001,,
71,1654936814.920271,1654936815.033586,TCP,192.168.1.3,45676.0,192.168.2.2,80.0,,P,T1586.001,,
72,1654936814.920609,1654936815.033876,TCP,192.168.2.2,80.0,192.168.1.3,45676.0,,P,T1586.001,,
73,1654936815.033755,1654936815.117805,TCP,192.168.1.3,45678.0,192.168.2.2,80.0,,P,T1586.001,,
74,1654936815.03395,1654936815.118059,TCP,192.168.2.2,80.0,192.168.1.3,45678.0,,P,T1586.001,,
75,1654936815.117942,1654936815.221462,TCP,192.168.1.3,45680.0,192.168.2.2,80.0,,P,T1586.001,,
76,1654936815.118204,1654936815.221914,TCP,192.168.2.2,80.0,192.168.1.3,45680.0,,P,T1586.001,,
77,1654936815.221794,1654936815.420661,TCP,192.168.1.3,45682.0,192.168.2.2,80.0,,P,T1586.001,,
78,1654936815.222021,1654936815.421208,TCP,192.168.2.2,80.0,192.168.1.3,45682.0,,P,T1586.001,,
79,1654936815.420661,1654936815.629598,TCP,192.168.1.3,45684.0,192.168.2.2,80.0,,P,T1586.001,,
80,1654936815.421229,1654936815.630164,TCP,192.168.2.2,80.0,192.168.1.3,45684.0,,P,T1586.001,,
