Flow Number, Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1712648402.052712,1712648403.9077597,TCP,10.0.2.15,38488,148.163.133.242,25,,P,T1589.002,1.0,1.0
,2,1712648402.253775,1712648403.9080846,TCP,148.163.133.242,25,10.0.2.15,38488,,,,,
2.0,3,1712648404.2414784,1712648405.7654023,TCP,10.0.2.15,38492,148.163.133.242,25,,L,,0.0,0.0
,4,1712648404.4471736,1712648405.7659688,TCP,148.163.133.242,25,10.0.2.15,38492,,,,,
3.0,5,1712648406.095852,1712648407.582441,TCP,10.0.2.15,38494,148.163.133.242,25,,L,,0.0,0.0
,6,1712648406.3136778,1712648407.5826557,TCP,148.163.133.242,25,10.0.2.15,38494,,,,,
4.0,7,1712648407.9090347,1712648409.7708924,TCP,10.0.2.15,38508,148.163.133.242,25,,L,,0.0,0.0
,8,1712648408.135482,1712648409.771325,TCP,148.163.133.242,25,10.0.2.15,38508,,,,,
5.0,9,1712648410.0919943,1712648411.4867167,TCP,10.0.2.15,38514,148.163.133.242,25,,L,,0.0,0.0
,10,1712648410.3073685,1712648411.487032,TCP,148.163.133.242,25,10.0.2.15,38514,,,,,
6.0,11,1712648411.8013408,1712648413.297765,TCP,10.0.2.15,41676,148.163.133.242,25,,L,,0.0,0.0
,12,1712648411.997564,1712648413.2982173,TCP,148.163.133.242,25,10.0.2.15,41676,,,,,
7.0,13,1712648413.6910365,1712648415.084169,TCP,10.0.2.15,41684,148.163.133.242,25,,L,,0.0,0.0
,14,1712648413.898057,1712648415.08476,TCP,148.163.133.242,25,10.0.2.15,41684,,,,,
