"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654276068.6740215,1654276068.6746702,TCP,172.16.1.2,60046.0,172.16.2.2,80.0,,,,,
2,1654276068.6742673,1654276068.6742673,TCP,172.16.2.2,80.0,172.16.1.2,60046.0,,,,,
3,1654276068.7509944,1654276068.7520432,TCP,172.16.1.2,39340.0,172.16.2.2,8080.0,,,,,
4,1654276068.7516596,1654276068.7516596,TCP,172.16.2.2,8080.0,172.16.1.2,39340.0,,,,,
5,1654276068.7511854,1654276068.7522607,TCP,172.16.1.2,44988.0,172.16.2.2,139.0,,,,,
6,1654276068.75166,1654276068.75166,TCP,172.16.2.2,139.0,172.16.1.2,44988.0,,,,,
7,1654276068.75228,1654276068.7530165,TCP,172.16.1.2,46130.0,172.16.2.2,445.0,,,,,
8,1654276068.7526517,1654276068.7526517,TCP,172.16.2.2,445.0,172.16.1.2,46130.0,,,,,
9,1654276069.95222,1654276069.9531176,TCP,172.16.1.2,60114.0,172.16.2.2,80.0,,,,,
10,1654276069.952696,1654276069.952696,TCP,172.16.2.2,80.0,172.16.1.2,60114.0,,,,,
11,1654276069.9522235,1654276069.9531257,TCP,172.16.1.2,57880.0,172.16.2.2,21.0,,,,,
12,1654276069.952696,1654276069.952696,TCP,172.16.2.2,21.0,172.16.1.2,57880.0,,,,,
13,1654276071.2548697,1654276071.2559912,TCP,172.16.1.2,60814.0,172.16.2.2,80.0,,,,,
14,1654276071.2556088,1654276071.2556088,TCP,172.16.2.2,80.0,172.16.1.2,60814.0,,,,,
15,1654276072.5597043,1654276072.56064,TCP,172.16.1.2,34534.0,172.16.2.2,80.0,,,,,
16,1654276072.5602198,1654276072.5602198,TCP,172.16.2.2,80.0,172.16.1.2,34534.0,,,,,
17,1654276072.8674057,1654276072.8674057,TCP,172.16.1.2,57952.0,172.16.2.2,20.0,,,,,
18,1654276072.8677068,1654276072.8677068,TCP,172.16.2.2,20.0,172.16.1.2,57952.0,,,,,
19,1654276073.5204165,1654276073.5254176,TCP,172.16.1.2,33574.0,172.16.2.2,21.0,,,,,
20,1654276073.5208633,1654276073.5252976,TCP,172.16.2.2,21.0,172.16.1.2,33574.0,,,,,
21,1654276073.520434,1654276079.550981,TCP,172.16.1.2,35812.0,172.16.2.2,80.0,,,,,
22,1654276073.5208635,1654276079.5512338,TCP,172.16.2.2,80.0,172.16.1.2,35812.0,,,,,
23,1654276073.5204403,1654276079.5510058,TCP,172.16.1.2,50108.0,172.16.2.2,445.0,,,,,
24,1654276073.5208638,1654276079.551234,TCP,172.16.2.2,445.0,172.16.1.2,50108.0,,,,,
25,1654276073.5204432,1654276079.5813956,TCP,172.16.1.2,43338.0,172.16.2.2,8080.0,,,,,
26,1654276073.520864,1654276079.5817976,TCP,172.16.2.2,8080.0,172.16.1.2,43338.0,,,,,
27,1654276079.5816183,1654276079.5953326,TCP,172.16.1.2,43340.0,172.16.2.2,8080.0,,,,,
28,1654276079.5818565,1654276079.5955975,TCP,172.16.2.2,8080.0,172.16.1.2,43340.0,,,,,
29,1654276079.5953407,1654276079.612085,TCP,172.16.1.2,43342.0,172.16.2.2,8080.0,,,,,
30,1654276079.5955975,1654276079.6123693,TCP,172.16.2.2,8080.0,172.16.1.2,43342.0,,,,,
31,1654276079.6120932,1654276079.68777,TCP,172.16.1.2,43344.0,172.16.2.2,8080.0,,,,,
32,1654276079.6123693,1654276079.688039,TCP,172.16.2.2,8080.0,172.16.1.2,43344.0,,,,,
33,1654276079.687778,1654276079.6921537,TCP,172.16.1.2,43346.0,172.16.2.2,8080.0,,,,,
34,1654276079.6880393,1654276079.6925251,TCP,172.16.2.2,8080.0,172.16.1.2,43346.0,,,,,
35,1654276079.6921608,1654276079.695953,TCP,172.16.1.2,43348.0,172.16.2.2,8080.0,,,,,
36,1654276079.6925254,1654276079.6961544,TCP,172.16.2.2,8080.0,172.16.1.2,43348.0,,,,,
37,1654276089.2773037,1654276093.3900533,TCP,172.16.1.2,35884.0,172.16.2.2,80.0,,,,,
38,1654276089.2775807,1654276093.364956,TCP,172.16.2.2,80.0,172.16.1.2,35884.0,,,,,
39,1654276093.4069684,1654276093.426611,TCP,172.16.1.2,43424.0,172.16.2.2,8080.0,,,,,
40,1654276093.4072344,1654276093.4264705,TCP,172.16.2.2,8080.0,172.16.1.2,43424.0,,,,,
41,1654276073.5204377,1654276084.5384517,TCP,172.16.1.2,48968.0,172.16.2.2,139.0,,,,,
42,1654276073.5208638,1654276084.5382793,TCP,172.16.2.2,139.0,172.16.1.2,48968.0,,,,,
43,1654276084.5362775,1654276084.5418687,TCP,172.16.1.2,48986.0,172.16.2.2,139.0,,,,,
44,1654276084.5366342,1654276084.541946,TCP,172.16.2.2,139.0,172.16.1.2,48986.0,,,,,
45,1654276079.6959786,1654276084.6972775,TCP,172.16.1.2,43350.0,172.16.2.2,8080.0,,,,,
46,1654276079.6961544,1654276084.6971278,TCP,172.16.2.2,8080.0,172.16.1.2,43350.0,,,,,
47,1654276084.6965485,1654276084.705816,TCP,172.16.1.2,43354.0,172.16.2.2,8080.0,,,,,
48,1654276084.6972015,1654276084.7061455,TCP,172.16.2.2,8080.0,172.16.1.2,43354.0,,,,,
49,1654276084.7058244,1654276084.7105615,TCP,172.16.1.2,43356.0,172.16.2.2,8080.0,,,,,
50,1654276084.7062752,1654276084.7109594,TCP,172.16.2.2,8080.0,172.16.1.2,43356.0,,,,,
51,1654276084.710646,1654276084.7159607,TCP,172.16.1.2,43358.0,172.16.2.2,8080.0,,,,,
52,1654276084.7110636,1654276084.7164311,TCP,172.16.2.2,8080.0,172.16.1.2,43358.0,,,,,
53,1654276084.7159705,1654276084.7196927,TCP,172.16.1.2,43360.0,172.16.2.2,8080.0,,,,,
54,1654276084.7164311,1654276084.7197764,TCP,172.16.2.2,8080.0,172.16.1.2,43360.0,,,,,
55,1654276084.7197504,1654276084.7261672,TCP,172.16.1.2,43362.0,172.16.2.2,8080.0,,,,,
56,1654276084.7198763,1654276084.7264044,TCP,172.16.2.2,8080.0,172.16.1.2,43362.0,,,,,
57,1654276084.7261848,1654276084.7304692,TCP,172.16.1.2,43364.0,172.16.2.2,8080.0,,,,,
58,1654276084.726405,1654276084.730684,TCP,172.16.2.2,8080.0,172.16.1.2,43364.0,,,,,
59,1654276084.73065,1654276084.7386625,TCP,172.16.1.2,43366.0,172.16.2.2,8080.0,,,,,
60,1654276084.7308505,1654276084.7390263,TCP,172.16.2.2,8080.0,172.16.1.2,43366.0,,,,,
61,1654276084.7387507,1654276084.743276,TCP,172.16.1.2,43368.0,172.16.2.2,8080.0,,,,,
62,1654276084.7390263,1654276084.7435837,TCP,172.16.2.2,8080.0,172.16.1.2,43368.0,,,,,
63,1654276084.7432878,1654276084.7479703,TCP,172.16.1.2,43370.0,172.16.2.2,8080.0,,,,,
64,1654276084.7435837,1654276084.7484071,TCP,172.16.2.2,8080.0,172.16.1.2,43370.0,,,,,
65,1654276084.747978,1654276084.7532868,TCP,172.16.1.2,43372.0,172.16.2.2,8080.0,,,,,
66,1654276084.7484074,1654276084.7536652,TCP,172.16.2.2,8080.0,172.16.1.2,43372.0,,,,,
67,1654276084.753294,1654276084.7580023,TCP,172.16.1.2,43374.0,172.16.2.2,8080.0,,,,,
68,1654276084.7536652,1654276084.758574,TCP,172.16.2.2,8080.0,172.16.1.2,43374.0,,,,,
69,1654276084.75801,1654276084.761818,TCP,172.16.1.2,43376.0,172.16.2.2,8080.0,,,,,
70,1654276084.758574,1654276084.7619336,TCP,172.16.2.2,8080.0,172.16.1.2,43376.0,,,,,
71,1654276084.7618625,1654276084.7640038,TCP,172.16.1.2,43378.0,172.16.2.2,8080.0,,,,,
72,1654276084.7619338,1654276084.7640903,TCP,172.16.2.2,8080.0,172.16.1.2,43378.0,,,,,
73,1654276084.7640543,1654276084.7676425,TCP,172.16.1.2,43380.0,172.16.2.2,8080.0,,,,,
74,1654276084.764141,1654276084.7677283,TCP,172.16.2.2,8080.0,172.16.1.2,43380.0,,,,,
75,1654276084.7676916,1654276084.773321,TCP,172.16.1.2,43382.0,172.16.2.2,8080.0,,,,,
76,1654276084.767825,1654276084.773514,TCP,172.16.2.2,8080.0,172.16.1.2,43382.0,,,,,
77,1654276084.7733307,1654276084.7785673,TCP,172.16.1.2,43384.0,172.16.2.2,8080.0,,,,,
78,1654276084.773514,1654276084.7788603,TCP,172.16.2.2,8080.0,172.16.1.2,43384.0,,,,,
79,1654276084.7785752,1654276084.7872992,TCP,172.16.1.2,43386.0,172.16.2.2,8080.0,,,,,
80,1654276084.7788603,1654276084.7876213,TCP,172.16.2.2,8080.0,172.16.1.2,43386.0,,,,,
81,1654276084.7873163,1654276084.7913885,TCP,172.16.1.2,43388.0,172.16.2.2,8080.0,,,,,
82,1654276084.7876213,1654276084.7915115,TCP,172.16.2.2,8080.0,172.16.1.2,43388.0,,,,,
83,1654276084.7914398,1654276084.7955818,TCP,172.16.1.2,43390.0,172.16.2.2,8080.0,,,,,
84,1654276084.791735,1654276084.7958288,TCP,172.16.2.2,8080.0,172.16.1.2,43390.0,,,,,
85,1654276084.7956674,1654276084.8035932,TCP,172.16.1.2,43392.0,172.16.2.2,8080.0,,,,,
86,1654276084.7960973,1654276084.8039312,TCP,172.16.2.2,8080.0,172.16.1.2,43392.0,,,,,
87,1654276084.803602,1654276084.8088453,TCP,172.16.1.2,43394.0,172.16.2.2,8080.0,,,,,
88,1654276084.8039312,1654276084.8092763,TCP,172.16.2.2,8080.0,172.16.1.2,43394.0,,,,,
89,1654276084.8088653,1654276084.8128934,TCP,172.16.1.2,43396.0,172.16.2.2,8080.0,,,,,
90,1654276084.8092763,1654276084.813042,TCP,172.16.2.2,8080.0,172.16.1.2,43396.0,,,,,
91,1654276084.8129463,1654276084.816845,TCP,172.16.1.2,43398.0,172.16.2.2,8080.0,,,,,
