Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654970475.5940409,1654970475.595749,TCP,192.168.1.3,40844,192.168.2.2,80,,P,T1595.003,,
2,1654970475.5944486,1654970475.5944486,TCP,192.168.2.2,80,192.168.1.3,40844,,,,,
3,1654970471.829796,1654970472.089117,TCP,192.168.1.3,40496,192.168.2.2,80,,P,T1595.004,,
4,1654970471.830289,1654970472.089874,TCP,192.168.2.2,80,192.168.1.3,40496,,,,,
5,1654970471.8229623,1654970472.0918891,TCP,192.168.1.3,40486,192.168.2.2,80,,P,T1595.005,,
6,1654970471.8235686,1654970472.092437,TCP,192.168.2.2,80,192.168.1.3,40486,,,,,
7,1654970471.826401,1654970472.0952237,TCP,192.168.1.3,40490,192.168.2.2,80,,P,T1595.006,,
8,1654970471.8269997,1654970472.0955684,TCP,192.168.2.2,80,192.168.1.3,40490,,,,,
9,1654970471.8211217,1654970472.1081753,TCP,192.168.1.3,40484,192.168.2.2,80,,P,T1595.007,,
10,1654970471.8216732,1654970472.1086216,TCP,192.168.2.2,80,192.168.1.3,40484,,,,,
11,1654970471.8334737,1654970472.108406,TCP,192.168.1.3,40500,192.168.2.2,80,,P,T1595.008,,
12,1654970471.834077,1654970472.1088307,TCP,192.168.2.2,80,192.168.1.3,40500,,,,,
13,1654970471.8246028,1654970472.1104882,TCP,192.168.1.3,40488,192.168.2.2,80,,P,T1595.009,,
14,1654970471.8251936,1654970472.1109953,TCP,192.168.2.2,80,192.168.1.3,40488,,,,,
15,1654970471.8316534,1654970472.114834,TCP,192.168.1.3,40498,192.168.2.2,80,,P,T1595.010,,
16,1654970471.8322475,1654970472.115291,TCP,192.168.2.2,80,192.168.1.3,40498,,,,,
17,1654970471.8175013,1654970472.1148343,TCP,192.168.1.3,40480,192.168.2.2,80,,P,T1595.011,,
18,1654970471.8181465,1654970472.1153111,TCP,192.168.2.2,80,192.168.1.3,40480,,,,,
