Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1709471028.1650689,1709471028.4660723,TCP,192.168.0.2,33010.0,192.168.0.4,110.0,,P,,1.0,1.0
,2,1709471028.1659856,1709471028.466752,TCP,192.168.0.4,110.0,192.168.0.2,33010.0,,,,,
2.0,3,1709471042.7751694,1709471042.840722,TCP,192.168.0.2,35314.0,192.168.0.3,80.0,,P,,1.0,1.0
,4,1709471042.794279,1709471042.8509452,TCP,192.168.0.3,80.0,192.168.0.2,35314.0,,,,,
3.0,5,1709470980.0364764,1709470980.0364764,UDP,192.168.0.2,51750.0,192.168.0.4,53.0,,P,,1.0,1.0
,6,1709470980.086446,1709470980.086446,UDP,192.168.0.4,53.0,192.168.0.2,51750.0,,,,,
4.0,7,1709470980.0883422,1709470980.0883422,UDP,192.168.0.2,42974.0,192.168.0.4,53.0,,P,,1.0,1.0
,8,1709470980.0896015,1709470980.0896015,UDP,192.168.0.4,53.0,192.168.0.2,42974.0,,,,,
5.0,9,1709471016.1396627,1709471016.1396627,UDP,192.168.0.2,53563.0,192.168.0.4,53.0,,L,,0.0,0.0
,10,1709471016.1406715,1709471016.1406715,UDP,192.168.0.4,53.0,192.168.0.2,53563.0,,,,,
6.0,11,1709471016.1749744,1709471016.1749744,UDP,192.168.0.2,56169.0,192.168.0.4,53.0,,L,,0.0,0.0
,12,1709471016.1921668,1709471016.1921668,UDP,192.168.0.4,53.0,192.168.0.2,56169.0,,,,,
7.0,13,1709471016.3036456,1709471016.3036456,UDP,192.168.0.2,42560.0,192.168.0.4,53.0,,L,,0.0,0.0
,14,1709471016.3107853,1709471016.3107853,UDP,192.168.0.4,53.0,192.168.0.2,42560.0,,,,,
8.0,15,1709470930.950176,1709471026.9527416,UDP,192.168.0.2,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
9.0,16,1709471028.1626046,1709471028.1627097,UDP,192.168.0.2,41376.0,192.168.0.4,53.0,,L,,0.0,0.0
,17,1709471028.1637328,1709471028.163733,UDP,192.168.0.4,53.0,192.168.0.2,41376.0,,,,,
10.0,18,1709470932.7907257,1709471029.854025,UDP,fe80::a00:27ff:fece:e7c7,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
11.0,19,1709470932.606535,1709471032.9620495,58,fe80::a00:27ff:fece:e7c7,,ff02::2,,,L,,0.0,0.0
12.0,20,1709471037.8843596,1709471037.909524,UDP,192.168.0.2,43505.0,192.168.0.4,53.0,,L,,0.0,0.0
,21,1709471037.900572,1709471037.9325948,UDP,192.168.0.4,53.0,192.168.0.2,43505.0,,,,,
13.0,22,1709471037.885169,1709471037.91752,UDP,192.168.0.2,56203.0,192.168.0.4,53.0,,L,,0.0,0.0
,23,1709471037.9005723,1709471037.9325948,UDP,192.168.0.4,53.0,192.168.0.2,56203.0,,,,,
14.0,24,1709471037.9940736,1709471038.0284643,UDP,192.168.0.2,43362.0,192.168.0.4,53.0,,L,,0.0,0.0
,25,1709471038.0200436,1709471038.039927,UDP,192.168.0.4,53.0,192.168.0.2,43362.0,,,,,
15.0,26,1709471037.998682,1709471038.0320363,UDP,192.168.0.2,52812.0,192.168.0.4,53.0,,L,,0.0,0.0
,27,1709471038.020044,1709471038.0399272,UDP,192.168.0.4,53.0,192.168.0.2,52812.0,,,,,
16.0,28,1709471039.5658834,1709471039.5658834,UDP,192.168.0.2,37983.0,192.168.0.4,53.0,,L,,0.0,0.0
,29,1709471039.602819,1709471039.602819,UDP,192.168.0.4,53.0,192.168.0.2,37983.0,,,,,
17.0,30,1709471039.568004,1709471039.568004,UDP,192.168.0.2,52037.0,192.168.0.4,53.0,,L,,0.0,0.0
,31,1709471039.626202,1709471039.626202,UDP,192.168.0.4,53.0,192.168.0.2,52037.0,,,,,
18.0,33,1709471039.633216,1709471039.633216,UDP,192.168.0.2,44597.0,192.168.0.4,53.0,,L,,0.0,0.0
,34,1709471039.6410968,1709471039.6410968,UDP,192.168.0.4,53.0,192.168.0.2,44597.0,,,,,
19.0,35,1709471039.647992,1709471039.647992,UDP,192.168.0.2,54473.0,192.168.0.4,53.0,,L,,0.0,0.0
,36,1709471039.67142,1709471039.67142,UDP,192.168.0.4,53.0,192.168.0.2,54473.0,,,,,
20.0,37,1709471039.6491385,1709471039.6491385,UDP,192.168.0.2,45817.0,192.168.0.4,53.0,,L,,0.0,0.0
,38,1709471039.7135456,1709471039.7135456,UDP,192.168.0.4,53.0,192.168.0.2,45817.0,,,,,
21.0,39,1709471039.6112704,1709471039.7254744,TCP,192.168.0.2,35304.0,192.168.0.3,80.0,,L,,0.0,0.0
,40,1709471039.626202,1709471039.7344232,TCP,192.168.0.3,80.0,192.168.0.2,35304.0,,,,,
22.0,41,1709471039.7726183,1709471039.7726183,UDP,192.168.0.2,51212.0,192.168.0.4,53.0,,L,,0.0,0.0
,42,1709471039.7887034,1709471039.7887034,UDP,192.168.0.4,53.0,192.168.0.2,51212.0,,,,,
23.0,43,1709471039.8742723,1709471039.8742723,UDP,192.168.0.2,44865.0,192.168.0.4,53.0,,L,,0.0,0.0
,44,1709471039.8755152,1709471039.8755152,UDP,192.168.0.4,53.0,192.168.0.2,44865.0,,,,,
24.0,45,1709471039.877224,1709471039.877224,UDP,192.168.0.2,33048.0,192.168.0.4,53.0,,L,,0.0,0.0
,46,1709471039.8783605,1709471039.8783605,UDP,192.168.0.4,53.0,192.168.0.2,33048.0,,,,,
25.0,47,1709471039.9421315,1709471039.9421315,UDP,192.168.0.2,41656.0,192.168.0.4,53.0,,L,,0.0,0.0
,48,1709471039.9436998,1709471039.9436998,UDP,192.168.0.4,53.0,192.168.0.2,41656.0,,,,,
26.0,49,1709471039.9523692,1709471039.9523692,UDP,192.168.0.2,59179.0,192.168.0.4,53.0,,L,,0.0,0.0
