Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1713203350.773743,1713203350.773743,TCP,172.168.0.10,51058,192.168.1.1,53,,L,,0.0,0.0
2.0,2,1713203353.4831045,1713203360.755831,TCP,172.168.0.10,53246,192.168.1.1,53,,L,,0.0,0.0
3.0,3,1713203366.7106268,1713203373.8116453,TCP,172.168.0.10,34208,192.168.1.1,53,,L,,0.0,0.0
4.0,4,1713203376.894221,1713203384.0510938,TCP,172.168.0.10,53522,192.168.1.1,53,,L,,0.0,0.0
5.0,5,1713203387.144384,1713203394.2967572,TCP,172.168.0.10,43598,192.168.1.1,53,,L,,0.0,0.0
6.0,6,1713203400.4724004,1713203407.6109242,TCP,172.168.0.10,33446,192.168.1.1,53,,L,,0.0,0.0
7.0,7,1713203413.5556288,1713203420.6626525,TCP,172.168.0.10,55922,192.168.1.1,53,,L,,0.0,0.0
8.0,8,1713203423.6424503,1713203430.9000332,TCP,172.168.0.10,35760,192.168.1.1,53,,L,,0.0,0.0
9.0,9,1713203436.949047,1713203444.212118,TCP,172.168.0.10,34378,192.168.1.1,53,,L,,0.0,0.0
10.0,10,1713203447.1477847,1713203454.4507444,TCP,172.168.0.10,43098,192.168.1.1,53,,L,,0.0,0.0
11.0,11,1713203460.4745903,1713203467.7629237,TCP,172.168.0.10,40854,192.168.1.1,53,,L,,0.0,0.0
12.0,12,1713203470.4837372,1713203477.7472403,TCP,172.168.0.10,45134,192.168.1.1,53,,L,,0.0,0.0
13.0,13,1713203423.5678134,1713203423.5678134,UDP,172.168.0.10,52230,1.1.1.1,53,,L,,0.0,0.0
14.0,14,1713203483.7034392,1713203490.803471,TCP,172.168.0.10,35426,192.168.1.1,53,,L,,0.0,0.0
15.0,15,1713203493.7081275,1713203500.7879117,TCP,172.168.0.10,57606,192.168.1.1,53,,L,,0.0,0.0
16.0,16,1713203441.9545174,1713203441.9545174,UDP,172.168.0.10,39405,8.8.8.8,53,,L,,0.0,0.0
17.0,17,1713203506.9639494,1713203514.1002212,TCP,172.168.0.10,35728,192.168.1.1,53,,L,,0.0,0.0
18.0,18,1713203460.474822,1713203460.474822,UDP,172.168.0.10,53006,9.9.9.9,53,,L,,0.0,0.0
19.0,19,1713203517.1488411,1713203524.3394206,TCP,172.168.0.10,34830,192.168.1.1,53,,L,,0.0,0.0
20.0,20,1713203527.3949895,1713203534.580757,TCP,172.168.0.10,60930,192.168.1.1,53,,L,,0.0,0.0
21.0,21,1713203540.696635,1713203547.8947256,TCP,172.168.0.10,47016,192.168.1.1,53,,L,,0.0,0.0
22.0,22,1713203550.7088974,1713203557.8748057,TCP,172.168.0.10,59548,192.168.1.1,53,,L,,0.0,0.0
23.0,23,1713203563.9563046,1713203571.1868503,TCP,172.168.0.10,58440,192.168.1.1,53,,L,,0.0,0.0
24.0,24,1713203573.968144,1713203581.171768,TCP,172.168.0.10,53048,192.168.1.1,53,,L,,0.0,0.0
25.0,25,1713203587.220382,1713203594.4827547,TCP,172.168.0.10,40296,192.168.1.1,53,,L,,0.0,0.0
26.0,26,1713203597.3958764,1713203604.467451,TCP,172.168.0.10,53330,192.168.1.1,53,,L,,0.0,0.0
27.0,27,1713203575.0353625,1713203575.0353625,UDP,172.168.0.10,38592,192.112.36.4,53,,L,,0.0,0.0
28.0,28,1713203575.0354795,1713203575.0354795,UDP,172.168.0.10,35508,192.112.36.4,53,,L,,0.0,0.0
29.0,29,1713203575.835385,1713203575.835385,UDP,172.168.0.10,52058,192.5.5.241,53,,L,,0.0,0.0
30.0,30,1713203575.835467,1713203575.835467,UDP,172.168.0.10,43928,192.5.5.241,53,,L,,0.0,0.0
31.0,31,1713203576.6408036,1713203576.6408036,UDP,172.168.0.10,55721,192.36.148.17,53,,L,,0.0,0.0
32.0,32,1713203576.6408975,1713203576.6408975,UDP,172.168.0.10,48470,192.36.148.17,53,,L,,0.0,0.0
33.0,33,1713203577.4435425,1713203577.4435425,UDP,172.168.0.10,42556,202.12.27.33,53,,L,,0.0,0.0
34.0,34,1713203577.4436402,1713203577.4436402,UDP,172.168.0.10,35388,202.12.27.33,53,,L,,0.0,0.0
35.0,35,1713203578.2540083,1713203578.2540083,UDP,172.168.0.10,36393,193.0.14.129,53,,L,,0.0,0.0
36.0,36,1713203578.2545652,1713203578.2545652,UDP,172.168.0.10,46303,193.0.14.129,53,,L,,0.0,0.0
37.0,37,1713203579.0554025,1713203579.0554025,UDP,172.168.0.10,46856,199.9.14.201,53,,L,,0.0,0.0
38.0,38,1713203579.055496,1713203579.055496,UDP,172.168.0.10,43532,199.9.14.201,53,,L,,0.0,0.0
39.0,39,1713203579.85674,1713203579.85674,UDP,172.168.0.10,57478,198.41.0.4,53,,L,,0.0,0.0
40.0,40,1713203579.8568485,1713203579.8568485,UDP,172.168.0.10,39526,198.41.0.4,53,,L,,0.0,0.0
41.0,41,1713203580.6620877,1713203580.6620877,UDP,172.168.0.10,32881,192.58.128.30,53,,L,,0.0,0.0
42.0,42,1713203580.6621785,1713203580.6621785,UDP,172.168.0.10,47776,192.58.128.30,53,,L,,0.0,0.0
43.0,43,1713203581.4635105,1713203581.4635105,UDP,172.168.0.10,48126,192.33.4.12,53,,L,,0.0,0.0
44.0,44,1713203581.4636002,1713203581.4636002,UDP,172.168.0.10,35695,192.33.4.12,53,,L,,0.0,0.0
45.0,45,1713203582.2629204,1713203582.2629204,UDP,172.168.0.10,50509,192.203.230.10,53,,L,,0.0,0.0
46.0,46,1713203582.2630236,1713203582.2630236,UDP,172.168.0.10,58878,192.203.230.10,53,,L,,0.0,0.0
47.0,47,1713203583.0652452,1713203583.0652452,UDP,172.168.0.10,49073,199.7.83.42,53,,L,,0.0,0.0
48.0,48,1713203583.0653348,1713203583.0653348,UDP,172.168.0.10,34526,199.7.83.42,53,,L,,0.0,0.0
49.0,49,1713203583.8682578,1713203583.8682578,UDP,172.168.0.10,46460,199.7.91.13,53,,L,,0.0,0.0
50.0,50,1713203583.8683488,1713203583.8683488,UDP,172.168.0.10,45979,199.7.91.13,53,,L,,0.0,0.0
51.0,51,1713203584.6708813,1713203584.6708813,UDP,172.168.0.10,41166,198.97.190.53,53,,L,,0.0,0.0
52.0,52,1713203584.670976,1713203584.670976,UDP,172.168.0.10,57946,198.97.190.53,53,,L,,0.0,0.0
53.0,55,1713203607.6428835,1713203614.7074664,TCP,172.168.0.10,33260,192.168.1.1,53,,L,,0.0,0.0
54.0,56,1713203620.8522377,1713203620.8522377,UDP,172.168.0.10,47340,1.1.1.1,53,,L,,0.0,0.0
55.0,57,1713203620.851896,1713203628.0200849,TCP,172.168.0.10,51728,192.168.1.1,53,,L,,0.0,0.0
56.0,58,1713203630.8669856,1713203638.002786,TCP,172.168.0.10,44532,192.168.1.1,53,,L,,0.0,0.0
57.0,59,1713203638.5510445,1713203638.628086,TCP,172.168.0.20,42846,172.168.0.10,80,,L,,0.0,0.0
,60,1713203638.5510705,1713203638.628131,TCP,172.168.0.10,80,172.168.0.20,42846,,,,,
58.0,61,1713203643.888971,1713203643.888971,UDP,172.168.0.10,56572,8.8.8.8,53,,L,,0.0,0.0
59.0,62,1713203643.963091,1713203651.0587304,TCP,172.168.0.10,44788,192.168.1.1,53,,L,,0.0,0.0
60.0,63,1713203653.9717994,1713203661.0478797,TCP,172.168.0.10,40836,192.168.1.1,53,,L,,0.0,0.0
61.0,64,1713203666.959634,1713203666.959634,UDP,172.168.0.10,43393,9.9.9.9,53,,L,,0.0,0.0
62.0,65,1713203667.222142,1713203674.3590524,TCP,172.168.0.10,48686,192.168.1.1,53,,L,,0.0,0.0
63.0,66,1713203677.3955967,1713203684.5948863,TCP,172.168.0.10,38456,192.168.1.1,53,,L,,0.0,0.0
64.0,67,1713203687.644436,1713203694.8350167,TCP,172.168.0.10,49658,192.168.1.1,53,,L,,0.0,0.0
