"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1713203414.1230793,1713203414.513173,TCP,10.0.2.15,40588.0,54.236.113.205,443.0,,P,T1612,,
2,1713203414.2206855,1713203414.5138187,TCP,54.236.113.205,443.0,10.0.2.15,40588.0,,,,,
3,1713203415.0033946,1713203415.2961376,TCP,10.0.2.15,40604.0,54.236.113.205,443.0,,P,T1612,,
4,1713203415.0896297,1713203415.296856,TCP,54.236.113.205,443.0,10.0.2.15,40604.0,,,,,
5,1713203413.4714203,1713203413.8112469,TCP,10.0.2.15,40428.0,54.227.20.253,443.0,,P,T1612,,
6,1713203413.5658844,1713203413.811013,TCP,54.227.20.253,443.0,10.0.2.15,40428.0,,,,,
7,1713203413.8278415,1713203414.121883,TCP,10.0.2.15,55020.0,54.198.86.24,443.0,,P,T1612,,
8,1713203413.918934,1713203414.12244,TCP,54.198.86.24,443.0,10.0.2.15,55020.0,,,,,
9,1713203414.5835853,1713203414.9200144,TCP,10.0.2.15,55032.0,54.198.86.24,443.0,,P,T1612,,
10,1713203414.6832254,1713203414.933328,TCP,54.198.86.24,443.0,10.0.2.15,55032.0,,,,,
11,1713203415.336701,1713203415.6791408,TCP,10.0.2.15,40608.0,54.236.113.205,443.0,,P,T1612,,
12,1713203415.4282107,1713203415.6958847,TCP,54.236.113.205,443.0,10.0.2.15,40608.0,,,,,
13,1713203415.3840616,1713203415.761258,TCP,10.0.2.15,40432.0,54.227.20.253,443.0,,P,T1612,,
14,1713203415.4779637,1713203415.761213,TCP,54.227.20.253,443.0,10.0.2.15,40432.0,,,,,
15,1713203415.7767572,1713203415.9210396,TCP,10.0.2.15,48776.0,104.16.100.215,443.0,,P,T1612,,
16,1713203415.794974,1713203415.9213374,TCP,104.16.100.215,443.0,10.0.2.15,48776.0,,,,,
17,1713203415.7683544,1713203426.684025,TCP,10.0.2.15,48778.0,104.16.100.215,443.0,,P,T1612,,
18,1713203415.7862053,1713203426.6884763,TCP,104.16.100.215,443.0,10.0.2.15,48778.0,,,,,
19,1713203510.940482,1713203511.2264242,TCP,10.0.2.15,52924.0,54.236.113.205,443.0,,P,T1612,,
20,1713203511.032251,1713203511.22689,TCP,54.236.113.205,443.0,10.0.2.15,52924.0,,,,,
21,1713203512.3680997,1713203512.7105997,TCP,10.0.2.15,36144.0,54.198.86.24,443.0,,P,T1612,,
22,1713203512.467727,1713203512.7110832,TCP,54.198.86.24,443.0,10.0.2.15,36144.0,,,,,
23,1713203512.7343423,1713203513.0438397,TCP,10.0.2.15,38996.0,54.236.113.205,443.0,,P,T1612,,
24,1713203512.8314211,1713203513.044397,TCP,54.236.113.205,443.0,10.0.2.15,38996.0,,,,,
25,1713203512.7342396,1713203513.0592864,TCP,10.0.2.15,38994.0,54.236.113.205,443.0,,P,T1612,,
26,1713203512.8364167,1713203513.0626357,TCP,54.236.113.205,443.0,10.0.2.15,38994.0,,,,,
27,1713203511.275162,1713203511.6178253,TCP,10.0.2.15,53882.0,54.198.86.24,443.0,,P,T1612,,
28,1713203511.3752615,1713203511.638207,TCP,54.198.86.24,443.0,10.0.2.15,53882.0,,,,,
