"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1719321160.146351,1719321160.146351,58,fe80::a00:27ff:fece:e7c7,,ff02::2,,,L,,0.0,0.0
2.0,2,1719321209.8141427,1719321209.8141427,UDP,fe80::a00:27ff:fece:e7c7,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
3.0,3,1719321209.8142524,1719321209.8142524,UDP,192.168.0.10,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
4.0,4,1719321400.8396833,1719321400.8570807,TCP,192.168.0.10,39396.0,192.168.0.100,389.0,,P,T1615,,
,5,1719321400.84051,1719321400.8577812,TCP,192.168.0.100,389.0,192.168.0.10,39396.0,,,,,
5.0,6,1719321249.2068155,1719321249.6188734,UDP,fe80::1c1d:6932:e3bf:5d70,61352.0,ff02::1:3,5355.0,,L,,0.0,0.0
6.0,7,1719321249.2068155,1719321249.6188736,UDP,192.168.0.50,61352.0,224.0.0.252,5355.0,,L,,0.0,0.0
7.0,8,1719321249.2073588,1719321249.6188736,UDP,fe80::1c1d:6932:e3bf:5d70,60751.0,ff02::1:3,5355.0,,L,,0.0,0.0
8.0,9,1719321249.2073588,1719321249.6188736,UDP,192.168.0.50,60751.0,224.0.0.252,5355.0,,L,,0.0,0.0
9.0,10,1719321145.0266297,1719321250.7935927,UDP,192.168.0.50,137.0,192.168.0.255,137.0,,L,,0.0,0.0
10.0,11,1719321451.8613222,1719321451.8704708,TCP,192.168.0.10,48934.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,12,1719321451.8627396,1719321451.8712115,TCP,192.168.0.100,389.0,192.168.0.10,48934.0,,,,,
11.0,13,1719321300.8292508,1719321300.8295012,UDP,192.168.0.10,138.0,192.168.0.255,138.0,,L,,0.0,0.0
12.0,14,1719321489.91135,1719321489.91782,TCP,192.168.0.10,60866.0,192.168.0.100,389.0,,P,T1615,,
,15,1719321489.9125257,1719321489.935954,TCP,192.168.0.100,389.0,192.168.0.10,60866.0,,,,,
13.0,19,1719321415.1636815,1719321415.1636815,58,fe80::a00:27ff:fece:e7c7,,ff02::2,,,L,,0.0,0.0
14.0,22,1719321465.8217309,1719321465.8217309,UDP,fe80::a00:27ff:fece:e7c7,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
