Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,2,1710267940.503598,1710267940.503598,58,::,,ff02::1:ff95:83c7,,,L,,0.0,0.0
2.0,3,1710267941.497276,1710267941.497276,58,fe80::67b2:d41f:ef95:83c7,,ff02::1,,,L,,0.0,0.0
3.0,4,1710267940.5044315,1710267948.498906,58,fe80::67b2:d41f:ef95:83c7,,ff02::2,,,L,,0.0,0.0
4.0,5,1710267806.7097812,1710267950.3247252,UDP,0.0.0.0,68.0,255.255.255.255,67.0,,P,T1659,1.0,1.0
,6,1710267950.341055,1710267950.341055,UDP,192.168.0.2,67.0,192.168.0.10,68.0,,,,,
5.0,7,1710267951.1925285,1710267951.1925285,UDP,192.168.0.10,50807.0,192.168.0.2,53.0,,L,,0.0,0.0
,8,1710267951.1929328,1710267951.1929328,UDP,192.168.0.2,53.0,192.168.0.10,50807.0,,,,,
6.0,9,1710267951.258352,1710267951.258352,UDP,fe80::67b2:d41f:ef95:83c7,56976.0,ff02::1:3,5355.0,,L,,0.0,0.0
,10,1710267951.2583525,1710267951.2583525,UDP,192.168.0.10,56976.0,224.0.0.252,5355.0,,,,,
7.0,11,1710267940.5054865,1710267951.5025463,58,fe80::67b2:d41f:ef95:83c7,,ff02::16,,,L,,0.0,0.0
8.0,12,1710267952.6949325,1710267952.6949325,UDP,192.168.0.10,54648.0,192.168.0.2,53.0,,L,,0.0,0.0
,13,1710267952.929288,1710267952.929288,UDP,192.168.0.2,53.0,192.168.0.10,54648.0,,,,,
9.0,14,1710267952.9513524,1710267952.9513524,UDP,192.168.0.10,62486.0,192.168.0.2,53.0,,L,,0.0,0.0
,15,1710267952.9515984,1710267952.9515984,UDP,192.168.0.2,53.0,192.168.0.10,62486.0,,,,,
10.0,16,1710267951.4642715,1710267954.9148653,UDP,192.168.0.10,137.0,192.168.0.255,137.0,,L,,0.0,0.0
,17,1710267955.306111,1710267955.306111,UDP,192.168.0.10,50971.0,192.168.0.2,53.0,,,,,
11.0,18,1710267955.5837028,1710267955.5837028,UDP,192.168.0.2,53.0,192.168.0.10,50971.0,,L,,0.0,0.0
,19,1710267955.7930827,1710267955.7930827,UDP,192.168.0.10,56656.0,192.168.0.2,53.0,,,,,
12.0,20,1710267955.7932904,1710267955.7932904,UDP,192.168.0.2,53.0,192.168.0.10,56656.0,,L,,0.0,0.0
,21,1710267957.8979533,1710267957.8979533,UDP,192.168.0.10,61362.0,192.168.0.2,53.0,,,,,
13.0,22,1710267958.479052,1710267958.479052,UDP,192.168.0.2,53.0,192.168.0.10,61362.0,,L,,0.0,0.0
,23,1710267951.234053,1710267959.9975412,2,192.168.0.10,,224.0.0.22,,,,,,
14.0,24,1710267960.062548,1710267960.062548,UDP,192.168.0.10,56682.0,192.168.0.2,53.0,,L,,0.0,0.0
,25,1710267960.1802776,1710267960.1802776,UDP,192.168.0.2,53.0,192.168.0.10,56682.0,,,,,
15.0,26,1710267961.930069,1710267961.930069,UDP,192.168.0.10,49407.0,192.168.0.2,53.0,,L,,0.0,0.0
,27,1710267962.0477288,1710267962.0477288,UDP,192.168.0.2,53.0,192.168.0.10,49407.0,,,,,
16.0,28,1710267964.3685744,1710267964.3685744,UDP,192.168.0.10,55287.0,192.168.0.2,53.0,,L,,0.0,0.0
,29,1710267964.368997,1710267964.368997,UDP,192.168.0.2,53.0,192.168.0.10,55287.0,,,,,
17.0,30,1710267964.4496365,1710267964.4496365,UDP,192.168.0.10,52403.0,192.168.0.2,53.0,,L,,0.0,0.0
,31,1710267964.560393,1710267964.560393,UDP,192.168.0.2,53.0,192.168.0.10,52403.0,,,,,
18.0,32,1710267964.450122,1710267964.450122,UDP,192.168.0.10,56821.0,192.168.0.2,53.0,,L,,0.0,0.0
,33,1710267964.6364777,1710267964.6364777,UDP,192.168.0.2,53.0,192.168.0.10,56821.0,,,,,
19.0,34,1710267964.45207,1710267964.45207,UDP,192.168.0.10,65209.0,192.168.0.2,53.0,,L,,0.0,0.0
,35,1710267964.6758285,1710267964.6758285,UDP,192.168.0.2,53.0,192.168.0.10,65209.0,,,,,
20.0,36,1710267964.4602072,1710267964.4602072,UDP,192.168.0.10,63760.0,192.168.0.2,53.0,,L,,0.0,0.0
,37,1710267964.766179,1710267964.766179,UDP,192.168.0.2,53.0,192.168.0.10,63760.0,,,,,
21.0,38,1710267964.463858,1710267964.463858,UDP,192.168.0.10,62869.0,192.168.0.2,53.0,,L,,0.0,0.0
,39,1710267964.6428192,1710267964.6428192,UDP,192.168.0.2,53.0,192.168.0.10,62869.0,,,,,
22.0,40,1710267964.471315,1710267964.471315,UDP,192.168.0.10,49420.0,192.168.0.2,53.0,,L,,0.0,0.0
,41,1710267964.6403368,1710267964.6403368,UDP,192.168.0.2,53.0,192.168.0.10,49420.0,,,,,
23.0,42,1710267964.6296911,1710267964.6296911,UDP,192.168.0.10,49645.0,192.168.0.2,53.0,,L,,0.0,0.0
,43,1710267964.85752,1710267964.85752,UDP,192.168.0.2,53.0,192.168.0.10,49645.0,,,,,
24.0,44,1710267964.685671,1710267964.685671,UDP,192.168.0.10,59724.0,192.168.0.2,53.0,,L,,0.0,0.0
,45,1710267964.7622008,1710267964.7622008,UDP,192.168.0.2,53.0,192.168.0.10,59724.0,,,,,
25.0,46,1710267974.4928527,1710267974.4928527,UDP,192.168.0.10,56850.0,192.168.0.2,53.0,,L,,0.0,0.0
,47,1710267974.637525,1710267974.637525,UDP,192.168.0.2,53.0,192.168.0.10,56850.0,,,,,
26.0,48,1710267975.6864977,1710267975.6864977,UDP,192.168.0.10,57946.0,192.168.0.2,53.0,,L,,0.0,0.0
,49,1710267975.77256,1710267975.77256,UDP,192.168.0.2,53.0,192.168.0.10,57946.0,,,,,
27.0,50,1710267978.2947645,1710267978.2947645,UDP,192.168.0.10,62827.0,192.168.0.2,53.0,,L,,0.0,0.0
,51,1710267978.2951343,1710267978.2951343,UDP,192.168.0.2,53.0,192.168.0.10,62827.0,,,,,
28.0,52,1710267978.3074276,1710267978.3074276,UDP,192.168.0.10,62266.0,192.168.0.2,53.0,,L,,0.0,0.0
,53,1710267978.969222,1710267978.969222,UDP,192.168.0.2,53.0,192.168.0.10,62266.0,,,,,
29.0,54,1710267980.617277,1710267980.617277,UDP,192.168.0.10,51507.0,192.168.0.2,53.0,,L,,0.0,0.0
,55,1710267980.6176283,1710267980.6176283,UDP,192.168.0.2,53.0,192.168.0.10,51507.0,,,,,
30.0,56,1710267980.6347108,1710267980.6347108,UDP,192.168.0.10,63749.0,192.168.0.2,53.0,,L,,0.0,0.0
,57,1710267980.832242,1710267980.832242,UDP,192.168.0.2,53.0,192.168.0.10,63749.0,,,,,
31.0,58,1710267980.6387868,1710267980.6387868,UDP,192.168.0.10,64920.0,192.168.0.2,53.0,,L,,0.0,0.0
,59,1710267980.7898984,1710267980.7898984,UDP,192.168.0.2,53.0,192.168.0.10,64920.0,,,,,
32.0,60,1710267980.6494262,1710267980.6494262,UDP,192.168.0.10,59958.0,192.168.0.2,53.0,,L,,0.0,0.0
,61,1710267980.7654393,1710267980.7654393,UDP,192.168.0.2,53.0,192.168.0.10,59958.0,,,,,
33.0,62,1710267980.6498508,1710267980.6498508,UDP,192.168.0.10,63432.0,192.168.0.2,53.0,,L,,0.0,0.0
,63,1710267980.7008755,1710267980.7008755,UDP,192.168.0.2,53.0,192.168.0.10,63432.0,,,,,
34.0,64,1710267980.650144,1710267980.650144,UDP,192.168.0.10,63668.0,192.168.0.2,53.0,,L,,0.0,0.0
,65,1710267980.8191726,1710267980.8191726,UDP,192.168.0.2,53.0,192.168.0.10,63668.0,,,,,
35.0,66,1710267980.6520932,1710267980.6520932,UDP,192.168.0.10,56681.0,192.168.0.2,53.0,,L,,0.0,0.0
,67,1710267980.8181963,1710267980.8181963,UDP,192.168.0.2,53.0,192.168.0.10,56681.0,,,,,
36.0,68,1710267980.6520932,1710267980.6520932,UDP,192.168.0.10,51390.0,192.168.0.2,53.0,,L,,0.0,0.0
,69,1710267980.7394404,1710267980.7394404,UDP,192.168.0.2,53.0,192.168.0.10,51390.0,,,,,
37.0,70,1710267980.6520934,1710267980.6520934,UDP,192.168.0.10,55685.0,192.168.0.2,53.0,,L,,0.0,0.0
