Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716993502.3911848,1716993502.404278,TCP,192.168.0.20,49409,192.168.0.10,80,,C,T1059,0.0,1.0
,2,1716993502.3912122,1716993502.4043715,TCP,192.168.0.10,80,192.168.0.20,49409,,,,,
2.0,3,1716993502.393407,1716993502.40453,TCP,192.168.0.10,47986,192.168.0.35,80,,L,,0.0,0.0
,4,1716993502.394148,1716993502.405522,TCP,192.168.0.35,80,192.168.0.10,47986,,,,,
3.0,5,1716993502.4061935,1716993502.4264631,TCP,192.168.0.20,49410,192.168.0.10,80,,L,,0.0,0.0
,6,1716993502.4062147,1716993502.4264705,TCP,192.168.0.10,80,192.168.0.20,49410,,,,,
4.0,7,1716993502.4089172,1716993502.4267871,TCP,192.168.0.10,47992,192.168.0.35,80,,L,,0.0,0.0
,8,1716993502.410161,1716993502.4276671,TCP,192.168.0.35,80,192.168.0.10,47992,,,,,
5.0,9,1716993499.8249192,1716993499.9342463,UDP,fe80::8e3:64bc:6df7:d91b,59034,ff02::1:3,5355,,L,,0.0,0.0
6.0,10,1716993499.8249197,1716993499.9342468,UDP,192.168.0.20,58866,224.0.0.252,5355,,L,,0.0,0.0
8.0,11,1716993500.1376202,1716993501.6376922,UDP,192.168.0.20,137,192.168.0.255,137,,L,,0.0,0.0
9.0,12,1716993468.4616785,1716993531.4191608,UDP,fe80::8e3:64bc:6df7:d91b,546,ff02::1:2,547,,L,,0.0,0.0
10.0,13,1716993531.442161,1716993534.4819672,UDP,192.168.0.20,60396,239.255.255.250,1900,,L,,0.0,0.0
,16,1716993508.1860363,1716993594.260354,UDP,192.168.0.20,138,192.168.0.255,138,,,,,
11.0,18,1716993502.4270625,1716993601.2777443,TCP,192.168.0.20,49411,192.168.0.10,80,,P,T1665,1.0,1.0
,19,1716993502.4270773,1716993601.2798576,TCP,192.168.0.10,80,192.168.0.20,49411,,,,,
12.0,20,1716993502.4283576,1716993601.279575,TCP,192.168.0.10,48006,192.168.0.35,80,,L,,0.0,0.0
,21,1716993502.4291835,1716993601.2795663,TCP,192.168.0.35,80,192.168.0.10,48006,,,,,
