Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1775153610.522292,1775153610.524596,TCP,10.0.0.1,57828,10.0.0.2,1025,,P,T1667,1.0,1.0
,2,1775153610.522352,1775153610.524605,TCP,10.0.0.2,1025,10.0.0.1,57828,,,,,
2.0,3,1775153610.56178,1775153610.563321,TCP,10.0.0.1,57838,10.0.0.2,1025,,P,T1668,1.0,1.0
,4,1775153610.561831,1775153610.563326,TCP,10.0.0.2,1025,10.0.0.1,57838,,,,,
3.0,5,1775153610.599976,1775153610.601832,TCP,10.0.0.1,57854,10.0.0.2,1025,,P,T1669,1.0,1.0
,6,1775153610.599998,1775153610.601838,TCP,10.0.0.2,1025,10.0.0.1,57854,,,,,
4.0,7,1775153610.642364,1775153610.644004,TCP,10.0.0.1,57866,10.0.0.2,1025,,P,T1670,1.0,1.0
,8,1775153610.642436,1775153610.64402,TCP,10.0.0.2,1025,10.0.0.1,57866,,,,,
5.0,9,1775153610.688921,1775153610.69046,TCP,10.0.0.1,57872,10.0.0.2,1025,,P,T1671,1.0,1.0
,10,1775153610.688976,1775153610.690475,TCP,10.0.0.2,1025,10.0.0.1,57872,,,,,
6.0,11,1775153610.735149,1775153610.736901,TCP,10.0.0.1,57882,10.0.0.2,1025,,P,T1672,1.0,1.0
,12,1775153610.735184,1775153610.736914,TCP,10.0.0.2,1025,10.0.0.1,57882,,,,,
7.0,13,1775153610.775148,1775153610.77698,TCP,10.0.0.1,57892,10.0.0.2,1025,,P,T1673,1.0,1.0
,14,1775153610.775175,1775153610.777039,TCP,10.0.0.2,1025,10.0.0.1,57892,,,,,
8.0,15,1775153610.817048,1775153610.818581,TCP,10.0.0.1,57902,10.0.0.2,1025,,P,T1674,1.0,1.0
,16,1775153610.817081,1775153610.818587,TCP,10.0.0.2,1025,10.0.0.1,57902,,,,,
9.0,17,1775153610.856592,1775153610.85806,TCP,10.0.0.1,57910,10.0.0.2,1025,,P,T1675,1.0,1.0
,18,1775153610.856619,1775153610.858066,TCP,10.0.0.2,1025,10.0.0.1,57910,,,,,
10.0,19,1775153610.896634,1775153610.898782,TCP,10.0.0.1,57922,10.0.0.2,1025,,P,T1676,1.0,1.0
,20,1775153610.896693,1775153610.898801,TCP,10.0.0.2,1025,10.0.0.1,57922,,,,,
11.0,21,1775153610.942442,1775153610.94427,TCP,10.0.0.1,57930,10.0.0.2,1025,,P,T1677,1.0,1.0
,22,1775153610.942471,1775153610.944282,TCP,10.0.0.2,1025,10.0.0.1,57930,,,,,
12.0,23,1775153610.987031,1775153610.988839,TCP,10.0.0.1,57944,10.0.0.2,1025,,P,T1678,1.0,1.0
,24,1775153610.987078,1775153610.988844,TCP,10.0.0.2,1025,10.0.0.1,57944,,,,,
13.0,25,1775153611.030299,1775153611.031941,TCP,10.0.0.1,57952,10.0.0.2,1025,,P,T1679,1.0,1.0
